Title,Company,Work Type,Location,Job Type,Posted,Job URL
"Arthrex Director, Research & Career Readiness",Florida Gulf Coast University,On-site,"Fort Myers, FL",Full Time,Posted 1 day ago,https://www.idealist.org/en/job/6b116909c7c245a38dab5ae26047bcba-arthrex-director-research-career-readiness-florida-gulf-coast-university-fort-myers
Country Director- India,Pure Earth/Blacksmith Institute,On-site,"Delhi, DL, India",Full Time,Posted 5 days ago,https://www.idealist.org/en/nonprofit-job/050870c6bff34c36b2e078ad75611c9b-country-director-india-pure-earthblacksmith-institute-delhi
Global Critical Minerals Lead,Swaniti Initiative,On-site,"New Delhi, DL, India",Full Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/cee227a4328849f4824e1972289ec8eb-global-critical-minerals-lead-swaniti-initiative-new-delhi
Consulting Opportunities with NDMA India – Multiple Positions Available,RedR India,On-site,"New Delhi, DL, India",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/1d09674e5c02481f93f087cb2088c4fe-consulting-opportunities-with-ndma-india-multiple-positions-available-redr-india-new-delhi
Technical and Monitoring Evaluation Advisor,Global Development Network,Remote,Anywhere,Part Time,Posted 18 hours ago,https://www.idealist.org/en/government-job/49752b58c7664a9da47507451b4bb4e4-technical-and-monitoring-evaluation-advisor-global-development-network-new-delhi
Analyst,Swaniti Initiative,Remote,Anywhere,Full Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/162d7f40c0124bbe9a22113d19b0b31d-analyst-swaniti-initiative-delhi
Director,Sattya Media Arts Collective,On-site,"Kathmandu, Bagmati Province, Nepal",Full Time,Posted 24 days ago,https://www.idealist.org/en/nonprofit-job/b1ef5cd8e56249bebce025cdc29e4c7c-director-sattya-media-arts-collective-kathmandu
"Project Officer, Data",Swaniti Initiative,Remote,"Jamshedpur, JH, India",Full Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/634c19435b154043a7ac143c06ce2157-project-officer-data-swaniti-initiative-jamshedpur
Fellowship in Public Health: Advancing Geriatric Care and Elder Wellbeing,EduCARE India,On-site,"Kangra, HP, India",Full Time,Posted 22 days ago,https://www.idealist.org/en/nonprofit-job/a6ab8e9e94e749a9872ebf1533ceaeb8-fellowship-in-public-health-advancing-geriatric-care-and-elder-wellbeing-educare-india-kangra
Industry Consultant (Pakistan),Lead Exposure Elimination Project,Remote,Pakistan,Contract/Freelance,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/9cf41e4499964f70aebbdc2dd23f1e44-industry-consultant-pakistan-lead-exposure-elimination-project-karachi
Government Consultant (Pakistan),Lead Exposure Elimination Project,Remote,Pakistan,Contract/Freelance,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/9a16d814aa7d403ba49f3081b65da05a-government-consultant-pakistan-lead-exposure-elimination-project-karachi
Research Manager (Pakistan),Lead Exposure Elimination Project,Remote,Pakistan,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/a7a091a5d1fa498682703769703afbaa-research-manager-pakistan-lead-exposure-elimination-project-karachi
Country Head (Pakistan),Lead Exposure Elimination Project,Remote,Pakistan,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/7b74e8ddcf804f3b86dd35230c13a32f-country-head-pakistan-lead-exposure-elimination-project-karachi
Fundraising Manager,Sevalaya,On-site,"Chennai, TN, India",Full Time,Posted 16 days ago,https://www.idealist.org/en/nonprofit-job/fadacb2371fd4fa6a775b5b4cd67795e-fundraising-manager-sevalaya-chennai
Admin / Secretary - Chennai,Empower Tamizhagam,On-site,"Chennai, TN, India",Full Time,Posted 26 days ago,https://www.idealist.org/en/nonprofit-job/133cf44f84ee45d69fbd11a13a0c3147-admin-secretary-chennai-empower-tamizhagam-chennai
Business Analyst,Empower Tamizhagam,On-site,"Chennai, TN, India",Full Time,Posted 26 days ago,https://www.idealist.org/en/nonprofit-job/fe7ff4581f34426bb90cfd4ff7415468-business-analyst-empower-tamizhagam-chennai
Small Cat Research Project Officer,Panthera,On-site,"Muang, จ.กาญจนบุรี, Thailand",Full Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/c71f34005869451b832896ff40191c09-small-cat-research-project-officer-panthera-muang
Safeguard Officer,Panthera,On-site,"Kanchanaburi, จ.กาญจนบุรี, Thailand",Full Time,Posted 19 days ago,https://www.idealist.org/en/nonprofit-job/4ca8d8ae353f4080b3d819050e7a0e8c-safeguard-officer-panthera-kanchanaburi
Outreach Officer,Panthera,On-site,"Kanchanaburi, จ.กาญจนบุรี, Thailand",Full Time,Posted 20 days ago,https://www.idealist.org/en/nonprofit-job/d5d1cc28311e4074ad365248c06f56e2-outreach-officer-panthera-kanchanaburi
ASEAN-based Social Work Experts,ARSIC Social Impact Consulting,Remote,Anywhere,Contract/Freelance,Posted 8 days ago,https://www.idealist.org/en/consultant-job/52790b395eb44b2cae338c74d65d726d-asean-based-social-work-experts-arsic-social-impact-consulting-bangkok
English Native Speakers (STEM related majors),Darunsikkhalai School for Innovative Learning (DSIL),On-site,"Bangkok, Thailand",Full Time,Posted 26 days ago,https://www.idealist.org/en/nonprofit-job/91ee9f103a65449888d863f95e1483a1-english-native-speakers-stem-related-majors-darunsikkhalai-school-for-innovative-learning-dsil-bangkok
"Animal Shelter Caretaker (Single or Couple) - Vegan Animal Rescue in Hoi An, Vietnam",Vietnam Animal Aid and Rescue-US,On-site,"xa cam ha hoi an, Vietnam",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/a4173ec4f296413f8ddca3c8314b2553-animal-shelter-caretaker-single-or-couple-vegan-animal-rescue-in-hoi-an-vietnam-vietnam-animal-aid-and-rescue-us-xa-cam-ha-hoi-an
Consultant (Scientific Review & Quality Support),WorldFish,Remote,Anywhere,Contract/Freelance,Posted 20 days ago,https://www.idealist.org/en/nonprofit-job/088c9ee3ebc1416683224471c25b599d-consultant-scientific-review-quality-support-worldfish-bayan-lepas
Program Coordinator II,Montana State University,On-site,"Bozeman, MT",Full Time,Posted 21 days ago,https://www.idealist.org/en/job/4a5185b847f2487a83b38ac25528aea0-program-coordinator-ii-montana-state-university-bozeman
"Project Coordinator, Project Tekai",Panthera,On-site,"Jerantut, Pahang, Malaysia",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/dfaf610f03de4254b6cbd3193fdefbea-project-coordinator-project-tekai-panthera-jerantut
Southeast Asia Counter Wildlife Crime Coordinator,Panthera,On-site,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/59629dadee4f4ab085aafb4385302327-southeast-asia-counter-wildlife-crime-coordinator-panthera-kuala-lumpur
Malaysia Counter Wildlife Crime (CWC) Coordinator,Panthera,On-site,"Petaling Jaya, Selangor, Malaysia",Full Time,Posted 19 days ago,https://www.idealist.org/en/nonprofit-job/1fa6e1af585d4767bc91213fe2168801-malaysia-counter-wildlife-crime-cwc-coordinator-panthera-petaling-jaya
Problem Analyst,Panthera,On-site,"Klang, Selangor, Malaysia",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/da97bfb94b0140319589d36cfbf51a8a-problem-analyst-panthera-klang
Education Programme Manager,Bukit Lawang Trust,On-site,"Bukit Lawang, SB, Indonesia",Full Time,Posted 7 days ago,https://www.idealist.org/en/nonprofit-job/94cfaec9326b4b8f9577e648ecff2f51-education-programme-manager-bukit-lawang-trust-bukit-lawang
Executive Director,World Toilet Organization,Remote,"Singapore, XA, Singapore",Contract/Freelance,Posted 2 days ago,https://www.idealist.org/en/nonprofit-job/e7f0833c74a7479c9f6a2457a08652c6-executive-director-world-toilet-organization-singapore
Front Desk Receptionist,San Francisco Bay University,On-site,"Fremont, CA",Full Time,Posted 16 days ago,https://www.idealist.org/en/job/f63118a5c5ca45f3952d2b740d590a3a-front-desk-receptionist-san-francisco-bay-university-fremont
Assistant Director of Scholar Support and Educational Access,San Francisco Bay University,On-site,"Fremont, CA",Full Time,Posted 19 days ago,https://www.idealist.org/en/job/09b31b94b4fb4772b0ce693421250fe8-assistant-director-of-scholar-support-and-educational-access-san-francisco-bay-university-fremont
Keeper,Panthera,On-site,"Taif, Makkah Province, Saudi Arabia",Full Time,Posted 16 days ago,https://www.idealist.org/en/nonprofit-job/cb6b1e14bbc44423bd4160c3f902507a-keeper-panthera-taif
Head Keeper,Panthera,On-site,"Taif, Makkah Province, Saudi Arabia",Full Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/c469b51381f14b559fecc828a068ec5e-head-keeper-panthera-taif
Teaching Abroad Opportunity - Abaarso School (Somaliland),Abaarso School of Science and Technology,On-site,"Hargeisa, Somalia",Full Time,Posted 7 days ago,https://www.idealist.org/en/nonprofit-job/6dd4607ba99d4a0c979cf4745803f627-teaching-abroad-opportunity-abaarso-school-somaliland-abaarso-school-of-science-and-technology-hargeisa
Teaching Abroad Opportunity - Abaarso School (Somaliland),Abaarso School of Science and Technology,On-site,"Hargeisa, Somalia",Full Time,Posted 24 days ago,https://www.idealist.org/en/nonprofit-job/e5f3e6506b9548c0b0bf1e33e07d1d92-teaching-abroad-opportunity-abaarso-school-somaliland-abaarso-school-of-science-and-technology-hargeisa
Montessori Teacher Trainer - Barwaaqo University for Women (Somaliland),Abaarso School of Science and Technology,On-site,"Hargeisa, Somaliland, Somalia",Full Time,Posted 24 days ago,https://www.idealist.org/en/nonprofit-job/c0a86e641c624fbaaaf06a15968118e5-montessori-teacher-trainer-barwaaqo-university-for-women-somaliland-abaarso-school-of-science-and-technology-hargeisa-somaliland
Area Manager Syria*,Welthungerhilfe,On-site,"Damascus, Damascus Governorate, Syria",Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/9fbabb3b08c14dd995df5e600d8f33d7-area-manager-syria-welthungerhilfe-damascus
Middle East Nutrition Expert*,Welthungerhilfe,On-site,"Amman, Amman Governorate, Jordan",Part Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/66ebce44e7ab411e847f9ab6b7478452-middle-east-nutrition-expert-welthungerhilfe-amman
English Teaching Position in Palestine (High School),Pioneers Baccalaureate School,On-site,"Nablus, Palestine",Full Time,Posted 3 days ago,https://www.idealist.org/en/nonprofit-job/f6e2dd672df74ccf844150efa266bc6d-english-teaching-position-in-palestine-high-school-pioneers-baccalaureate-school-nablus
English Teaching Position in Palestine (Middle School),Pioneers Baccalaureate School,On-site,"Nablus, Palestine",Full Time,Posted 3 days ago,https://www.idealist.org/en/nonprofit-job/9be3c5b911dd495da02ac7587433c73d-english-teaching-position-in-palestine-middle-school-pioneers-baccalaureate-school-nablus
English Teaching Position in Palestine (Elementary School),Pioneers Baccalaureate School,On-site,"Nablus, Palestine",Full Time,Posted 3 days ago,https://www.idealist.org/en/nonprofit-job/1f75894c9aa24308a78037f3310ff150-english-teaching-position-in-palestine-elementary-school-pioneers-baccalaureate-school-nablus
Project Manager (Program Management Department) [based in Seoul],International Vaccine Institute,On-site,"Seoul, Seoul, South Korea",Full Time,Posted 15 days ago,https://www.idealist.org/en/nonprofit-job/93d079d0057645b8b9a31c3741cd9523-project-manager-program-management-department-based-in-seoul-international-vaccine-institute-seoul
"Impact Monitoring Officer (Strategy, Program, Quality & Risk Management Department)",International Vaccine Institute,On-site,"Seoul, Seoul, South Korea",Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/0b24926ea4b941cda455cdcaf6f8aa85-impact-monitoring-officer-strategy-program-quality-risk-management-department-international-vaccine-institute-seoul
"Senior Strategic Initiatives Manager (Strategy, Program, Quality & Risk Management Department)",International Vaccine Institute,On-site,"Seoul, Seoul, South Korea",Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/3c982c0046ee4ce0afd3eac05f0869f5-senior-strategic-initiatives-manager-strategy-program-quality-risk-management-department-international-vaccine-institute-seoul
Project coordination & Fundraising at habibi.works,Habibi.Works,On-site,"Katsikas, XA, Greece",Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/2c496cee0a134608914b105435f15907-project-coordination-fundraising-at-habibiworks-habibiworks-katsikas
Project Manager (Program Management Department) [based in Nairobi],International Vaccine Institute,On-site,"Nairobi, Nairobi County, Kenya",Full Time,Posted 15 days ago,https://www.idealist.org/en/nonprofit-job/dc8d924f16d74624976f3306198c971c-project-manager-program-management-department-based-in-nairobi-international-vaccine-institute-nairobi
Fundraiser,Swift Sports Organization/ Superladies netball club,Remote,Anywhere,Contract/Freelance,Posted 2 hours ago,https://www.idealist.org/en/nonprofit-job/8e0b88f3519a433f92bd4d41359ad702-fundraiser-swift-sports-organization-superladies-netball-club-kampala
International Missions Coordinator,Across Nations Revival Ministry,Remote,Anywhere,Contract/Freelance,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/552162b125574c86b015f5a084f5b92e-international-missions-coordinator-across-nations-revival-ministry-wakiso
"Program Director, East Africa",Pepperdine University - Sudreau Global Justice Institute,On-site,"Kampala, Central Region, Uganda",Contract/Freelance,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/c3c1bd62df6e4e858a540ff50f39fec4-program-director-east-africa-pepperdine-university-sudreau-global-justice-institute-kampala
Legal Counsel,Onja,Remote,Anywhere,Part Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/73bc39980df04ddeaf6cef558ea3084d-legal-counsel-onja-toamasina
English Course Designer,Onja,On-site,"Toamasina, Atsinanana, Madagascar",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/81e33f4f0c88461abb2bafcc0eea87d6-english-course-designer-onja-toamasina
Full-Stack Course Designer,Onja,On-site,"Toamasina, Atsinanana, Madagascar",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/5bbae94e96ac4dd4bd607040e6897541-full-stack-course-designer-onja-toamasina
Back-End Node.js Course Designer,Onja,On-site,"Toamasina, Atsinanana, Madagascar",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/6b428cae863c488fbc81d444f63ff808-back-end-nodejs-course-designer-onja-toamasina
English Teacher,Onja,On-site,"Toamasina, Atsinanana, Madagascar",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/7959d781e8d74e2b8bd096a155621427-english-teacher-onja-toamasina
Front-end Course Designer,Onja,On-site,"Toamasina, Atsinanana, Madagascar",Full Time,Posted 15 days ago,https://www.idealist.org/en/nonprofit-job/f53e95bad0c5405dbc0ec11568a1e34e-front-end-course-designer-onja-toamasina
Compliance Management System Project Lead*,Welthungerhilfe,Hybrid,"Berlin, BE, Germany",Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/3f9b46c6388c478fa34ab2b84db3d049-compliance-management-system-project-lead-welthungerhilfe-berlin
Digital Campaigner,WeMove Europe,Remote,United Kingdom,Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/c8eaa64826e94006baa713c465841a26-digital-campaigner-wemove-europe-berlin
Digital Campaigner,WeMove Europe,Remote,Netherlands,Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/9e96f625ee0b45bcbac35e89b27f3b5d-digital-campaigner-wemove-europe-berlin
Digital Campaigner,WeMove Europe,Remote,Belgium,Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/6fbe33816be24cc3a4508885c48f5e67-digital-campaigner-wemove-europe-berlin
Digital Campaigner,WeMove Europe,Remote,Poland,Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/4a55e7ba426a4ed5b3bf9718518d53f3-digital-campaigner-wemove-europe-berlin
Digital Campaigner,WeMove Europe,Remote,Germany,Full Time,Posted 9 days ago,https://www.idealist.org/en/nonprofit-job/48e5589971d3469c87bd7c59fc90fd64-digital-campaigner-wemove-europe-berlin
Expert Emergencies - Communication (Part-time)*,Welthungerhilfe,Hybrid,"Berlin, BE, Germany",Part Time,Posted 13 days ago,https://www.idealist.org/en/nonprofit-job/94b8aa3ec6b342edb49e0d3aff68cd86-expert-emergencies-communication-part-time-welthungerhilfe-berlin
Traineeship in a Global Education Project,HOPE FOUNDATION CAMEROON,On-site,"Berlin, BE, Germany",Part Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/0353e4405f234aacb5d3b9ef72386144-traineeship-in-a-global-education-project-hope-foundation-cameroon-berlin
Conservation Capacity Development Lead,Lion Landscapes,On-site,"Iringa, Mkoa wa Iringa, Tanzania",Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/39031aa2bedd43b293f488b62ec40b79-conservation-capacity-development-lead-lion-landscapes-iringa
Director of Development,MAD,Remote,United States,Full Time,Posted 22 hours ago,https://www.idealist.org/en/nonprofit-job/a37ffb41758f42f281d84e58f4177b43-director-of-development-mad-kobenhavn
Director of Development,MAD,On-site,"Copenhagen, XA, Denmark",Full Time,Posted 22 hours ago,https://www.idealist.org/en/nonprofit-job/5af28c412c644d82b4c95dc63bd41e77-director-of-development-mad-copenhagen
Field Scientist,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/dac17e87870148358ef68cb6d978b628-field-scientist-panthera-tabora
Data and Technology Technician,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/836105f13463433cab52b02f9a310f1d-data-and-technology-technician-panthera-tabora
Administrative and Operations Support,Panthera,On-site,"Tabora, Tabora Region, Tanzania",Full Time,Posted 28 days ago,https://www.idealist.org/en/nonprofit-job/ec167b96b6dd4397b1d4d806df847476-administrative-and-operations-support-panthera-tabora
Programme Coordinator - DRC,INTERSOS,On-site,"Goma, North-Kivu, Democratic Republic of the Congo",Full Time,Posted 22 days ago,https://www.idealist.org/en/nonprofit-job/98ccdafbf7154ab28888c1651f68c36b-programme-coordinator-drc-intersos-goma
Head of Mission - DRC,INTERSOS,On-site,"Goma, North-Kivu, Democratic Republic of the Congo",Full Time,Posted 29 days ago,https://www.idealist.org/en/nonprofit-job/5a2bb2a2dcf848b7be1c7470097b9339-head-of-mission-drc-intersos-goma
