main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Hidratação,Condicionador Tresemmé Hidratação Profunda 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/condicionador-tresemme-hidratacao-profunda-400ml-8930333/p,,,,22.59
Mercado,Drogaria,Dermocosméticos,Hidratação,Condicionador Dove Reconstrução Completa 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/condicionador-dove-reconstrucao-completa-400ml-7784201/p,,,,37.39
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Corporal Neutrogena Body Care Intensive Hidrata&Suaviza 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-corporal-neutrogena-body-care-intensive-hidrataesuaviza-200ml-6437338/p,,-29%,25.29,17.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Milk Pele Seca a Extrasseca NIVEA 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-milk-pele-seca-a-extrasseca-nivea-400ml-8401586/p,,-15%,26.99,22.99
Mercado,Drogaria,Dermocosméticos,Hidratação,Neutrogena Loção Hidratante Body Care Hidrata Repara 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/neutrogena-locao-hidratante-body-care-hidrata-repara-400ml-6445136/p,,-31%,40.19,27.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Neutrogena Hydro Boost Water Gel Hidratante Facial Refil 50g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/neutrogena-hydro-boost-water-gel-hidratante-facial-refil-50g-3401847/p,,-30%,59.99,41.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Para Uso Diário JOHNSON'S Baby 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-para-uso-diario-johnsons-baby-200ml-7628587/p,,-5%,41.99,39.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Hidratante Corporal Intensivo Epidrat 500g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-hidratante-corporal-intensivo-epidrat-500g-3438350/p,,-27%,109.9,79.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Corporal Isdin Ureadin 10% Pele Seca Com 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-corporal-isdin-ureadin-10-pele-seca-com-200ml-6069061/p,,-13%,79.9,69.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Facial NIVEA Acne Control 50g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-facial-nivea-acne-control-50g-3048462/p,,-40%,49.9,29.99
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Corporal Neutrogena Body Care Intensive Hidrata&Repara 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-corporal-neutrogena-body-care-intensive-hidrata-e-repara-200ml-6445080/p,,-29%,22.29,15.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidrante Corporal Hidratação 24H Pele Seca e Extra Seca Cerave Frasco 437 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidrante-corporal-hidratacao-24h-pele-seca-e-extra-seca-cerave-frasco-437-ml-6069657/p,,,,110.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Óleo Extraordinário Elseve 100 Ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/oleo-extraordinario-elseve-100-ml-9093044/p,,,,44.39
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Hidratante e Multirreparador La Roche-Posay Cicaplast Baume B5 20ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-hidratante-e-multirreparador-la-rocheposay-cicaplast-baume-b5-20ml-5426669/p,,,,44.9
