main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas Vanish em Pó Oxi Action para roupas coloridas Refil Econômico 1kg,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-vanish-em-po-oxi-action-para-roupas-coloridas-refil-economico-1kg-5559430/p,40% OFF NA 2 UNBadge da promoção 40% OFF NA 2 UN,,,39.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Aromatizador Bom Ar Aerossol Campos de Lavanda Embalagem Econômica 360ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/aromatizador-bom-ar-aerossol-campos-de-lavanda-embalagem-economica-360ml-5592895/p,,,,17.65
Mercado,Drogaria,Dermocosméticos,Limpeza,Detergente para Lava Louças em Pó Finish 450g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/detergente-para-lava-loucas-em-po-finish-450g-5664861/p,,-22%,36.39,28.45
Mercado,Drogaria,Dermocosméticos,Limpeza,Enxaguante Bucal sem Álcool Colgate Plax Fresh Mint 750ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/enxaguante-bucal-sem-alcool-colgate-plax-fresh-mint-750ml-6950167/p,,-9%,20.79,18.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Enxaguante Bucal sem Álcool Colgate Plax Odor Control 750ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/enxaguante-bucal-sem-alcool-colgate-plax-odor-control-750ml-6995594/p,,-9%,20.79,18.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Enxaguante Bucal sem Álcool Listerine Cool Mint Refrescância Suave 1L,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/enxaguante-bucal-sem-alcool-listerine-cool-mint-refrescancia-suave-1l-6708722/p,20% OFFBadge da promoção 20% OFF,-25%,34.59,25.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sensodyne Creme Dental Rapido Alivio Whitening 90g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sensodyne-creme-dental-rapido-alivio-whitening-90g-3100499/p,70% OFF NA 2 UNBadge da promoção 70% OFF NA 2 UN,-5%,20.39,19.29
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Protex Pro Hidratação 230ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-protex-pro-hidratacao-230ml-6713475/p,,-44%,17.69,9.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas Vanish em Pó Crystal White Oxi Action para roupas brancas Refil Econômico 1kg,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-vanish-em-po-crystal-white-oxi-action-para-roupas-brancas-refil-economico-1kg-5559421/p,40% OFF NA 2 UNBadge da promoção 40% OFF NA 2 UN,,,42.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Secante para LavaLouças Finish Abrilhantador 250ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/secante-para-lavaloucas-finish-abrilhantador-250ml-8810591/p,50% OFF NA 2 UNBadge da promoção 50% OFF NA 2 UN,-10%,41.59,37.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas em Pó Vanish Crystal White Oxi Action para roupas brancas Refil Econômico 400g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-em-po-vanish-crystal-white-oxi-action-para-roupas-brancas-refil-economico-400g-5149860/p,,-34%,22.59,14.9
