Symbol,Open Interest(11-Apr-2025),Open Interest(09-Apr-2025),chngin OI,%chngin OI,Volume(contracts),Futures Value(₹ Lakhs),Options Value(Premium) (₹ Lakhs),Total Value(₹ Lakhs),Underlying value,Scraped_At
PIIND,"26,040","16,152","9,888",61.22,"1,16,949","63,957.00","10,233.85","74,190.84","3,618.00",2025-04-14 11:23:14
KPITTECH,"23,227","17,455","5,772",33.07,"42,326","21,120.23","3,531.74","24,651.98","1,123.00",2025-04-14 11:23:14
INOXWIND,"5,496","4,190","1,306",31.17,"9,720","11,711.43","1,186.98","12,898.41",151.00,2025-04-14 11:23:14
CAMS,"27,634","21,728","5,906",27.18,"19,879","43,182.47","1,198.78","44,381.25","3,722.00",2025-04-14 11:23:14
MUTHOOTFIN,"46,779","37,050","9,729",26.26,"1,29,956","1,03,424.61","15,254.23","1,18,678.84","2,015.00",2025-04-14 11:23:14
NIFTY,"55,01,088","45,46,992","9,54,096",20.98,"4,80,15,407","23,45,287.14","41,20,532.09","64,65,819.23","22,828.00",2025-04-14 11:23:14
ICICIGI,"37,380","31,328","6,052",19.32,"43,668","35,393.23","3,194.76","38,587.99","1,706.00",2025-04-14 11:23:14
MARICO,"30,341","25,794","4,547",17.63,"32,129","49,302.97","3,244.19","52,547.16",708.00,2025-04-14 11:23:14
NBCC,"9,782","8,470","1,312",15.49,"11,272","23,313.62","1,036.14","24,349.76",88.00,2025-04-14 11:23:14
COFORGE,"1,19,952","1,06,157","13,795",12.99,"1,84,156","1,15,588.75","18,047.87","1,33,636.62","6,311.00",2025-04-14 11:23:14
SONACOMS,"30,386","27,255","3,131",11.49,"16,011","23,628.80",627.62,"24,256.42",430.00,2025-04-14 11:23:14
PAGEIND,"16,981","15,279","1,702",11.14,"14,893","30,003.55",919.85,"30,923.40","44,202.00",2025-04-14 11:23:14
MFSL,"12,028","10,911","1,117",10.24,"12,582","17,470.60","1,751.84","19,222.45","1,163.00",2025-04-14 11:23:14
SIEMENS,"79,010","71,792","7,218",10.05,"54,585","16,109.38","1,756.60","17,865.98","2,726.00",2025-04-14 11:23:14
SRF,"24,982","22,822","2,160",9.46,"54,111","76,733.97","9,295.78","86,029.76","2,938.00",2025-04-14 11:23:14
TORNTPHARM,"14,226","13,001","1,225",9.42,"13,567","20,210.65",858.50,"21,069.15","3,129.00",2025-04-14 11:23:14
IGL,"33,240","30,453","2,787",9.15,"38,469","27,270.55","3,784.78","31,055.33",174.00,2025-04-14 11:23:14
HAVELLS,"23,375","21,594","1,781",8.25,"32,212","64,727.43","3,601.58","68,329.00","1,527.00",2025-04-14 11:23:14
CHAMBLFERT,"11,749","10,855",894,8.24,"18,135","33,613.93","4,051.39","37,665.32",646.00,2025-04-14 11:23:14
TATAELXSI,"43,286","40,120","3,166",7.89,"19,716","34,438.32","1,302.50","35,740.82","4,748.00",2025-04-14 11:23:14
DEEPAKNTR,"12,440","11,576",864,7.46,"27,437","25,815.50","2,446.34","28,261.84","1,936.00",2025-04-14 11:23:14
SBILIFE,"41,675","38,954","2,721",6.99,"17,507","16,952.06",958.76,"17,910.82","1,526.00",2025-04-14 11:23:14
GODREJPROP,"43,159","40,365","2,794",6.92,"32,245","31,225.57","2,435.87","33,661.44","1,945.00",2025-04-14 11:23:14
BHARTIARTL,"1,47,710","1,38,183","9,527",6.89,"1,25,690","1,18,797.55","9,257.72","1,28,055.27","1,760.00",2025-04-14 11:23:14
MAXHEALTH,"30,117","28,277","1,840",6.51,"23,304","24,273.51","2,204.56","26,478.07","1,089.00",2025-04-14 11:23:14
WIPRO,"64,966","61,012","3,954",6.48,"39,004","63,103.72","4,862.87","67,966.59",240.00,2025-04-14 11:23:14
GLENMARK,"28,168","26,458","1,710",6.46,"32,539","27,381.85","2,403.71","29,785.57","1,380.00",2025-04-14 11:23:14
NESTLEIND,"66,778","62,876","3,902",6.21,"39,065","38,365.97","1,959.34","40,325.32","2,355.00",2025-04-14 11:23:14
TITAGARH,"15,360","14,500",860,5.93,"11,817","8,815.52",874.77,"9,690.29",752.00,2025-04-14 11:23:14
KEI,"33,577","31,716","1,861",5.87,"19,420","12,489.48","1,079.29","13,568.76","2,603.00",2025-04-14 11:23:14
ICICIPRULI,"30,421","28,762","1,659",5.77,"17,108","15,192.00","1,267.85","16,459.85",551.00,2025-04-14 11:23:14
OBEROIRLTY,"17,882","16,912",970,5.74,"18,145","19,282.34","1,627.21","20,909.55","1,541.00",2025-04-14 11:23:14
TATATECH,"25,520","24,174","1,346",5.57,"10,172","17,748.77",451.57,"18,200.33",632.00,2025-04-14 11:23:14
DIVISLAB,"44,755","42,400","2,355",5.55,"54,231","52,481.03","4,115.16","56,596.20","5,600.00",2025-04-14 11:23:14
POWERGRID,"72,567","68,766","3,801",5.53,"55,728","56,312.51","4,044.83","60,357.34",303.00,2025-04-14 11:23:14
KALYANKJIL,"41,134","38,989","2,145",5.50,"67,646","29,033.60","6,707.80","35,741.40",508.00,2025-04-14 11:23:14
DABUR,"40,351","38,253","2,098",5.48,"24,512","22,486.02","1,403.81","23,889.83",461.00,2025-04-14 11:23:14
VOLTAS,"88,827","84,286","4,541",5.39,"45,172","34,061.14","2,299.63","36,360.77","1,286.00",2025-04-14 11:23:14
HUDCO,"17,541","16,656",885,5.31,"21,237","24,978.29","2,579.74","27,558.03",215.00,2025-04-14 11:23:14
