CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,270.35,283.4,1400.0,1440,7000.0,0.2,2.7,14000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,226.85,0.0,0.0,1440,7000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1440,14000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,230.75,242.85,1400.0,1480,350.0,1.7,2.35,350.0,0.5999999999999999,1.7,33.57,290.0,16.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,233.75,317.9,1400.0,1480,7000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,192.55,205.05,350.0,1520,350.0,1.8,4.8,350.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,194.15,278.0,1400.0,1520,21000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1050.0,173.75,185.1,350.0,1540,350.0,4.15,4.55,350.0,0.5999999999999996,4.05,31.29,3.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,174.35,260.45,1400.0,1540,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,700.0,155.7,167.4,1050.0,1560,350.0,5.45,5.65,350.0,1.0,5.3,30.59,46.0,-17.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,154.6,240.95,1400.0,1560,,,,,,,,,,
5.0,0.0,2.0,29.71,148.0,-16.05000000000001,350.0,137.3,148.15,350.0,1580,350.0,7.15,7.45,350.0,1.2999999999999998,7.3,29.52,66.0,2.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,134.8,218.4,1400.0,1580,,,,,,,,,,
3.0,0.0,0.0,0.0,0.0,0.0,350.0,121.2,131.55,350.0,1600,350.0,9.5,11.15,350.0,1.8499999999999996,9.2,29.45,199.0,15.0,175.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,115.95,199.9,1400.0,1600,,,,,,,,,,
5.0,1.0,5.0,32.47,118.15,-17.19999999999999,700.0,103.9,111.25,350.0,1620,350.0,12.65,13.35,350.0,2.8000000000000007,12.25,28.33,45.0,-17.0,167.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.45,350.0,1620,0.0,0.0,65.1,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,350.0,87.7,100.3,1400.0,1640,700.0,16.7,17.4,350.0,4.399999999999999,16.7,29.19,90.0,13.0,193.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.25,350.0,1640,0.0,0.0,62.35,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,1400.0,74.05,81.5,350.0,1660,350.0,21.95,22.75,350.0,6.4,22.25,28.06,22.0,6.0,160.0
