CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,6000,375.0,0.25,0.85,500.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,1283.25,1341.2,375.0,6200,3250.0,0.1,5.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,1109.1,0.0,0.0,6200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,1180.7,1233.6,375.0,6300,8250.0,0.2,4.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,1015.1,0.0,0.0,6300,3500.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,6350,125.0,0.55,2.85,125.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,500.0,1083.0,1134.55,375.0,6400,125.0,1.35,3.0,125.0,0.0,0.0,0.0,0.0,0.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,923.1,0.0,0.0,6400,125.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,1875.0,983.3,1029.9,500.0,6500,250.0,1.85,2.75,250.0,0.8,2.75,27.82,11.0,-2.0,133.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,833.65,1439.45,625.0,6500,250.0,2.0,32.95,125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,878.7,934.85,375.0,6600,125.0,2.25,3.5,125.0,1.4,3.0,26.22,16.0,-5.0,170.0
