CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1880,3750.0,0.25,0.55,750.0,0.0,0.0,0.0,0.0,0.0,54.0
,,,,,,,,,,1920,250.0,0.55,0.9,1250.0,0.0,0.0,0.0,0.0,0.0,126.0
,,,,,,,,,,1920,250.0,1.25,2.15,250.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,1960,250.0,0.35,0.7,750.0,-0.4,0.35,39.6,1.0,0.0,63.0
,,,,,,,,,,1980,3750.0,0.25,0.85,250.0,0.0,0.0,0.0,0.0,0.0,50.0
1.0,0.0,0.0,0.0,0.0,0.0,1250.0,494.2,511.9,1250.0,2000,1000.0,0.4,0.65,250.0,-0.25,0.4,37.25,55.0,-7.0,369.0
,,,,,,,,,,2000,250.0,1.6,2.45,250.0,0.0,0.0,0.0,0.0,0.0,4.0
,,,,,,,,,,2000,250.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1250.0,475.05,492.65,250.0,2020,1000.0,0.55,0.7,500.0,0.0,0.0,0.0,0.0,0.0,66.0
3.0,0.0,0.0,0.0,0.0,0.0,1250.0,454.65,471.6,1000.0,2040,250.0,0.4,0.6,250.0,0.0,0.8,37.4,1.0,0.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,367.55,0.0,0.0,2040,6000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2060,250.0,0.45,0.65,250.0,0.0,0.55,34.19,4.0,0.0,156.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,414.95,432.35,1000.0,2080,250.0,0.6,0.7,250.0,-0.050000000000000044,0.6,33.07,18.0,9.0,338.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,329.4,0.0,0.0,2080,6000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2080,16000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,5.0,0.0,407.0,12.0,250.0,400.15,405.8,250.0,2100,11500.0,0.9,1.0,4250.0,0.19999999999999996,1.0,33.83,121.0,-33.0,437.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,375.45,393.25,1000.0,2120,14750.0,0.85,0.95,1250.0,0.050000000000000044,0.9,31.8,129.0,-29.0,229.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,292.2,0.0,0.0,2120,6000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2120,16000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,355.7,373.4,1000.0,2140,500.0,1.0,1.05,250.0,0.050000000000000044,1.0,30.72,29.0,3.0,186.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,273.95,0.0,0.0,2140,250.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,334.7,353.75,1000.0,2160,750.0,1.25,1.35,500.0,-0.10000000000000009,1.2,29.98,211.0,-20.0,315.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,256.1,439.5,250.0,2160,500.0,3.95,4.65,250.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,2160,16000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
