CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0,0,0,0.0,0.0,0.0,1275,250.2,262.2,1700,1240,6800.0,0.3,1.35,425.0,-25.95,1.5,41.04,1.0,0.0,0.0
0,0,0,0.0,0.0,0.0,1700,250.15,289.7,2125,1240,0.0,0.0,15.95,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0.0,0.0,0.0,1275,210.15,221.1,1700,1280,1275.0,0.9,1.0,425.0,-0.19999999999999996,0.95,32.66,21.0,2.0,48.0
0,0,0,0.0,0.0,0.0,1700,214.6,240.35,1700,1280,11475.0,0.2,14.2,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,1275,171.1,183.45,1275,1320,850.0,1.65,1.75,1275.0,-0.40000000000000013,1.7,30.17,41.0,-1.0,160.0
0,0,0,0.0,0.0,0.0,1700,175.55,196.0,1700,1320,425.0,2.4,8.9,425.0,0.0,0.0,0.0,0.0,0.0,9.0
0,0,0,0.0,0.0,0.0,850,152.5,163.15,425,1340,850.0,2.4,2.5,425.0,-0.5500000000000003,2.4,29.85,22.0,-6.0,52.0
0,0,0,0.0,0.0,0.0,1700,153.95,188.8,1700,1340,10625.0,0.2,21.8,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,2125,134.4,144.4,425,1360,2550.0,3.5,3.65,1275.0,-0.5000000000000004,3.65,28.72,24.0,-4.0,183.0
0,0,0,0.0,0.0,0.0,1700,138.0,164.15,2125,1360,425.0,4.6,16.5,425.0,0.0,0.0,0.0,0.0,0.0,3.0
7,0,0,0.0,0.0,0.0,425,117.1,126.7,1700,1380,425.0,5.2,5.35,850.0,-0.75,5.3,28.22,26.0,-1.0,139.0
0,0,0,0.0,0.0,0.0,4250,114.75,160.45,2125,1380,0.0,0.0,31.25,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-2,24,19.64,104.7,1.5499999999999972,425,103.8,104.8,425,1400,425.0,7.65,7.8,425.0,-1.0999999999999996,7.85,27.95,55.0,-5.0,309.0
0,0,0,0.0,0.0,0.0,1700,110.0,133.7,2125,1400,425.0,15.6,26.0,425.0,0.0,0.0,0.0,0.0,0.0,2.0
4,0,0,0.0,0.0,0.0,850,82.45,92.45,425,1420,425.0,11.15,11.35,850.0,-2.0,11.1,27.72,39.0,-6.0,122.0
0,0,0,0.0,0.0,0.0,4250,86.8,145.9,1700,1420,,,,,,,,,,
62,-2,18,22.97,72.5,0.0,425,72.35,73.8,425,1440,1700.0,15.9,16.15,425.0,-1.8999999999999986,16.0,27.68,70.0,-19.0,350.0
0,0,0,0.0,0.0,0.0,4250,67.0,147.65,1700,1440,,,,,,,,,,
94,5,56,23.55,58.85,-1.0499999999999972,850,58.9,59.35,425,1460,850.0,22.15,22.45,425.0,-2.3500000000000014,22.0,27.42,65.0,-3.0,245.0
0,0,0,0.0,0.0,0.0,5950,47.1,114.8,425,1460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,25,223,24.09,47.8,-0.30000000000000426,425,47.1,47.3,425,1480,850.0,30.15,30.55,425.0,-2.450000000000003,30.15,27.7,142.0,0.0,280.0
0,0,0,0.0,0.0,0.0,0,0.0,93.2,425,1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
