CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,3000.0,202.8,231.1,3000.0,610,16000.0,0.05,0.25,2000.0,0.0,0.0,0.0,0.0,0.0,3.0
,,,,,,,,,,650,2000.0,0.3,0.35,11000.0,-0.10000000000000003,0.3,43.79,11.0,2.0,144.0
,,,,,,,,,,660,17000.0,0.2,0.25,2000.0,0.0,0.3,41.37,3.0,0.0,72.0
,,,,,,,,,,670,17000.0,0.25,0.35,2000.0,-0.04999999999999999,0.3,38.98,6.0,0.0,46.0
6.0,0.0,0.0,0.0,0.0,0.0,3000.0,143.95,149.5,4000.0,680,15000.0,0.3,0.55,2000.0,0.0,0.0,0.0,0.0,0.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,143.0,158.9,5000.0,680,9000.0,0.25,7.4,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,4000.0,138.8,144.45,4000.0,685,,,,,,,,,,
6.0,0.0,0.0,0.0,0.0,0.0,7000.0,133.45,139.45,4000.0,690,15000.0,0.35,0.55,2000.0,0.0,0.0,0.0,0.0,0.0,139.0
1.0,0.0,0.0,0.0,0.0,0.0,4000.0,128.5,135.65,10000.0,695,,,,,,,,,,
68.0,0.0,0.0,0.0,0.0,0.0,7000.0,124.55,130.15,4000.0,700,2000.0,0.55,0.65,3000.0,-0.30000000000000004,0.6,35.4,12.0,-1.0,88.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,124.1,144.75,5000.0,700,1000.0,1.15,13.45,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,3000.0,119.65,124.75,4000.0,705,15000.0,0.55,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,10.0
5.0,0.0,0.0,0.0,0.0,0.0,4000.0,114.9,120.5,10000.0,710,15000.0,0.6,1.1,1000.0,0.0,0.0,0.0,0.0,0.0,26.0
1.0,0.0,0.0,0.0,0.0,0.0,4000.0,109.25,115.35,4000.0,715,,,,,,,,,,
3.0,0.0,0.0,0.0,0.0,0.0,4000.0,105.3,110.9,4000.0,720,1000.0,0.9,1.4,1000.0,-0.55,1.0,33.26,4.0,-2.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,103.25,125.8,5000.0,720,63000.0,0.2,13.85,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,4000.0,99.8,105.9,4000.0,725,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,0.0,3000.0,95.5,101.45,3000.0,730,2000.0,1.35,1.4,1000.0,-0.7999999999999998,1.35,32.47,15.0,0.0,122.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,93.5,115.0,5000.0,730,63000.0,0.2,13.55,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,86.35,92.2,3000.0,740,2000.0,1.85,1.95,4000.0,-0.95,1.95,32.22,15.0,0.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,83.6,105.05,5000.0,740,48000.0,0.2,13.45,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,1000.0,81.2,86.65,1000.0,745,1000.0,1.95,2.65,1000.0,0.0,0.0,0.0,0.0,0.0,4.0
