CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,960,625.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,186.0,192.0,625.0,980,6875.0,0.15,0.9,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,145.95,0.0,0.0,980,17500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,2.0,36.3,172.25,-0.44999999999998863,1875.0,166.3,170.3,625.0,1000,5625.0,0.45,0.5,3750.0,-0.15000000000000002,0.5,30.08,87.0,-2.0,630.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,128.2,225.8,3125.0,1000,2500.0,2.1,2.3,625.0,-0.3500000000000001,2.1,26.91,2.0,0.0,45.0
,,,,,,,,,,1000,2500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,625.0,146.55,153.35,625.0,1020,625.0,0.55,0.7,1250.0,0.09999999999999998,0.7,28.67,5.0,2.0,173.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,111.35,0.0,0.0,1020,2500.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1250.0,127.0,133.7,625.0,1040,1250.0,0.85,0.9,1250.0,-0.20000000000000007,0.85,26.07,115.0,24.0,991.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,133.75,148.95,3125.0,1040,625.0,3.8,4.15,625.0,0.0,0.0,0.0,0.0,0.0,8.0
,,,,,,,,,,1040,17500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,5.0,10.0,28.38,123.0,2.1500000000000057,625.0,118.9,121.1,625.0,1050,625.0,1.2,1.3,625.0,-0.1499999999999999,1.3,26.3,133.0,56.0,216.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,122.3,146.8,3125.0,1050,1250.0,2.0,11.2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,5.0,6.0,28.09,113.65,2.8000000000000114,625.0,109.6,112.0,625.0,1060,1875.0,1.55,1.65,3125.0,-0.34999999999999987,1.55,25.49,213.0,-19.0,842.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,115.4,130.05,3125.0,1060,625.0,5.25,5.65,625.0,0.0,0.0,0.0,0.0,0.0,14.0
,,,,,,,,,,1060,17500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,3.0,9.0,27.1,104.15,2.450000000000003,625.0,100.95,102.5,625.0,1070,1250.0,2.05,2.15,3125.0,-0.6499999999999999,1.9,24.47,99.0,5.0,653.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,104.1,130.95,3125.0,1070,1250.0,3.6,15.3,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,1.0,22.51,93.2,0.15000000000000568,625.0,91.05,95.1,3125.0,1080,6250.0,2.7,2.85,5625.0,-0.5499999999999998,2.7,24.71,213.0,15.0,769.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,95.2,119.95,3125.0,1080,1250.0,4.2,14.2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,625.0,80.85,85.2,2500.0,1090,9375.0,3.7,3.8,5000.0,-0.4500000000000002,3.8,24.67,143.0,29.0,356.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,82.75,110.15,3125.0,1090,2500.0,2.0,14.25,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
462.0,8.0,201.0,20.01,74.5,-2.700000000000003,1250.0,74.55,74.95,1250.0,1100,9375.0,4.9,4.95,1250.0,-0.6999999999999993,4.9,24.31,823.0,150.0,1236.0
19.0,0.0,21.0,20.69,87.0,-1.0,625.0,85.2,87.75,625.0,1100,625.0,10.55,10.85,625.0,-0.9499999999999993,10.25,22.49,48.0,6.0,211.0
,,,,,,,,,,1100,1250.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,9.0,14.0,24.97,68.65,-0.09999999999999432,1250.0,64.9,66.65,625.0,1110,3125.0,6.45,6.55,1250.0,-0.75,6.5,24.19,172.0,43.0,239.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,74.25,88.45,625.0,1110,625.0,12.4,13.15,625.0,12.049999999999999,12.1,22.2,3.0,2.0,3.0
72.0,-3.0,56.0,24.05,60.1,0.0,625.0,57.8,58.4,625.0,1120,2500.0,8.35,8.45,625.0,-0.6500000000000004,8.45,23.78,391.0,-32.0,607.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,66.1,80.5,3125.0,1120,625.0,15.15,15.45,625.0,-0.8000000000000007,15.0,22.48,12.0,5.0,80.0
,,,,,,,,,,1120,625.0,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,-5.0,43.0,21.3,50.2,-1.8499999999999943,625.0,50.3,50.7,625.0,1130,4375.0,10.65,10.85,3750.0,-0.8000000000000007,10.75,23.62,372.0,-28.0,445.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,55.9,74.5,3125.0,1130,625.0,17.5,18.35,625.0,-1.2999999999999972,17.1,21.93,1.0,0.0,3.0
100.0,1.0,90.0,21.72,42.95,-2.9499999999999957,1250.0,43.35,43.65,625.0,1140,1250.0,13.55,13.65,1250.0,-0.5499999999999989,13.65,23.58,482.0,-15.0,638.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,52.2,67.5,3125.0,1140,625.0,20.65,21.45,1250.0,-0.3999999999999986,20.5,22.04,10.0,3.0,121.0
,,,,,,,,,,1140,625.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537.0,38.0,719.0,21.14,36.85,-2.3500000000000014,625.0,36.8,37.0,1250.0,1150,625.0,16.9,17.05,3125.0,-0.75,16.9,23.55,1310.0,-65.0,1944.0
21.0,20.0,24.0,19.3,50.2,-2.8999999999999986,625.0,50.35,51.4,625.0,1150,1250.0,24.5,25.05,1250.0,-0.15000000000000213,24.7,22.39,28.0,5.0,45.0
1014.0,110.0,2478.0,21.15,30.75,-2.25,625.0,30.7,30.9,625.0,1160,1875.0,20.85,21.0,4375.0,-0.8000000000000007,20.95,23.46,1443.0,75.0,1113.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,37.0,48.0,625.0,1160,625.0,28.15,29.3,625.0,0.0,0.0,0.0,0.0,0.0,19.0
,,,,,,,,,,1160,625.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802.0,151.0,2561.0,21.34,25.4,-2.0,3750.0,25.4,25.6,1875.0,1170,625.0,25.45,25.6,1875.0,-0.5,25.35,23.25,1502.0,277.0,1200.0
55.0,9.0,28.0,20.67,41.0,-0.29999999999999716,1250.0,39.25,40.15,625.0,1170,1250.0,32.55,33.75,1875.0,0.04999999999999716,32.55,22.01,4.0,0.0,7.0
3731.0,-471.0,4108.0,21.13,20.7,-1.6000000000000014,1250.0,20.6,20.7,3750.0,1180,1250.0,30.65,30.8,3125.0,-0.15000000000000213,30.7,23.28,784.0,7.0,1814.0
52.0,2.0,14.0,20.0,34.8,-1.0,625.0,34.6,35.2,1250.0,1180,625.0,37.5,38.8,625.0,0.29999999999999716,40.3,23.7,2.0,0.0,18.0
1573.0,64.0,1557.0,20.88,16.4,-1.6500000000000021,3125.0,16.35,16.45,625.0,1190,1250.0,36.3,36.5,625.0,0.04999999999999716,36.4,23.33,370.0,-7.0,356.0
3.0,-1.0,2.0,21.4,32.6,2.1000000000000014,625.0,29.7,30.75,625.0,1190,3125.0,37.8,50.5,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
8313.0,295.0,4322.0,20.78,12.85,-1.5,1875.0,12.85,12.95,4375.0,1200,1875.0,42.65,42.85,625.0,-0.04999999999999716,42.95,23.46,461.0,55.0,3034.0
281.0,-2.0,83.0,20.18,26.35,-1.4499999999999993,625.0,26.05,26.65,1250.0,1200,625.0,48.75,50.15,625.0,-2.3499999999999943,48.45,22.08,15.0,1.0,149.0
4002.0,70.0,1190.0,20.96,10.05,-1.3499999999999996,6250.0,10.0,10.1,1875.0,1210,625.0,49.85,50.35,625.0,-2.3999999999999986,47.5,20.62,99.0,-4.0,451.0
1.0,0.0,0.0,0.0,0.0,0.0,625.0,22.1,23.1,625.0,1210,3125.0,41.5,60.85,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
4417.0,171.0,1859.0,21.33,7.95,-0.9999999999999991,1875.0,7.95,8.0,625.0,1220,625.0,57.45,58.0,625.0,0.04999999999999716,57.5,23.28,49.0,-14.0,593.0
59.0,3.0,9.0,20.57,19.9,-1.0500000000000007,625.0,18.9,19.7,625.0,1220,625.0,60.9,66.4,1250.0,0.0,0.0,0.0,0.0,0.0,15.0
2357.0,107.0,1443.0,21.79,6.4,-0.7999999999999998,25625.0,6.4,6.45,1250.0,1230,625.0,65.8,66.65,625.0,-1.7999999999999972,63.3,20.66,72.0,-6.0,559.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,14.7,18.35,1250.0,1230,3125.0,58.25,76.2,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
1829.0,64.0,604.0,22.18,5.1,-0.75,3750.0,5.1,5.2,4375.0,1240,1875.0,74.4,74.9,625.0,1.75,75.25,24.8,102.0,-30.0,569.0
136.0,24.0,46.0,20.95,14.85,-0.25,625.0,13.7,14.35,625.0,1240,1250.0,73.45,80.55,2500.0,0.0,0.0,0.0,0.0,0.0,1.0
3191.0,13.0,1329.0,22.63,4.05,-0.6000000000000005,6250.0,4.05,4.15,3750.0,1250,625.0,83.45,84.05,625.0,0.5999999999999943,83.55,25.43,85.0,0.0,252.0
47.0,4.0,16.0,20.63,12.1,0.09999999999999964,625.0,11.9,12.25,625.0,1250,10000.0,80.05,87.45,625.0,1.9500000000000028,83.25,22.78,5.0,1.0,2.0
1578.0,2.0,663.0,22.89,3.2,-0.3999999999999999,1250.0,3.2,3.25,3125.0,1260,625.0,91.75,93.95,625.0,-4.349999999999994,89.4,19.85,24.0,-1.0,72.0
38.0,0.0,1.0,21.1,10.7,0.4499999999999993,625.0,9.95,10.4,1250.0,1260,3125.0,81.85,97.85,8750.0,0.0,0.0,0.0,0.0,0.0,0.0
651.0,-19.0,397.0,23.51,2.6,-0.2999999999999998,11250.0,2.5,2.6,9375.0,1270,625.0,101.8,103.05,625.0,-2.3499999999999943,98.65,19.39,41.0,-4.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,7.15,10.65,1250.0,1270,3125.0,84.85,107.8,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
831.0,-37.0,350.0,23.98,2.1,-0.25,5625.0,2.0,2.1,4375.0,1280,3125.0,110.4,112.45,625.0,-0.6999999999999886,109.15,22.72,71.0,-10.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,5.85,8.9,625.0,1280,3125.0,98.25,116.85,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
710.0,-4.0,80.0,23.98,1.55,-0.30000000000000004,625.0,1.6,1.7,2500.0,1290,625.0,120.2,122.9,625.0,-3.6000000000000085,117.6,16.57,10.0,-3.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,1.1,19.95,2500.0,1290,3125.0,104.2,136.65,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
3913.0,74.0,956.0,25.15,1.45,-0.15000000000000013,6250.0,1.4,1.45,6250.0,1300,1250.0,130.4,131.0,625.0,-3.049999999999983,127.15,0.0,70.0,4.0,295.0
235.0,0.0,16.0,21.82,5.65,-0.2999999999999998,3125.0,5.4,5.5,1250.0,1300,11875.0,121.4,130.9,1250.0,-0.6000000000000085,124.8,23.57,3.0,0.0,69.0
159.0,-13.0,47.0,25.27,1.1,-0.25,625.0,1.15,1.2,1250.0,1310,625.0,139.4,142.45,625.0,1.8000000000000114,138.25,24.49,3.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,3.0,16.35,2500.0,1310,3125.0,124.75,152.85,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
441.0,-78.0,151.0,25.98,0.95,-0.15000000000000013,1875.0,0.95,1.05,625.0,1320,625.0,147.5,154.15,625.0,0.0,0.0,0.0,0.0,0.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,3.15,16.3,625.0,1320,3125.0,134.85,162.15,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.2,0.0,0.0,1320,,,,,,,,,,
782.0,-14.0,155.0,26.27,0.75,-0.15000000000000002,1875.0,0.75,0.8,1250.0,1330,625.0,157.25,163.95,625.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,2.7,0.0,0.0,1330,3125.0,116.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435.0,10.0,26.0,27.55,0.75,-0.09999999999999998,3125.0,0.65,0.85,625.0,1340,625.0,167.15,173.75,625.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,2.5,0.0,0.0,1340,3125.0,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.2,0.0,0.0,1340,,,,,,,,,,
401.0,-1.0,43.0,27.49,0.65,0.0,10625.0,0.55,0.75,625.0,1350,625.0,179.1,182.15,625.0,1.5,176.25,0.0,7.0,4.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,1.6,0.0,0.0,1350,3125.0,132.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833.0,-7.0,15.0,27.88,0.5,-0.050000000000000044,5000.0,0.45,0.55,1875.0,1360,625.0,186.75,193.4,2500.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,625.0,2.2,2.5,625.0,1360,3125.0,141.15,235.15,625.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.2,0.0,0.0,1360,,,,,,,,,,
521.0,0.0,3.0,29.71,0.4,0.050000000000000044,20000.0,0.3,0.4,3125.0,1380,625.0,206.55,213.15,625.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,24.15,1.85,-0.19999999999999973,625.0,1.65,1.95,625.0,1380,3125.0,158.65,254.75,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
843.0,0.0,7.0,30.78,0.3,-0.10000000000000003,47500.0,0.3,0.4,3750.0,1400,625.0,228.4,231.9,625.0,0.45000000000001705,225.55,0.0,3.0,2.0,14.0
68.0,1.0,4.0,25.1,1.55,0.050000000000000044,1250.0,1.5,1.55,1875.0,1400,3125.0,176.6,274.4,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,2.05,0.0,0.0,1400,,,,,,,,,,
93.0,0.0,2.0,31.34,0.2,0.0,11250.0,0.2,0.25,17500.0,1420,,,,,,,,,,
