CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
4.0,0.0,0.0,0.0,0.0,0.0,1200.0,541.55,560.3,1200.0,2080,3300,0.05,1.6,900,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1200.0,501.7,519.8,300.0,2120,11100,0.05,1.55,600,0.0,0.0,0.0,0,0,12
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,462.05,478.35,1200.0,2160,10200,0.15,1.7,3300,0.0,0.0,0.0,0,0,7
,,,,,,,,,,2180,2400,0.2,1.75,2400,0.0,0.0,0.0,0,0,5
5.0,0.0,0.0,0.0,0.0,0.0,1200.0,422.3,441.05,900.0,2200,300,0.7,1.65,300,-0.25,0.75,32.56,9,-4,119
2.0,0.0,0.0,0.0,0.0,0.0,1200.0,402.55,421.3,900.0,2220,4200,0.35,1.95,900,0.0,0.0,0.0,0,0,16
1.0,0.0,0.0,0.0,0.0,0.0,1200.0,382.85,401.75,900.0,2240,300,0.5,2.15,900,0.0,0.0,0.0,0,0,19
1.0,0.0,0.0,0.0,0.0,0.0,1200.0,363.0,382.85,900.0,2260,4800,0.5,2.5,4800,0.0,0.0,0.0,0,0,0
2.0,0.0,0.0,0.0,0.0,0.0,900.0,341.3,361.4,900.0,2280,300,0.85,1.45,300,-0.050000000000000044,1.3,0.0,1,0,21
2.0,0.0,0.0,0.0,0.0,0.0,1200.0,322.65,342.05,900.0,2300,300,1.35,1.5,600,-0.25,1.4,27.92,2,0,116
2.0,0.0,0.0,0.0,0.0,0.0,1200.0,303.95,323.95,900.0,2320,300,1.1,3.35,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,284.15,304.4,900.0,2340,4200,1.2,3.65,9000,0.0,0.0,0.0,0,0,1
3.0,0.0,0.0,0.0,0.0,0.0,1200.0,262.05,284.4,900.0,2360,900,2.25,2.4,600,-0.3500000000000001,2.4,25.71,41,8,78
8.0,0.0,0.0,0.0,0.0,0.0,1500.0,242.7,264.05,2100.0,2380,300,1.8,5.4,1200,0.0,0.0,0.0,0,0,50
167.0,0.0,1.0,0.0,235.6,10.650000000000006,1200.0,227.25,236.8,300.0,2400,300,3.4,3.55,300,-0.6000000000000001,3.4,24.18,44,-11,426
13.0,0.0,0.0,0.0,0.0,0.0,1200.0,203.4,221.9,1200.0,2420,300,4.35,4.6,300,-0.5500000000000007,4.35,23.66,10,-5,14
46.0,-2.0,3.0,0.0,190.0,22.0,1800.0,187.75,200.8,300.0,2440,300,5.55,5.9,300,-1.0999999999999996,5.65,23.32,21,-6,53
43.0,0.0,0.0,0.0,0.0,0.0,300.0,171.45,185.95,2100.0,2460,300,7.0,8.05,300,-0.75,7.35,23.04,14,-5,35
45.0,0.0,0.0,0.0,0.0,0.0,2100.0,150.25,167.75,2100.0,2480,300,9.25,9.75,300,-0.3000000000000007,10.25,23.31,30,1,49
216.0,-1.0,19.0,17.72,144.0,1.4499999999999886,300.0,135.3,152.3,2100.0,2500,300,12.15,12.55,300,-1.75,11.85,22.38,200,-46,251
67.0,0.0,0.0,0.0,0.0,0.0,900.0,120.65,135.45,300.0,2520,300,15.3,15.95,300,0.1999999999999993,16.75,22.95,16,-9,53
53.0,2.0,12.0,14.67,105.4,-4.049999999999997,300.0,106.2,110.0,600.0,2540,300,18.75,21.75,300,-3.3000000000000007,18.2,21.3,26,3,93
228.0,-6.0,28.0,17.85,93.5,-1.0499999999999972,300.0,93.5,94.65,300.0,2560,300,24.95,25.7,300,-1.9499999999999993,25.6,22.44,39,-3,141
161.0,-3.0,22.0,17.02,78.85,-4.800000000000011,600.0,78.75,81.1,300.0,2580,600,31.65,32.9,300,1.2999999999999972,34.75,23.46,20,-1,108
519.0,-3.0,214.0,18.64,69.3,-0.7999999999999972,300.0,67.9,69.5,300.0,2600,300,39.1,40.0,300,-3.1499999999999986,38.9,21.99,84,0,236
118.0,34.0,120.0,18.7,57.9,-2.200000000000003,300.0,56.8,58.05,300.0,2620,300,48.35,50.0,300,-2.8500000000000014,49.0,22.87,56,8,52
166.0,12.0,77.0,19.93,50.8,0.3999999999999986,600.0,47.4,48.95,300.0,2640,300,58.3,60.4,300,-36.349999999999994,56.75,21.92,5,0,7
62.0,-5.0,36.0,19.55,40.75,-2.049999999999997,300.0,39.0,40.05,300.0,2660,300,62.25,77.95,300,0.0,0.0,0.0,0,0,4
56.0,0.0,0.0,0.0,0.0,0.0,300.0,22.6,38.6,300.0,2680,300,72.2,96.25,300,0.0,0.0,0.0,0,0,0
729.0,21.0,231.0,19.9,26.65,-1.6000000000000014,300.0,25.7,26.55,300.0,2700,1500,87.4,101.2,300,-0.6500000000000057,98.35,24.47,5,1,11
62.0,-5.0,12.0,19.96,21.45,-1.4499999999999993,300.0,20.85,21.6,300.0,2720,300,102.9,119.4,300,0.0,0.0,0.0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3.6,25.85,9000.0,2740,300,111.85,143.3,300,0.0,0.0,0.0,0,0,0
116.0,2.0,20.0,20.38,13.6,-1.4000000000000004,300.0,13.3,13.9,300.0,2760,300,134.3,151.25,300,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.3,17.5,900.0,2780,300,145.55,172.75,300,0.0,0.0,0.0,0,0,0
298.0,29.0,96.0,21.37,8.7,-0.9500000000000011,600.0,8.6,9.0,300.0,2800,300,167.45,188.15,300,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,1.75,9.0,300.0,2820,300,185.1,205.0,300,0.0,0.0,0.0,0,0,1
123.0,-2.0,15.0,21.46,5.35,-1.0,300.0,5.25,5.7,600.0,2840,900,204.45,224.65,300,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,3.05,5.6,300.0,2860,900,222.75,241.2,300,0.0,0.0,0.0,0,0,0
12.0,0.0,4.0,21.92,3.25,-0.7000000000000002,600.0,3.4,3.6,300.0,2880,300,250.55,255.4,300,-23.900000000000006,250.1,29.27,10,0,13
18.0,0.0,8.0,22.95,2.25,-0.4500000000000002,300.0,2.05,2.45,300.0,2920,900,280.2,297.65,1200,0.0,0.0,0.0,0,0,2
4.0,0.0,0.0,0.0,0.0,0.0,3300.0,0.4,2.95,300.0,2960,900,317.75,340.65,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.1,4.0,300.0,3000,900,355.55,381.4,900,0.0,0.0,0.0,0,0,0
