CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
606.0,0.0,0.0,0.0,0.0,0.0,475.0,402.95,412.65,4275.0,1600,1900.0,0.2,0.25,1900.0,0.0,0.2,35.61,9.0,-1.0,226.0
1.0,0.0,0.0,0.0,0.0,0.0,2375.0,359.85,528.05,2375.0,1600,475.0,1.65,1.9,475.0,0.0,0.0,0.0,0.0,0.0,42.0
,,,,,,,,,,1640,950.0,0.2,0.3,950.0,0.0,0.25,34.03,1.0,0.0,19.0
1.0,0.0,0.0,0.0,0.0,0.0,1900.0,321.4,336.55,1900.0,1680,475.0,0.25,0.7,475.0,0.0,0.3,31.2,13.0,-5.0,39.0
35.0,0.0,0.0,0.0,0.0,0.0,475.0,303.45,313.0,475.0,1700,5700.0,0.4,0.55,475.0,0.050000000000000044,0.55,31.74,52.0,-37.0,166.0
2.0,0.0,0.0,0.0,0.0,0.0,1425.0,281.6,293.7,1900.0,1720,475.0,0.45,0.55,950.0,0.09999999999999998,0.6,30.25,5.0,-2.0,160.0
0.0,0.0,0.0,0.0,0.0,0.0,2375.0,245.95,0.0,0.0,1720,4275.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1740,475.0,0.45,0.55,475.0,0.19999999999999996,0.6,28.4,43.0,-7.0,190.0
1.0,0.0,0.0,0.0,0.0,0.0,1425.0,242.25,257.1,1425.0,1760,950.0,0.65,0.8,475.0,0.25,0.8,26.86,5.0,-3.0,106.0
0.0,0.0,0.0,0.0,0.0,0.0,475.0,253.25,284.35,2375.0,1760,2375.0,1.2,12.05,1900.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1760,3800.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
