CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,200,126000.0,0.1,0.2,18375.0,0.0,0.0,0.0,0.0,0.0,165.0
,,,,,,,,,,210,128625.0,0.1,0.15,15750.0,-0.05000000000000002,0.15,43.62,19.0,-4.0,62.0
87.0,0.0,0.0,0.0,0.0,0.0,18375.0,42.3,44.25,10500.0,220,186375.0,0.2,0.3,13125.0,-0.09999999999999998,0.25,38.81,75.0,-4.0,193.0
0.0,0.0,0.0,0.0,0.0,0.0,10500.0,44.2,47.0,10500.0,220,2625.0,1.05,1.4,5250.0,0.0,0.0,0.0,0.0,0.0,8.0
,,,,,,,,,,220,42000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,225,2625.0,0.35,0.4,7875.0,-0.15000000000000002,0.4,37.82,23.0,-4.0,70.0
52.0,-3.0,19.0,55.96,36.35,7.800000000000001,2625.0,34.0,34.3,2625.0,230,10500.0,0.5,0.55,5250.0,-0.19999999999999996,0.55,35.77,77.0,-27.0,262.0
0.0,0.0,1.0,26.31,36.0,-14.75,7875.0,35.45,39.15,10500.0,230,2625.0,1.85,2.55,5250.0,-0.10000000000000009,2.4,36.52,1.0,0.0,11.0
,,,,,,,,,,230,42000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,-2.0,18.0,27.3,28.85,4.550000000000001,5250.0,29.3,29.55,2625.0,235,2625.0,0.8,0.85,7875.0,-0.29999999999999993,0.85,34.66,104.0,-1.0,205.0
0.0,0.0,0.0,0.0,0.0,0.0,10500.0,30.25,36.15,13125.0,235,2625.0,1.75,4.75,10500.0,0.0,0.0,0.0,0.0,0.0,2.0
113.0,-84.0,149.0,29.85,24.45,3.1499999999999986,2625.0,24.8,25.0,2625.0,240,42000.0,1.25,1.35,34125.0,-0.55,1.3,34.01,397.0,-9.0,708.0
2.0,0.0,0.0,0.0,0.0,0.0,5250.0,27.5,29.2,5250.0,240,2625.0,3.55,4.0,2625.0,-0.9499999999999997,3.6,33.64,16.0,-7.0,38.0
,,,,,,,,,,240,42000.0,0.05,15.0,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,-9.0,57.0,30.52,20.25,3.25,2625.0,20.6,20.75,2625.0,245,34125.0,2.0,2.05,5250.0,-0.8500000000000001,2.05,33.19,560.0,-22.0,341.0
0.0,0.0,0.0,0.0,0.0,0.0,10500.0,22.3,26.6,10500.0,245,2625.0,3.9,5.75,2625.0,0.0,0.0,0.0,0.0,0.0,2.0
303.0,-36.0,303.0,31.44,16.85,3.450000000000001,2625.0,16.7,16.85,10500.0,250,7875.0,3.1,3.15,52500.0,-1.2499999999999996,3.1,32.96,1051.0,56.0,903.0
1.0,0.0,1.0,29.99,20.7,1.8000000000000007,18375.0,20.05,22.5,5250.0,250,2625.0,6.1,7.15,2625.0,-0.9499999999999993,6.4,33.81,9.0,2.0,25.0
