CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,280,27500,0.05,0.1,10000,0.0,0.0,0.0,0,0,17
,,,,,,,,,,290,25000,0.1,0.15,2500,0.0,0.15,46.34,7,1,12
,,,,,,,,,,295,2500,0.1,0.2,10000,0.0,0.0,0.0,0,0,4
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,73.9,77.0,10000.0,300,5000,0.2,0.25,52500,0.04999999999999999,0.25,44.01,9,2,254
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,75.55,83.2,10000.0,300,25000,0.3,4.0,10000,0.0,0.0,0.0,0,0,0
,,,,,,,,,,305,77500,0.15,0.3,20000,0.0,0.0,0.0,0,0,22
1.0,0.0,0.0,0.0,0.0,0.0,7500.0,63.5,66.55,10000.0,310,10000,0.25,0.3,2500,-0.09999999999999998,0.25,38.38,11,0,99
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,66.0,73.3,10000.0,310,25000,0.4,4.55,25000,0.0,0.0,0.0,0,0,0
10.0,0.0,0.0,0.0,0.0,0.0,7500.0,59.1,62.15,10000.0,315,12500,0.25,0.55,5000,0.0,0.0,0.0,0,0,29
10.0,0.0,0.0,0.0,0.0,0.0,17500.0,53.95,56.8,2500.0,320,7500,0.35,0.45,2500,-0.19999999999999996,0.4,35.56,27,-11,134
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,55.9,62.95,10000.0,320,2500,0.65,4.05,10000,0.0,0.0,0.0,0,0,6
7.0,0.0,0.0,0.0,0.0,0.0,17500.0,49.05,51.9,5000.0,325,5000,0.45,0.5,10000,-0.19999999999999996,0.5,34.03,21,-2,151
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50.65,58.5,12500.0,325,0,0.0,4.05,10000,0.0,0.0,0.0,0,0,0
75.0,0.0,6.0,30.64,45.6,4.550000000000004,2500.0,45.95,46.5,2500.0,330,30000,0.6,0.75,22500,-0.30000000000000004,0.7,32.74,151,15,412
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,48.05,52.0,10000.0,330,2500,2.3,3.0,2500,-0.40000000000000036,2.3,31.04,3,0,19
14.0,2.0,17.0,29.51,40.75,5.100000000000001,2500.0,41.05,41.8,2500.0,335,2500,0.8,0.85,2500,-0.4,0.9,31.9,29,-5,58
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,42.15,49.85,10000.0,335,2500,1.4,6.05,10000,0.0,0.0,0.0,0,0,14
125.0,3.0,25.0,29.06,36.65,4.350000000000001,2500.0,36.65,37.0,2500.0,340,12500,1.05,1.15,7500,-0.6000000000000001,1.15,31.13,177,20,318
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,39.25,45.45,12500.0,340,2500,3.3,5.0,2500,-1.4500000000000002,3.25,29.15,2,0,21
32.0,-2.0,27.0,29.01,31.4,4.099999999999998,2500.0,32.1,32.5,2500.0,345,12500,1.45,1.55,5000,-0.95,1.55,29.43,61,1,53
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,35.3,41.6,10000.0,345,27500,4.5,7.7,10000,0.0,0.0,0.0,0,0,0
259.0,-6.0,56.0,28.48,27.35,3.25,2500.0,27.7,28.1,2500.0,350,7500,2.05,2.15,7500,-1.15,2.1,28.96,445,44,513
6.0,0.0,0.0,0.0,0.0,0.0,5000.0,31.2,35.05,5000.0,350,2500,5.1,6.3,2500,-1.7999999999999998,5.5,29.52,3,-1,16
172.0,-8.0,35.0,28.3,23.25,2.3000000000000007,2500.0,23.65,23.95,2500.0,355,2500,2.9,3.0,7500,-1.4000000000000004,3.0,28.43,103,17,337
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,23.15,37.15,2500.0,355,5000,2.1,12.0,10000,0.0,0.0,0.0,0,0,0
638.0,-6.0,188.0,27.51,19.25,2.6499999999999986,2500.0,19.8,20.1,7500.0,360,2500,4.05,4.15,7500,-1.8500000000000005,4.05,28.06,558,-23,545
22.0,0.0,0.0,0.0,0.0,0.0,5000.0,23.75,30.2,5000.0,360,2500,7.9,10.5,2500,0.0,0.0,0.0,0,0,3
170.0,-7.0,94.0,27.82,16.05,2.25,2500.0,16.3,16.55,2500.0,365,7500,5.55,5.7,2500,-2.25,5.65,28.1,283,7,181
2.0,0.0,0.0,0.0,0.0,0.0,10000.0,18.6,26.9,2500.0,365,10000,4.55,11.9,2500,0.0,0.0,0.0,0,0,0
455.0,-95.0,1129.0,27.75,13.4,2.25,2500.0,13.3,13.4,2500.0,370,5000,7.45,7.55,7500,-2.7,7.55,27.95,969,65,519
1.0,0.0,0.0,0.0,0.0,0.0,2500.0,20.05,21.5,2500.0,370,2500,12.5,13.8,2500,-3.75,12.0,28.89,3,0,6
484.0,5.0,1174.0,27.58,10.75,1.8499999999999996,2500.0,10.7,10.85,7500.0,375,5000,9.8,9.95,2500,-2.6999999999999993,10.0,28.14,513,35,158
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,14.9,19.45,2500.0,375,10000,10.45,18.4,10000,0.0,0.0,0.0,0,0,0
805.0,28.0,2099.0,28.14,8.5,1.5999999999999996,7500.0,8.45,8.6,5000.0,380,2500,12.5,12.65,2500,-3.25,12.75,28.23,603,56,287
12.0,1.0,5.0,30.53,16.0,2.5,2500.0,14.95,16.6,2500.0,380,2500,16.5,18.8,2500,0.0,0.0,0.0,0,0,0
224.0,27.0,458.0,28.1,6.6,1.25,2500.0,6.6,6.7,2500.0,385,7500,15.55,15.8,2500,-3.5999999999999996,15.9,28.72,85,8,57
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10.0,18.1,10000.0,385,12500,15.45,26.65,10000,0.0,0.0,0.0,0,0,0
505.0,70.0,1140.0,28.23,5.1,1.0,17500.0,5.1,5.2,7500.0,390,2500,19.05,19.35,2500,-3.900000000000002,19.4,28.99,80,11,71
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,10.0,12.9,2500.0,390,12500,19.55,29.75,12500,0.0,0.0,0.0,0,0,0
102.0,15.0,117.0,28.53,4.0,0.7999999999999998,2500.0,3.9,4.05,15000.0,395,5000,22.8,23.1,2500,-3.8000000000000007,23.45,29.48,11,5,22
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,9.9,15.5,10000.0,395,12500,21.2,34.1,10000,0.0,0.0,0.0,0,0,0
1052.0,38.0,895.0,29.25,2.95,0.5500000000000003,7500.0,2.95,3.05,20000.0,400,2500,26.8,27.25,2500,-4.0,26.4,25.3,22,-1,71
58.0,4.0,22.0,29.75,8.95,1.1999999999999993,2500.0,8.75,9.1,7500.0,400,12500,28.3,33.15,10000,0.0,0.0,0.0,0,0,0
65.0,13.0,85.0,28.92,2.0,0.25,5000.0,2.2,2.3,7500.0,405,7500,31.0,31.6,2500,-0.9000000000000021,29.7,17.2,11,-2,9
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2.8,11.95,10000.0,405,12500,27.3,40.3,10000,0.0,0.0,0.0,0,0,0
402.0,14.0,289.0,29.65,1.7,0.34999999999999987,5000.0,1.65,1.75,15000.0,410,5000,35.35,35.85,5000,-0.7000000000000028,36.4,31.04,24,-4,14
3.0,0.0,0.0,0.0,0.0,0.0,5000.0,5.8,7.85,2500.0,410,12500,33.05,41.4,10000,0.0,0.0,0.0,0,0,0
41.0,19.0,53.0,30.34,1.25,0.25,2500.0,1.25,1.35,12500.0,415,2500,40.0,40.5,2500,-6.25,39.5,18.77,11,7,9
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2.25,11.25,10000.0,415,12500,36.25,49.65,10000,0.0,0.0,0.0,0,0,0
186.0,9.0,202.0,30.78,0.95,0.1499999999999999,10000.0,0.9,1.0,10000.0,420,5000,44.65,45.15,2500,0.6000000000000014,45.15,0.0,25,13,18
1.0,0.0,0.0,0.0,0.0,0.0,2500.0,3.95,5.9,2500.0,420,12500,42.95,49.45,10000,0.0,0.0,0.0,0,0,0
66.0,30.0,80.0,31.01,0.5,0.04999999999999999,5000.0,0.5,0.6,5000.0,430,2500,53.55,56.1,2500,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,10000.0,430,22500,49.35,63.35,10000,0.0,0.0,0.0,0,0,0
