CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
2.0,0.0,0.0,0.0,0.0,0.0,7900.0,92.05,95.15,9875.0,255,,,,,,,,,,
26.0,0.0,0.0,0.0,0.0,0.0,19750.0,86.95,89.2,1975.0,260,0.0,0.0,0.1,51350.0,-0.05,0.05,46.7,11.0,0.0,126.0
3.0,0.0,0.0,0.0,0.0,0.0,7900.0,82.15,85.1,7900.0,265,0.0,0.0,0.1,63200.0,0.0,0.0,0.0,0.0,0.0,15.0
14.0,1.0,2.0,71.01,81.45,10.700000000000003,1975.0,77.55,78.75,1975.0,270,29625.0,0.05,0.1,94800.0,0.0,0.1,44.78,73.0,-50.0,94.0
2.0,0.0,0.0,0.0,0.0,0.0,7900.0,71.9,75.15,5925.0,275,57275.0,0.05,0.1,7900.0,0.0,0.0,0.0,0.0,0.0,154.0
38.0,0.0,0.0,0.0,0.0,0.0,7900.0,67.25,70.25,13825.0,280,37525.0,0.1,0.15,39500.0,0.0,0.15,41.32,20.0,-10.0,201.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,65.6,70.4,9875.0,280,5925.0,0.85,0.95,1975.0,0.0,0.95,37.55,16.0,7.0,100.0
13.0,0.0,0.0,0.0,0.0,0.0,7900.0,62.05,65.3,5925.0,285,5925.0,0.15,0.2,1975.0,-0.05000000000000002,0.15,38.44,7.0,0.0,15.0
37.0,0.0,0.0,0.0,0.0,0.0,9875.0,57.2,59.95,7900.0,290,15800.0,0.2,0.25,3950.0,0.04999999999999999,0.25,37.12,45.0,-18.0,232.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,55.9,61.9,9875.0,290,3950.0,0.8,2.4,1975.0,0.0,0.0,0.0,0.0,0.0,1.0
37.0,0.0,0.0,0.0,0.0,0.0,19750.0,52.5,55.5,13825.0,295,3950.0,0.25,0.35,1975.0,0.04999999999999999,0.3,36.48,33.0,-17.0,104.0
150.0,-1.0,6.0,0.0,49.5,-3.450000000000003,1975.0,48.45,49.05,1975.0,300,13825.0,0.4,0.45,13825.0,0.0,0.4,35.17,84.0,-14.0,473.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,46.5,50.85,9875.0,300,1975.0,1.5,1.7,3950.0,0.09999999999999987,1.65,32.95,2.0,0.0,81.0
,,,,,,,,,,300,3950.0,1.55,6.3,1975.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,7900.0,42.9,45.45,19750.0,305,5925.0,0.5,0.55,1975.0,0.050000000000000044,0.55,33.42,39.0,14.0,149.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,40.65,47.65,9875.0,305,1975.0,0.4,3.45,7900.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,-2.0,10.0,49.07,39.3,-5.900000000000006,1975.0,38.95,39.25,3950.0,310,9875.0,0.7,0.8,13825.0,0.050000000000000044,0.75,32.91,70.0,-7.0,264.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,37.35,42.2,9875.0,310,3950.0,2.35,2.5,3950.0,-0.09999999999999964,2.2,30.19,15.0,-1.0,23.0
,,,,,,,,,,310,3950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,1975.0,33.8,34.75,1975.0,315,21725.0,1.0,1.1,35550.0,0.050000000000000044,1.05,31.6,115.0,-15.0,367.0
0.0,0.0,0.0,0.0,0.0,0.0,19750.0,30.6,39.75,9875.0,315,1975.0,0.35,5.3,7900.0,0.0,0.0,0.0,0.0,0.0,0.0
319.0,-3.0,11.0,27.06,31.05,-4.550000000000001,1975.0,29.75,30.0,3950.0,320,23700.0,1.4,1.5,21725.0,0.1499999999999999,1.45,31.33,349.0,31.0,681.0
6.0,0.0,0.0,0.0,0.0,0.0,3950.0,27.95,33.6,13825.0,320,3950.0,2.75,4.05,1975.0,0.20000000000000018,3.7,29.71,2.0,-1.0,19.0
,,,,,,,,,,320,3950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,-8.0,21.0,21.33,25.8,-5.399999999999999,1975.0,25.4,25.6,1975.0,325,23700.0,2.0,2.1,19750.0,0.19999999999999996,2.0,29.84,129.0,-28.0,293.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,21.4,32.2,9875.0,325,7900.0,0.65,7.55,7900.0,0.0,0.0,0.0,0.0,0.0,0.0
501.0,-7.0,46.0,22.74,21.4,-5.600000000000001,1975.0,21.2,21.4,3950.0,330,31600.0,2.8,2.85,1975.0,0.3999999999999999,2.85,29.47,381.0,-83.0,665.0
19.0,0.0,1.0,14.1,23.55,-7.149999999999999,1975.0,22.7,23.4,1975.0,330,1975.0,6.45,6.65,1975.0,1.0,6.5,30.56,18.0,8.0,37.0
,,,,,,,,,,330,3950.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258.0,-14.0,60.0,23.61,17.45,-5.300000000000001,3950.0,17.35,17.55,1975.0,335,5925.0,3.95,4.05,17775.0,0.6500000000000004,3.95,29.2,452.0,82.0,495.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,17.1,25.1,1975.0,335,1975.0,3.15,11.2,19750.0,0.0,0.0,0.0,0.0,0.0,0.0
625.0,-20.0,208.0,23.38,13.95,-4.949999999999999,7900.0,13.85,14.05,5925.0,340,17775.0,5.4,5.5,23700.0,1.0499999999999998,5.5,28.84,628.0,-96.0,592.0
7.0,0.0,0.0,0.0,0.0,0.0,3950.0,14.85,17.95,1975.0,340,1975.0,9.2,11.75,1975.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1975.0,16.0,0.0,0.0,340,49375.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.0,-27.0,129.0,23.82,10.85,-4.550000000000001,1975.0,10.85,11.0,3950.0,345,3950.0,7.3,7.4,3950.0,1.4500000000000002,7.4,28.6,600.0,-152.0,573.0
0.0,0.0,0.0,0.0,0.0,0.0,7900.0,12.25,19.55,7900.0,345,1975.0,7.65,15.05,7900.0,0.0,0.0,0.0,0.0,0.0,0.0
817.0,-59.0,974.0,23.97,8.3,-3.9499999999999993,1975.0,8.25,8.35,11850.0,350,17775.0,9.6,9.75,3950.0,1.8500000000000005,9.65,28.83,1493.0,-129.0,605.0
