CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,375.0,979.45,1025.6,500.0,4900,125.0,0.55,1.4,125.0,-0.050000000000000044,0.95,31.37,3.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,766.15,0.0,0.0,4900,3625.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,375.0,882.05,928.7,500.0,5000,125.0,1.05,6.15,1625.0,0.0,0.0,0.0,0.0,0.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,625.0,673.0,0.0,0.0,5000,3750.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,5000,625.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,5050,125.0,1.1,5.2,1375.0,0.0,0.0,0.0,0.0,0.0,44.0
1.0,0.0,0.0,0.0,0.0,0.0,375.0,779.9,827.1,500.0,5100,500.0,1.0,5.0,125.0,0.0,0.0,0.0,0.0,0.0,91.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,725.65,0.0,0.0,5100,3625.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,375.0,681.8,724.2,500.0,5200,125.0,2.05,2.55,250.0,-0.7999999999999998,2.35,25.38,63.0,-5.0,440.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,627.55,0.0,0.0,5200,3375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,633.3,677.3,500.0,5250,125.0,2.0,3.75,250.0,-1.1500000000000004,3.8,25.66,1.0,0.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,578.05,0.0,0.0,5250,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,375.0,584.75,635.55,375.0,5300,125.0,3.5,5.0,250.0,-0.9500000000000002,5.05,25.17,13.0,8.0,219.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,532.9,0.0,0.0,5300,375.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,534.7,585.3,500.0,5350,250.0,4.5,12.95,3750.0,0.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,483.45,0.0,0.0,5350,,,,,,,,,,
29.0,0.0,0.0,0.0,0.0,0.0,875.0,492.3,537.15,375.0,5400,125.0,7.05,7.6,125.0,-1.9499999999999993,8.25,23.87,65.0,32.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,469.8,555.55,500.0,5400,125.0,31.65,65.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,0.0,460.4,215.39999999999998,125.0,453.1,478.45,125.0,5450,250.0,8.45,10.5,125.0,-0.75,12.5,24.18,14.0,-4.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,407.75,607.15,500.0,5450,,,,,,,,,,
51.0,0.0,0.0,0.0,0.0,0.0,500.0,402.1,432.9,500.0,5500,125.0,12.7,13.05,250.0,-5.75,12.2,22.72,163.0,17.0,335.0
