CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,3000,750.0,1.0,2.4,150.0,0.0,0.0,0.0,0.0,0.0,53.0
,,,,,,,,,,3500,150.0,5.1,5.25,450.0,-1.5499999999999998,5.2,41.59,25.0,12.0,92.0
8.0,0.0,0.0,0.0,0.0,0.0,150.0,583.85,607.6,600.0,3600,150.0,7.75,8.35,150.0,-4.0,7.75,39.1,54.0,-8.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,570.85,760.3,1500.0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,150.0,493.5,511.9,900.0,3700,150.0,13.35,13.5,150.0,-5.949999999999999,13.45,38.04,59.0,-14.0,263.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,471.9,673.95,1500.0,3700,0.0,0.0,154.65,600.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,2.0,9.0,25.23,418.2,69.19999999999999,300.0,408.7,420.6,150.0,3800,150.0,22.6,23.15,150.0,-9.8,22.7,36.99,273.0,-85.0,563.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,373.0,558.55,750.0,3800,0.0,0.0,140.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3850,150.0,28.85,29.5,150.0,-9.800000000000004,30.65,37.14,13.0,6.0,47.0
8.0,0.0,6.0,0.0,301.8,24.80000000000001,150.0,324.65,332.75,150.0,3900,150.0,37.8,38.35,150.0,-15.25,38.2,36.45,234.0,6.0,284.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,278.55,467.85,150.0,3900,0.0,0.0,154.6,600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3950,150.0,48.1,48.75,600.0,-15.250000000000007,52.15,37.34,56.0,-1.0,164.0
97.0,2.0,30.0,28.7,252.6,41.25,300.0,252.95,256.2,300.0,4000,150.0,61.2,62.2,300.0,-22.249999999999993,62.1,36.44,516.0,-41.0,932.0
1.0,0.0,0.0,0.0,0.0,0.0,750.0,295.0,343.55,150.0,4000,150.0,120.55,133.65,150.0,-21.950000000000017,120.6,36.99,9.0,2.0,22.0
125.0,-17.0,354.0,30.26,188.8,35.30000000000001,300.0,188.2,190.15,150.0,4100,150.0,96.6,97.7,150.0,-29.700000000000003,97.55,36.65,388.0,-7.0,504.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,191.55,290.25,150.0,4100,0.0,0.0,242.85,600.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,-33.0,512.0,30.98,160.35,30.799999999999983,150.0,160.2,161.8,300.0,4150,300.0,117.8,119.6,150.0,-32.89999999999999,118.3,36.55,95.0,-2.0,160.0
1074.0,-206.0,2579.0,31.45,136.75,28.75,150.0,136.2,136.9,150.0,4200,300.0,141.6,143.5,150.0,-35.599999999999994,143.0,36.82,371.0,-6.0,752.0
5.0,1.0,2.0,24.6,176.35,4.900000000000006,150.0,192.0,210.55,150.0,4200,150.0,193.0,228.15,150.0,19.0,195.0,35.47,1.0,0.0,2.0
541.0,11.0,580.0,31.48,113.45,26.35000000000001,300.0,113.65,115.0,150.0,4250,450.0,168.2,171.25,150.0,-36.599999999999994,173.5,37.87,42.0,-2.0,352.0
1479.0,-90.0,952.0,32.0,95.0,21.549999999999997,150.0,94.55,95.5,150.0,4300,300.0,199.7,202.2,150.0,-51.0,200.0,38.21,46.0,-9.0,504.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.8,150.0,4300,0.0,0.0,408.15,750.0,0.0,0.0,0.0,0.0,0.0,0.0
446.0,-16.0,355.0,32.17,77.85,17.749999999999993,150.0,77.3,78.05,150.0,4350,750.0,227.65,244.55,750.0,0.0,0.0,0.0,0.0,0.0,240.0
2176.0,-82.0,770.0,32.48,63.8,14.599999999999994,150.0,63.5,63.8,150.0,4400,150.0,267.25,270.45,300.0,-41.44999999999999,278.55,40.99,21.0,-5.0,471.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.65,150.0,4400,0.0,0.0,490.35,750.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,4.0,71.0,32.19,51.45,11.650000000000006,150.0,50.35,51.35,150.0,4450,1050.0,297.6,326.0,1200.0,0.0,0.0,0.0,0.0,0.0,44.0
1349.0,29.0,623.0,32.41,40.5,10.05,450.0,40.05,40.55,150.0,4500,150.0,337.0,352.0,150.0,-52.69999999999999,354.3,42.17,9.0,-1.0,319.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,65.65,158.2,150.0,4500,600.0,336.95,575.7,750.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,10.0,41.0,32.87,32.45,6.900000000000002,150.0,32.2,32.7,150.0,4550,900.0,379.0,402.35,1050.0,0.0,0.0,0.0,0.0,0.0,17.0
503.0,3.0,324.0,32.86,25.55,5.850000000000001,150.0,25.2,25.6,150.0,4600,300.0,427.05,431.55,150.0,-70.10000000000002,445.0,46.28,3.0,0.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.1,150.0,4600,750.0,372.5,548.8,750.0,0.0,0.0,0.0,0.0,0.0,0.0
