CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0,0,0,0.0,0.0,0.0,3800,95.75,100.3,9500,460,1900,0.35,0.8,950,0.0,0.0,0.0,0,0,41
3,0,0,0.0,0.0,0.0,5700,76.0,80.45,7600,480,950,0.65,0.7,950,0.39999999999999997,0.7,35.04,8,-1,51
0,0,0,0.0,0.0,0.0,5700,66.6,70.7,950,490,1900,0.85,1.1,950,0.050000000000000044,1.05,33.71,11,-6,24
13,2,7,33.52,59.85,1.3000000000000043,950,58.95,59.9,950,500,1900,1.4,1.45,950,-0.25,1.4,31.51,25,1,251
0,0,0,0.0,0.0,0.0,6650,47.75,52.2,6650,510,2850,2.1,2.2,950,-0.10000000000000009,2.3,30.98,31,13,81
9,0,0,0.0,0.0,0.0,14250,39.15,42.55,3800,520,2850,3.3,3.45,950,-0.30000000000000027,3.4,30.17,24,-4,222
17,4,18,30.39,34.0,0.7000000000000028,950,33.1,33.75,950,530,2850,5.15,5.3,950,-0.25,5.6,29.99,47,2,200
95,2,40,29.03,26.35,0.15000000000000213,950,25.95,26.45,950,540,1900,7.9,8.1,950,-0.5499999999999989,8.05,29.12,90,-2,473
285,3,562,29.05,20.2,0.4499999999999993,2850,20.0,20.3,950,550,1900,11.7,11.95,950,-0.6500000000000004,11.9,28.96,162,23,459
904,58,799,29.54,15.05,0.20000000000000107,3800,15.0,15.2,1900,560,1900,16.65,16.9,2850,-0.75,16.9,29.48,431,22,512
1122,34,424,30.0,11.1,0.049999999999998934,950,11.15,11.3,3800,570,950,22.65,23.25,1900,-1.0,22.6,30.71,28,4,371
883,46,359,30.63,8.3,0.25,950,8.15,8.3,950,580,950,29.6,30.05,950,-0.4499999999999993,29.85,30.6,16,1,188
304,7,88,31.32,5.9,0.05000000000000071,1900,5.9,6.05,1900,590,950,37.3,37.85,950,4.399999999999999,37.75,31.89,18,6,37
1270,68,291,32.22,4.45,0.20000000000000018,1900,4.4,4.5,6650,600,6650,44.8,47.3,950,0.0,0.0,0.0,0,0,110
332,16,39,32.08,3.0,-0.10000000000000009,3800,3.1,3.3,3800,610,6650,53.3,57.1,5700,0.0,0.0,0.0,0,0,26
365,8,95,34.0,2.35,0.0,5700,2.3,2.45,950,620,950,62.7,66.55,5700,0.0,0.0,0.0,0,0,31
213,-5,67,34.81,1.8,0.050000000000000044,4750,1.75,1.9,5700,630,950,71.3,75.95,10450,0.0,0.0,0.0,0,0,14
263,4,28,36.32,1.45,0.0,3800,1.3,1.4,1900,640,950,81.1,85.05,950,0.0,0.0,0.0,0,0,57
