CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0,0,0,0.0,0.0,0.0,1500,250.6,260.8,1500,1240,375,0.3,1.25,1875,0.0,0.0,0.0,0,0,1
0,0,0,0.0,0.0,0.0,1500,256.35,293.1,1500,1240,12750,0.15,21.8,1500,0.0,0.0,0.0,0,0,0
0,0,0,0.0,0.0,0.0,1125,210.15,220.85,1500,1280,2250,0.4,0.55,1125,-0.19999999999999996,0.5,29.62,52,2,167
0,0,0,0.0,0.0,0.0,1500,216.85,254.7,1875,1280,12750,0.2,22.15,1500,0.0,0.0,0.0,0,0,0
0,0,0,0.0,0.0,0.0,1125,170.45,181.0,1500,1320,5625,0.95,1.0,1125,-0.25,1.0,27.14,239,-23,934
0,0,0,0.0,0.0,0.0,1875,176.1,214.25,1875,1320,12750,0.2,22.15,1500,0.0,0.0,0.0,0,0,0
0,0,0,0.0,0.0,0.0,1125,152.6,163.15,1125,1340,1500,1.45,1.5,3000,-0.25,1.55,26.68,212,-3,1087
0,0,0,0.0,0.0,0.0,1500,157.5,194.45,1875,1340,12750,0.2,22.15,1500,0.0,0.0,0.0,0,0,0
2,0,0,0.0,0.0,0.0,1875,134.3,143.8,1125,1360,2250,2.55,2.65,3375,-0.40000000000000036,2.55,26.4,797,125,880
0,0,0,0.0,0.0,0.0,1875,137.05,174.7,1875,1360,13125,0.3,22.15,1500,0.0,0.0,0.0,0,0,0
18,0,0,0.0,0.0,0.0,2250,116.6,123.2,1125,1380,1125,3.95,4.05,1125,-0.5999999999999996,3.95,26.02,210,-4,274
0,0,0,0.0,0.0,0.0,1500,124.4,150.25,1875,1380,750,6.5,16.5,375,0.0,0.0,0.0,0,0,24
54,7,25,18.56,102.4,-0.5499999999999972,750,102.35,103.25,375,1400,1875,6.15,6.25,2250,-0.8499999999999996,6.15,25.75,648,59,830
0,0,0,0.0,0.0,0.0,1875,100.4,142.95,1875,1400,3750,3.1,30.0,375,0.0,0.0,0.0,0,0,0
9,0,5,20.12,85.4,2.3500000000000085,1125,85.45,86.25,375,1420,1875,9.05,9.3,1125,-1.299999999999999,9.15,25.27,97,17,328
0,0,0,0.0,0.0,0.0,1875,86.2,141.0,1500,1420,375,10.3,0.0,0,-8.100000000000001,19.0,24.63,1,0,0
58,3,9,21.01,69.8,-0.7999999999999972,750,69.9,71.0,375,1440,1125,13.3,13.55,1125,-1.6000000000000014,13.45,25.01,320,-87,381
0,0,0,0.0,0.0,0.0,1875,79.35,119.35,1500,1440,1500,21.3,0.0,0,-5.699999999999999,21.3,22.83,1,0,10
95,6,55,20.3,54.2,-2.75,1125,55.7,56.5,750,1460,750,19.0,19.25,750,-1.9499999999999993,19.0,24.82,642,7,585
0,0,0,0.0,0.0,0.0,1500,58.3,110.15,1875,1460,0,0.0,54.15,1500,-0.04999999999999716,39.75,28.82,2,1,1
260,54,505,21.91,43.55,-1.0500000000000043,375,43.45,43.65,1125,1480,375,26.35,26.5,375,-2.3500000000000014,26.25,24.9,786,-133,293
0,0,0,0.0,0.0,0.0,1500,41.6,77.8,375,1480,0,0.0,48.0,375,0.0,0.0,0.0,0,0,0
1171,-211,2744,21.8,32.45,-1.6999999999999957,750,32.45,32.7,750,1500,375,35.4,35.6,375,-2.5500000000000043,35.55,24.51,818,-15,936
0,0,0,0.0,0.0,0.0,375,53.5,57.2,375,1500,375,45.55,56.05,375,0.0,0.0,0.0,0,0,0
1054,46,945,22.02,23.6,-1.6999999999999993,375,23.7,23.8,375,1520,1125,46.25,46.75,375,-2.8999999999999986,46.4,24.66,201,27,447
0,0,0,0.0,0.0,0.0,1500,34.85,51.5,375,1520,1500,40.9,71.8,1500,0.0,0.0,0.0,0,0,0
724,-33,856,21.66,16.6,-1.5,375,16.55,16.7,375,1540,375,58.95,59.7,375,-1.5,60.15,25.53,66,19,125
0,0,0,0.0,0.0,0.0,3750,25.15,40.55,375,1540,1500,51.85,92.05,1875,0.0,0.0,0.0,0,0,0
647,-28,804,21.42,11.1,-1.3499999999999996,1125,10.95,11.1,750,1560,375,73.15,74.0,750,-2.549999999999997,74.0,25.39,27,3,77
35,0,0,0.0,0.0,0.0,375,30.4,31.75,375,1560,1875,72.4,92.35,1500,0.0,0.0,0.0,0,0,0
949,6,272,21.35,7.1,-1.0999999999999996,750,7.0,7.1,750,1580,3000,87.15,93.3,2625,0.0,0.0,0.0,0,0,20
0,0,0,0.0,0.0,0.0,375,22.4,26.45,375,1580,1875,75.95,117.1,1875,0.0,0.0,0.0,0,0,0
2431,104,850,21.16,4.25,-0.9500000000000002,3375,4.3,4.4,6000,1600,375,106.45,107.25,375,-2.8999999999999915,105.95,25.5,36,6,223
62,33,46,21.89,18.0,-1.75,375,18.8,19.65,375,1600,3375,102.8,119.15,1500,0.0,0.0,0.0,0,0,0
1557,-3,257,21.26,2.65,-0.7000000000000002,2250,2.6,2.65,375,1620,1500,121.35,130.45,375,0.0,0.0,0.0,0,0,8
10,0,0,0.0,0.0,0.0,750,13.4,17.0,375,1620,1875,116.5,146.15,1875,0.0,0.0,0.0,0,0,0
452,20,224,22.02,1.8,-0.44999999999999996,1125,1.75,1.8,375,1640,375,143.5,144.6,375,16.150000000000006,141.75,26.06,1,0,19
8,6,7,22.21,11.0,-5.850000000000001,750,10.15,12.0,8250,1640,1875,134.25,152.6,1500,0.0,0.0,0.0,0,0,0
460,5,81,22.75,1.25,-0.3500000000000001,750,1.2,1.55,375,1660,2625,158.8,170.3,2625,0.0,0.0,0.0,0,0,8
0,0,0,0.0,0.0,0.0,375,7.35,22.6,375,1660,1875,146.95,181.8,1500,0.0,0.0,0.0,0,0,0
1850,-5,547,22.4,0.7,-0.20000000000000007,6750,0.65,0.7,1500,1680,2625,178.05,190.05,2625,0.0,0.0,0.0,0,0,9
0,0,0,0.0,0.0,0.0,375,5.4,19.85,375,1680,1875,166.65,200.05,1500,0.0,0.0,0.0,0,0,0
1253,-6,287,24.95,0.45,-0.04999999999999999,23250,0.35,0.45,4125,1720,1500,218.4,229.2,2625,0.0,0.0,0.0,0,0,18
0,0,0,0.0,0.0,0.0,12375,0.2,24.7,1500,1720,1875,202.9,243.3,1500,0.0,0.0,0.0,0,0,0
18,-6,39,28.09,0.4,-0.09999999999999998,1500,0.35,0.55,375,1760,1500,257.8,268.9,1125,0.0,0.0,0.0,0,0,0
0,0,0,0.0,0.0,0.0,0,0.0,23.0,1500,1760,1875,242.0,282.9,1500,0.0,0.0,0.0,0,0,0
