CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1200,9000.0,0.3,1.85,1875.0,0.0,0.0,0.0,0.0,0.0,5.0
11.0,0.0,0.0,0.0,0.0,0.0,1500.0,446.6,463.4,1500.0,1480,375.0,0.65,2.0,375.0,0.0,0.0,0.0,0.0,0.0,64.0
,,,,,,,,,,1520,375.0,0.75,2.0,2250.0,0.0,0.0,0.0,0.0,0.0,85.0
3.0,0.0,0.0,0.0,0.0,0.0,1500.0,388.0,404.3,1500.0,1540,375.0,1.05,2.5,375.0,0.0,0.0,0.0,0.0,0.0,125.0
3.0,0.0,0.0,0.0,0.0,0.0,1500.0,368.45,384.8,375.0,1560,375.0,1.4,2.85,375.0,0.0,0.0,0.0,0.0,0.0,95.0
64.0,0.0,0.0,0.0,0.0,0.0,2625.0,328.05,343.05,750.0,1600,375.0,2.65,3.4,375.0,0.5499999999999998,2.8,44.21,25.0,5.0,187.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,256.1,0.0,0.0,1600,4500.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,375.0,290.9,305.05,375.0,1640,375.0,3.35,4.4,375.0,-1.4000000000000004,4.35,43.08,21.0,14.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,225.2,0.0,0.0,1640,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1660,375.0,4.9,5.4,375.0,2.2,5.5,42.73,1.0,0.0,16.0
2.0,0.0,0.0,0.0,0.0,0.0,1125.0,254.3,267.15,375.0,1680,375.0,6.25,6.5,750.0,1.4500000000000002,6.4,41.6,16.0,4.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,255.9,286.0,1500.0,1680,375.0,8.05,21.95,375.0,0.0,0.0,0.0,0.0,0.0,8.0
182.0,3.0,6.0,30.53,243.15,-13.950000000000017,375.0,240.85,243.3,375.0,1700,375.0,7.85,8.0,750.0,1.8000000000000007,7.9,41.22,120.0,56.0,488.0
53.0,0.0,0.0,0.0,0.0,0.0,1500.0,218.8,230.85,1500.0,1720,375.0,9.45,9.75,750.0,3.1999999999999993,10.2,41.16,73.0,-24.0,85.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,205.65,265.55,1875.0,1720,0.0,0.0,33.6,375.0,0.0,0.0,0.0,0.0,0.0,8.0
7.0,0.0,1.0,41.14,214.25,-7.75,375.0,203.8,208.85,375.0,1740,375.0,11.8,11.95,375.0,2.4000000000000004,12.0,40.22,40.0,11.0,196.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,202.85,240.9,1500.0,1740,750.0,13.0,36.0,375.0,-6.0,28.0,0.0,1.0,0.0,13.0
20.0,0.0,0.0,0.0,0.0,0.0,375.0,185.05,194.2,1500.0,1760,375.0,14.1,14.45,375.0,3.0500000000000007,14.5,39.6,33.0,-14.0,364.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,168.9,255.95,1500.0,1760,,,,,,,,,,
34.0,0.0,0.0,0.0,0.0,0.0,1500.0,168.5,176.45,375.0,1780,375.0,17.65,17.9,375.0,3.6500000000000004,17.75,39.34,34.0,-1.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,152.15,257.15,1500.0,1780,,,,,,,,,,
388.0,12.0,89.0,34.89,156.9,-11.900000000000006,375.0,155.3,156.85,375.0,1800,375.0,21.6,21.9,750.0,4.0,21.65,39.24,307.0,35.0,1179.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,129.35,240.85,1500.0,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,-3.0,30.0,34.39,141.75,-8.949999999999989,375.0,139.3,141.1,750.0,1820,375.0,26.1,26.5,1125.0,4.900000000000002,26.3,38.73,110.0,8.0,176.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,113.55,229.45,1500.0,1820,0.0,0.0,99.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0
347.0,-6.0,24.0,34.55,126.3,-12.250000000000014,375.0,125.65,127.05,750.0,1840,375.0,31.4,31.75,375.0,5.700000000000003,31.6,38.74,83.0,-2.0,310.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,116.65,206.75,375.0,1840,375.0,28.0,98.55,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
969.0,-6.0,28.0,34.01,112.65,-10.799999999999997,375.0,112.15,113.05,375.0,1860,375.0,37.8,38.25,750.0,7.800000000000004,38.7,38.9,175.0,-1.0,509.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,106.35,192.65,375.0,1860,0.0,0.0,99.7,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
1045.0,1.0,27.0,34.99,100.2,-10.0,750.0,99.85,100.8,375.0,1880,375.0,44.95,45.45,375.0,6.949999999999996,45.3,38.64,139.0,2.0,418.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,105.85,164.9,375.0,1880,1500.0,43.65,98.55,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
1816.0,5.0,436.0,34.71,88.8,-10.100000000000009,750.0,88.35,89.05,375.0,1900,750.0,53.5,53.85,1125.0,8.350000000000001,53.5,38.72,682.0,8.0,1291.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,113.6,140.1,375.0,1900,375.0,83.85,85.95,375.0,9.599999999999994,85.6,39.8,9.0,-3.0,15.0
703.0,9.0,198.0,35.26,78.4,-8.349999999999994,750.0,77.9,78.55,375.0,1920,750.0,62.55,63.2,375.0,8.649999999999999,63.05,39.25,286.0,13.0,331.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,90.35,131.45,375.0,1920,1500.0,78.65,102.3,375.0,0.0,0.0,0.0,0.0,0.0,0.0
685.0,145.0,676.0,35.58,68.9,-8.099999999999994,750.0,68.5,69.1,375.0,1940,375.0,73.2,73.8,750.0,9.600000000000001,73.0,39.47,629.0,17.0,465.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,81.15,107.05,375.0,1940,375.0,97.65,109.45,375.0,0.0,0.0,0.0,0.0,0.0,1.0
701.0,182.0,1246.0,36.24,60.1,-7.300000000000004,1500.0,59.85,60.4,750.0,1960,375.0,83.95,84.9,750.0,10.049999999999997,84.7,39.72,403.0,-8.0,263.0
4.0,0.0,0.0,0.0,0.0,0.0,375.0,92.95,98.4,375.0,1960,1875.0,98.3,127.4,375.0,0.0,0.0,0.0,0.0,0.0,0.0
365.0,28.0,357.0,36.37,52.9,-5.899999999999999,1125.0,52.05,52.5,375.0,1980,375.0,96.6,97.3,375.0,10.850000000000009,96.95,40.3,178.0,0.0,147.0
10.0,0.0,1.0,33.97,86.65,-8.399999999999991,375.0,76.15,89.9,375.0,1980,750.0,122.75,133.9,375.0,0.0,0.0,0.0,0.0,0.0,11.0
1892.0,179.0,1549.0,36.94,46.0,-5.299999999999997,1125.0,45.45,45.85,750.0,2000,375.0,109.1,110.15,375.0,11.75,109.55,40.69,139.0,-9.0,205.0
39.0,6.0,24.0,33.7,77.55,-7.799999999999997,375.0,78.45,79.9,375.0,2000,1875.0,131.3,151.75,1875.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,14.0,150.0,37.16,39.25,-4.75,375.0,38.95,39.55,375.0,2020,750.0,120.6,126.45,375.0,0.0,0.0,0.0,0.0,0.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,66.55,85.85,375.0,2020,1875.0,124.8,185.75,1875.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,10.0,244.0,37.25,33.6,-4.049999999999997,375.0,33.5,34.1,375.0,2040,750.0,135.9,138.9,750.0,14.25,134.15,39.29,5.0,-2.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,60.75,96.75,1500.0,2040,1875.0,124.75,206.4,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
326.0,5.0,97.0,37.55,28.75,-3.299999999999997,375.0,28.7,29.05,375.0,2060,1500.0,148.9,160.0,2625.0,0.0,0.0,0.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.15,1500.0,2060,1500.0,127.55,225.95,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
142.0,46.0,93.0,38.18,25.45,-2.3000000000000007,375.0,24.5,25.0,375.0,2080,750.0,164.1,173.0,1500.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.05,1500.0,2080,1500.0,132.75,248.15,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
1556.0,90.0,873.0,38.05,21.3,-2.099999999999998,750.0,20.95,21.2,375.0,2100,375.0,183.1,186.9,750.0,0.5999999999999943,170.2,32.32,4.0,-1.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.85,1500.0,2100,1875.0,151.5,266.5,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,45.0,78.0,37.41,16.9,-3.0500000000000007,750.0,17.7,18.15,375.0,2120,375.0,197.9,207.5,375.0,-30.200000000000017,186.2,31.27,3.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.35,1500.0,2120,1500.0,172.3,288.1,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
399.0,9.0,73.0,38.52,15.25,-1.3500000000000014,375.0,14.9,15.2,375.0,2140,1125.0,210.5,227.75,1125.0,0.0,0.0,0.0,0.0,0.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,1500.0,2140,1500.0,192.25,304.45,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,-24.0,65.0,38.48,12.6,-1.3000000000000007,375.0,12.55,12.9,375.0,2160,1125.0,229.95,242.75,1125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,1500.0,2160,1875.0,210.8,320.55,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
467.0,6.0,251.0,39.11,9.05,-0.5999999999999996,750.0,8.7,8.95,1500.0,2200,375.0,266.2,278.6,375.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,375.0,12.9,47.0,750.0,2200,1500.0,265.25,313.6,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
228.0,45.0,123.0,38.74,5.8,-0.8500000000000005,750.0,5.95,6.1,375.0,2240,375.0,302.55,316.6,1125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.15,1500.0,2240,1500.0,291.0,371.45,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
