CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
8.0,0.0,0.0,0.0,0.0,0.0,1125.0,439.45,457.85,900.0,2000,450,0.6,2.5,450,0.0,0.0,0.0,0,0,12
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,360.55,580.15,1125.0,2000,225,1.7,5.0,450,0.0,0.0,0.0,0,0,4
0.0,0.0,0.0,0.0,0.0,0.0,900.0,400.5,420.3,900.0,2040,225,0.75,3.8,450,0.0,0.0,0.0,0,0,14
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,323.65,0.0,0.0,2040,25650,0.05,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,900.0,360.1,381.85,675.0,2080,1125,0.6,3.7,2250,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,287.9,0.0,0.0,2080,17100,0.1,0.0,0,0.0,0.0,0.0,0,0,0
,,,,,,,,,,2080,17100,0.1,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,319.3,340.65,675.0,2120,2250,1.0,3.8,450,0.0,0.0,0.0,0,0,8
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,253.6,0.0,0.0,2120,6975,0.2,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,900.0,301.7,320.95,675.0,2140,1350,1.4,4.0,225,0.0,0.0,0.0,0,0,68
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,237.1,0.0,0.0,2140,25650,0.1,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,279.9,300.15,900.0,2160,450,1.6,3.95,225,-1.2499999999999998,1.55,27.12,1,0,182
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,221.05,0.0,0.0,2160,6975,0.2,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,900.0,262.15,281.15,675.0,2180,1125,1.65,4.0,225,0.0,0.0,0.0,0,0,33
0.0,0.0,0.0,0.0,0.0,0.0,2250.0,267.05,320.75,1125.0,2180,6975,0.2,27.45,900,0.0,0.0,0.0,0,0,0
53.0,4.0,9.0,38.03,267.5,26.5,225.0,245.95,253.5,225.0,2200,225,3.3,3.5,225,0.0,3.5,27.42,37,-8,367
0.0,0.0,0.0,0.0,0.0,0.0,2250.0,252.1,292.25,1125.0,2200,450,5.0,18.75,450,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,225.0,224.65,242.75,225.0,2220,225,3.3,6.85,225,0.0,0.0,0.0,0,0,54
0.0,0.0,0.0,0.0,0.0,0.0,900.0,229.95,294.75,225.0,2220,0,0.0,38.3,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,225.0,203.95,223.7,225.0,2240,675,5.05,5.2,225,-2.0,5.0,26.26,33,4,113
0.0,0.0,0.0,0.0,0.0,0.0,900.0,210.15,279.85,225.0,2240,0,0.0,43.2,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,450.0,186.85,204.55,225.0,2260,450,6.3,6.6,225,-1.3499999999999996,5.5,24.7,31,-1,156
0.0,0.0,0.0,0.0,0.0,0.0,900.0,190.35,265.1,225.0,2260,0,0.0,48.2,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,225.0,167.2,185.05,675.0,2280,225,8.1,8.35,225,0.25,8.3,25.22,14,1,102
0.0,0.0,0.0,0.0,0.0,0.0,900.0,168.35,249.55,225.0,2280,0,0.0,52.45,900,0.0,0.0,0.0,0,0,0
90.0,0.0,3.0,30.39,173.8,7.850000000000023,450.0,155.8,159.1,225.0,2300,225,10.5,10.65,225,-0.25,10.6,24.8,80,20,497
0.0,0.0,0.0,0.0,0.0,0.0,900.0,150.8,234.3,225.0,2300,0,0.0,57.0,900,0.0,0.0,0.0,0,0,0
5.0,0.0,0.0,0.0,0.0,0.0,675.0,133.1,149.95,1125.0,2320,450,13.25,13.75,225,-2.049999999999999,11.3,23.28,7,1,62
0.0,0.0,0.0,0.0,0.0,0.0,900.0,128.75,217.75,225.0,2320,0,0.0,60.2,900,0.0,0.0,0.0,0,0,0
37.0,0.0,0.0,0.0,0.0,0.0,1575.0,118.15,130.5,225.0,2340,225,17.0,17.45,225,-0.8500000000000014,17.2,24.62,27,2,179
0.0,0.0,0.0,0.0,0.0,0.0,900.0,112.0,205.9,225.0,2340,0,0.0,65.4,900,0.0,0.0,0.0,0,0,0
155.0,3.0,8.0,27.62,123.65,4.550000000000011,225.0,108.05,115.0,675.0,2360,225,21.7,22.2,225,-0.6999999999999993,21.1,24.14,83,-10,313
0.0,0.0,0.0,0.0,0.0,0.0,900.0,92.2,191.65,225.0,2360,0,0.0,70.95,900,0.0,0.0,0.0,0,0,0
108.0,0.0,0.0,0.0,0.0,0.0,675.0,89.6,101.35,1125.0,2380,225,27.3,27.85,225,-0.7999999999999972,26.6,24.08,63,-1,171
0.0,0.0,0.0,0.0,0.0,0.0,2250.0,96.6,171.35,225.0,2380,900,26.9,76.95,900,0.0,0.0,0.0,0,0,0
540.0,-19.0,168.0,20.71,82.9,-6.099999999999994,225.0,82.05,83.05,450.0,2400,225,34.05,34.65,225,0.6500000000000057,34.45,24.15,199,22,751
0.0,0.0,0.0,0.0,0.0,0.0,900.0,87.0,131.45,225.0,2400,225,35.1,79.4,900,0.0,0.0,0.0,0,0,0
,,,,,,,,,,2400,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
95.0,-12.0,54.0,21.13,70.35,-7.1000000000000085,225.0,70.25,71.25,450.0,2420,225,42.0,42.8,225,-0.6999999999999957,41.6,24.41,78,-20,81
0.0,0.0,0.0,0.0,0.0,0.0,900.0,74.8,144.15,225.0,2420,900,39.2,90.5,900,0.0,0.0,0.0,0,0,0
279.0,-22.0,505.0,22.33,60.0,-6.25,225.0,59.7,60.4,225.0,2440,225,51.3,52.05,225,1.0999999999999943,52.05,25.13,82,1,242
0.0,0.0,0.0,0.0,0.0,0.0,900.0,76.4,110.05,225.0,2440,900,49.35,97.9,900,0.0,0.0,0.0,0,0,0
493.0,124.0,988.0,22.48,50.5,-6.25,225.0,50.25,50.9,225.0,2460,225,61.55,62.35,225,0.29999999999999716,61.0,24.42,92,6,149
8.0,4.0,10.0,21.76,86.0,-6.0,225.0,86.3,110.05,225.0,2460,900,66.9,106.35,2250,0.0,0.0,0.0,0,0,0
245.0,3.0,414.0,22.41,42.0,-5.75,225.0,41.75,42.35,225.0,2480,225,72.95,74.05,225,3.4000000000000057,74.0,25.64,62,-1,455
0.0,0.0,0.0,0.0,0.0,0.0,900.0,62.25,90.9,225.0,2480,225,68.2,115.6,900,0.0,0.0,0.0,0,0,0
1035.0,86.0,1197.0,22.69,34.25,-5.25,675.0,34.4,34.75,225.0,2500,225,85.15,86.45,225,0.7000000000000028,84.15,24.89,148,-27,645
7.0,1.0,3.0,22.73,70.75,-8.25,225.0,63.7,76.65,225.0,2500,225,101.85,115.0,2475,9.0,99.0,23.83,1,0,2
112.0,-4.0,67.0,23.12,28.0,-4.950000000000003,225.0,27.9,28.4,225.0,2520,1575,92.05,104.05,1350,0.0,0.0,0.0,0,0,22
0.0,0.0,0.0,0.0,0.0,0.0,900.0,44.75,87.2,225.0,2520,900,88.1,154.75,900,0.0,0.0,0.0,0,0,0
341.0,17.0,50.0,23.0,22.9,-4.75,225.0,22.4,22.85,225.0,2540,225,102.8,120.25,450,0.0,0.0,0.0,0,0,5
0.0,0.0,0.0,0.0,0.0,0.0,900.0,36.95,87.15,225.0,2540,900,100.55,175.7,2250,0.0,0.0,0.0,0,0,0
238.0,18.0,140.0,22.83,18.0,-3.8999999999999986,225.0,17.85,18.25,225.0,2560,225,122.75,134.9,675,0.0,0.0,0.0,0,0,5
0.0,0.0,2.0,21.5,44.0,-94.05000000000001,225.0,31.9,66.6,225.0,2560,1125,113.85,190.35,900,0.0,0.0,0.0,0,0,0
122.0,23.0,61.0,22.75,15.0,-3.0500000000000007,225.0,14.3,14.7,225.0,2580,225,135.6,152.6,1125,0.0,0.0,0.0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,900.0,25.3,77.35,900.0,2580,900,126.7,205.5,2250,0.0,0.0,0.0,0,0,0
661.0,24.0,314.0,23.21,11.25,-3.0,675.0,11.2,11.5,900.0,2600,675,153.7,168.35,450,0.0,0.0,0.0,0,0,126
2.0,0.0,0.0,0.0,0.0,0.0,225.0,24.0,72.1,900.0,2600,900,146.1,220.15,2250,0.0,0.0,0.0,0,0,0
60.0,0.0,5.0,23.31,9.4,-2.1999999999999993,225.0,8.9,9.1,225.0,2620,225,169.4,186.35,450,0.0,0.0,0.0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85,900.0,2620,1125,149.25,236.6,900,0.0,0.0,0.0,0,0,0
37.0,-4.0,24.0,23.32,7.2,-1.8500000000000005,675.0,7.0,7.25,225.0,2640,225,189.15,205.5,225,0.0,0.0,0.0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,900.0,2640,1125,166.25,250.6,900,0.0,0.0,0.0,0,0,0
20.0,-2.0,11.0,25.01,7.15,-0.25,225.0,5.5,5.85,225.0,2660,225,207.05,224.05,225,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,900.0,2660,1125,186.05,268.75,225,0.0,0.0,0.0,0,0,0
59.0,0.0,1.0,25.22,5.7,0.0,225.0,4.35,4.9,225.0,2680,225,225.15,243.65,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,900.0,2680,900,208.55,282.0,900,0.0,0.0,0.0,0,0,0
143.0,10.0,73.0,24.19,3.75,-0.8499999999999996,225.0,3.55,3.75,450.0,2700,1575,245.05,259.8,225,0.0,0.0,0.0,0,0,70
0.0,0.0,0.0,0.0,0.0,0.0,225.0,10.0,47.9,900.0,2700,900,231.9,294.35,900,0.0,0.0,0.0,0,0,0
29.0,0.0,8.0,0.0,3.0,-0.7000000000000002,225.0,2.9,3.1,225.0,2720,225,260.55,280.7,225,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,900.0,2720,1125,238.15,313.95,900,0.0,0.0,0.0,0,0,0
29.0,6.0,15.0,26.28,2.35,-0.6999999999999997,675.0,2.05,2.2,225.0,2760,675,301.35,320.05,900,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,900.0,2760,1125,277.7,347.4,900,0.0,0.0,0.0,0,0,0
194.0,33.0,57.0,27.48,1.55,-0.3999999999999999,2025.0,1.55,2.0,225.0,2800,675,340.7,360.9,675,0.0,0.0,0.0,0,0,1
4.0,0.0,1.0,21.18,5.05,0.04999999999999982,2025.0,5.15,10.0,450.0,2800,1125,246.45,440.15,1125,0.0,0.0,0.0,0,0,0
