CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,480,2500.0,0.2,0.25,2500.0,-0.19999999999999998,0.1,41.07,2.0,0.0,53.0
4.0,0.0,0.0,0.0,0.0,0.0,5000.0,119.3,124.35,3750.0,496,60000.0,0.05,0.8,6250.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,75.8,0.0,0.0,496,15000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,115.35,120.45,12500.0,500,60000.0,0.05,1.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,73.6,140.8,6250.0,500,1250.0,0.4,3.0,1250.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,103.0,107.7,5000.0,512,15000.0,0.1,0.4,1250.0,0.0,0.0,0.0,0.0,0.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,67.2,0.0,0.0,512,1250.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,512,35000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,95.5,100.55,3750.0,520,30000.0,0.1,0.9,6250.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,63.0,0.0,0.0,520,15000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,520,35000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,87.7,92.4,3750.0,528,1250.0,0.35,0.45,3750.0,-0.15000000000000002,0.4,32.72,23.0,-11.0,409.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,58.95,0.0,0.0,528,35000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,528,35000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,79.85,84.55,3750.0,536,2500.0,0.5,0.55,2500.0,-0.4,0.5,31.21,20.0,-11.0,62.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,80.65,93.15,6250.0,536,35000.0,0.05,7.05,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,76.0,79.7,5000.0,540,2500.0,0.55,0.65,2500.0,-0.55,0.55,30.35,29.0,12.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,76.5,89.1,6250.0,540,15000.0,0.2,6.75,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,5000.0,72.05,76.75,3750.0,544,3750.0,0.5,0.7,1250.0,-0.75,0.55,28.98,20.0,-11.0,123.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,72.45,85.45,6250.0,544,35000.0,0.05,7.15,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,544,35000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,65.9,70.05,1250.0,550,3750.0,0.8,0.85,1250.0,-0.85,0.85,29.26,59.0,29.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,66.05,77.35,6250.0,550,15000.0,0.2,4.9,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,1250.0,64.25,68.15,1250.0,552,2500.0,0.9,0.95,3750.0,-0.9999999999999999,0.9,28.87,35.0,-12.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,65.45,78.0,5000.0,552,1250.0,1.0,7.45,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,15.0,60.0,0.0,58.85,15.350000000000001,1250.0,58.2,58.7,1250.0,560,7500.0,1.25,1.35,11250.0,-1.6,1.25,28.15,199.0,-33.0,285.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,60.0,67.75,6250.0,560,1250.0,4.0,4.4,1250.0,-4.050000000000001,4.5,27.81,28.0,2.0,35.0
2.0,0.0,0.0,0.0,0.0,0.0,1250.0,49.85,52.9,8750.0,568,1250.0,1.85,1.9,3750.0,-2.3000000000000003,1.85,27.2,77.0,-14.0,92.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,48.5,69.5,6250.0,568,2500.0,0.5,14.8,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,3750.0,47.5,51.7,3750.0,570,2500.0,2.05,2.15,6250.0,-2.4499999999999997,2.1,27.33,120.0,15.0,41.0
