CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
8.0,0.0,0.0,0.0,0.0,0.0,5000.0,115.6,119.0,5000.0,400,126250.0,0.1,0.15,5000.0,0.04999999999999999,0.15,46.69,72.0,-11.0,71.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,104.95,109.1,5000.0,410,23750.0,0.15,0.2,33750.0,0.04999999999999999,0.15,42.9,64.0,-55.0,29.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,86.15,0.0,0.0,410,5000.0,0.1,14.8,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,415,43750.0,0.15,0.2,117500.0,-0.05000000000000002,0.15,41.03,58.0,-51.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,95.0,99.15,5000.0,420,45000.0,0.15,0.2,83750.0,0.0,0.2,40.67,42.0,-9.0,207.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,97.45,104.4,5000.0,420,1250.0,0.2,2.0,2500.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,420,15000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,5000.0,90.45,94.55,5000.0,425,5000.0,0.15,0.2,7500.0,0.0,0.2,38.78,21.0,0.0,59.0
3.0,0.0,0.0,0.0,0.0,0.0,5000.0,85.8,89.4,5000.0,430,35000.0,0.15,0.2,82500.0,-0.05000000000000002,0.15,35.51,17.0,-12.0,196.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,67.05,107.35,6250.0,430,8750.0,0.2,0.7,1250.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,430,15000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,80.65,84.75,5000.0,435,88750.0,0.2,0.25,190000.0,0.0,0.2,35.03,97.0,-14.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,6250.0,62.45,102.45,6250.0,435,2500.0,0.15,9.6,6250.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0,0.0,0.0,15000.0,75.65,79.25,1250.0,440,186250.0,0.2,0.25,148750.0,0.0,0.25,34.24,120.0,1.0,658.0
5.0,0.0,0.0,0.0,0.0,0.0,5000.0,78.9,84.5,6250.0,440,1250.0,0.5,1.7,2500.0,-0.25,0.75,28.18,2.0,-1.0,6.0
,,,,,,,,,,440,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,3750.0,70.4,74.8,5000.0,445,83750.0,0.2,0.25,40000.0,-0.04999999999999999,0.2,31.32,21.0,-18.0,123.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,72.85,80.6,5000.0,445,1250.0,0.3,2.95,3750.0,0.0,0.0,0.0,0.0,0.0,8.0
53.0,-62.0,66.0,0.0,68.6,10.749999999999993,2500.0,67.6,68.7,1250.0,450,38750.0,0.25,0.3,202500.0,0.0,0.3,31.32,350.0,-210.0,770.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,68.35,73.85,5000.0,450,1250.0,0.55,1.0,11250.0,-0.09999999999999998,0.8,25.63,33.0,0.0,32.0
,,,,,,,,,,450,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,8750.0,61.1,64.7,6250.0,455,42500.0,0.25,0.3,186250.0,0.04999999999999999,0.3,28.58,519.0,-378.0,273.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,63.4,69.8,5000.0,455,1250.0,0.45,2.0,1250.0,0.0,0.0,0.0,0.0,0.0,4.0
130.0,-1.0,2.0,0.0,58.0,6.75,1250.0,57.35,58.65,1250.0,460,216250.0,0.25,0.3,73750.0,-0.10000000000000003,0.3,27.49,290.0,-73.0,662.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,58.5,64.1,6250.0,460,2500.0,0.9,1.0,1250.0,-0.5999999999999999,1.1,24.3,16.0,-1.0,77.0
,,,,,,,,,,460,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,0.0,0.0,0.0,0.0,0.0,12500.0,51.35,55.25,3750.0,465,35000.0,0.3,0.35,55000.0,-0.2,0.3,25.59,257.0,-77.0,1163.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,53.35,61.75,5000.0,465,2500.0,0.4,3.95,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,-4.0,9.0,0.0,48.0,9.450000000000003,1250.0,47.55,48.3,1250.0,470,40000.0,0.35,0.4,41250.0,-0.30000000000000004,0.35,24.31,319.0,12.0,1133.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,49.55,54.9,6250.0,470,1250.0,1.35,1.9,1250.0,-0.6500000000000001,1.7,23.09,17.0,-3.0,51.0
,,,,,,,,,,470,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,1.0,0.0,42.0,6.600000000000001,1250.0,42.85,43.25,1250.0,475,43750.0,0.45,0.55,42500.0,-0.5,0.5,23.88,556.0,-68.0,385.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,43.5,52.85,6250.0,475,8750.0,0.3,5.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,21.0,74.0,0.0,38.1,9.150000000000002,1250.0,38.1,38.45,2500.0,480,23750.0,0.65,0.7,31250.0,-0.75,0.7,23.39,919.0,87.0,761.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,40.55,45.05,2500.0,480,3750.0,2.35,2.6,1250.0,-1.5,2.5,22.73,11.0,-7.0,39.0
,,,,,,,,,,480,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.0,7.0,30.0,0.0,33.9,8.649999999999999,1250.0,33.35,33.8,1250.0,485,13750.0,0.9,1.0,17500.0,-1.05,0.95,22.49,1401.0,417.0,796.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,33.85,44.7,6250.0,485,5000.0,0.4,5.85,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
