CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1800,2275.0,0.3,3.9,325.0,0.0,0.0,0.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,334.0,350.95,1300.0,1840,6825.0,0.15,4.4,1625.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1625.0,237.05,0.0,0.0,1840,6825.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1860,975.0,0.5,4.25,3250.0,0.0,0.0,0.0,0.0,0.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,294.35,310.9,1300.0,1880,1625.0,0.45,4.0,325.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,3250.0,293.95,0.0,0.0,1880,6825.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1900,325.0,2.35,3.35,325.0,0.0,3.5,34.52,12.0,0.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,325.0,257.5,274.4,325.0,1920,1625.0,2.4,6.25,13000.0,-91.1,3.7,32.79,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3250.0,254.35,0.0,0.0,1920,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,325.0,238.2,252.7,325.0,1940,1300.0,4.5,4.75,325.0,-0.09999999999999964,4.7,33.93,9.0,7.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,325.0,219.5,235.45,650.0,1960,325.0,4.35,7.0,325.0,0.0,0.0,0.0,0.0,0.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,325.0,214.9,0.0,0.0,1960,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,325.0,201.15,218.3,325.0,1980,650.0,4.6,10.7,325.0,0.0,0.0,0.0,0.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,3250.0,195.0,0.0,0.0,1980,,,,,,,,,,
83.0,0.0,0.0,0.0,0.0,0.0,325.0,185.15,200.75,975.0,2000,325.0,9.25,9.55,1625.0,-2.1999999999999993,9.25,30.8,46.0,-4.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,1625.0,175.3,0.0,0.0,2000,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,325.0,166.2,183.3,1300.0,2020,325.0,11.65,12.05,650.0,-4.6,11.85,30.23,51.0,-3.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,3250.0,155.45,0.0,0.0,2020,,,,,,,,,,
39.0,0.0,3.0,26.21,154.9,-9.0,650.0,153.4,157.1,325.0,2040,325.0,14.65,15.1,650.0,-4.449999999999999,14.3,29.89,35.0,-2.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,1625.0,135.7,0.0,0.0,2040,,,,,,,,,,
12.0,0.0,0.0,0.0,0.0,0.0,325.0,133.1,144.3,325.0,2060,325.0,18.4,18.85,325.0,-5.5,18.3,30.43,2.0,1.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,3250.0,115.9,0.0,0.0,2060,,,,,,,,,,
14.0,0.0,0.0,0.0,0.0,0.0,325.0,120.3,131.5,975.0,2080,975.0,22.75,23.5,325.0,-12.549999999999997,22.5,29.66,46.0,-9.0,19.0
1.0,0.0,0.0,0.0,0.0,0.0,1300.0,99.0,0.0,0.0,2080,,,,,,,,,,
70.0,-1.0,20.0,22.86,109.4,13.850000000000009,650.0,108.8,110.9,650.0,2100,325.0,27.95,28.4,650.0,-7.100000000000001,26.85,28.86,52.0,-8.0,178.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,76.45,199.0,325.0,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
