CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
3,0,0,0.0,0.0,0.0,62250,80.85,0.0,0,320,2075.0,0.15,0.2,8300.0,0.0,0.0,0.0,0.0,0.0,64.0
0,0,0,0.0,0.0,0.0,8300,87.95,92.45,6225,330,2075.0,0.15,0.2,4150.0,-0.09999999999999998,0.2,45.17,6.0,-3.0,84.0
0,0,0,0.0,0.0,0.0,10375,58.55,0.0,0,330,6225.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0.0,0.0,0.0,14525,77.5,81.1,2075,340,14525.0,0.2,0.3,49800.0,-0.15000000000000002,0.25,44.62,27.0,-15.0,114.0
2,0,0,0.0,0.0,0.0,4150,78.05,83.35,4150,340,4150.0,1.0,2.5,2075.0,-0.34999999999999987,1.7,41.93,3.0,-2.0,17.0
8,0,0,0.0,0.0,0.0,8300,73.2,76.7,12450,345,4150.0,0.3,0.35,6225.0,-0.2,0.3,42.11,17.0,-7.0,40.0
18,0,0,0.0,0.0,0.0,14525,67.75,73.1,12450,350,2075.0,0.35,0.4,26975.0,-0.25,0.35,40.6,34.0,-8.0,100.0
0,0,0,0.0,0.0,0.0,8300,68.45,74.6,10375,350,2075.0,1.4,2.75,2075.0,-0.20000000000000018,2.5,41.48,1.0,0.0,8.0
8,0,0,0.0,0.0,0.0,4150,63.35,66.3,8300,355,2075.0,0.4,0.5,4150.0,-0.19999999999999996,0.5,40.46,15.0,-8.0,21.0
0,0,0,0.0,0.0,0.0,8300,62.6,73.55,10375,355,4150.0,0.05,6.65,8300.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,4,0.0,60.0,9.700000000000003,2075,59.4,60.55,2075,360,6225.0,0.5,0.6,4150.0,-0.30000000000000004,0.6,39.12,81.0,-16.0,134.0
0,0,0,0.0,0.0,0.0,8300,57.8,69.2,2075,360,6225.0,0.4,7.25,20750.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0.0,0.0,0.0,8300,53.6,56.05,2075,365,6225.0,0.7,0.75,2075.0,-0.55,0.7,38.59,47.0,25.0,62.0
0,0,0,0.0,0.0,0.0,8300,52.3,64.7,2075,365,4150.0,0.1,7.05,20750.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-2,18,0.0,52.55,11.399999999999999,4150,50.0,50.5,2075,370,4150.0,0.9,1.0,14525.0,-0.8,0.95,37.15,175.0,-32.0,97.0
0,0,0,0.0,0.0,0.0,8300,50.1,58.5,10375,370,2075.0,2.9,6.45,2075.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-4,19,0.0,45.85,9.350000000000001,2075,45.35,45.7,2075,375,6225.0,1.2,1.3,6225.0,-1.05,1.3,36.58,113.0,15.0,59.0
0,0,0,0.0,0.0,0.0,8300,46.9,52.2,2075,375,2075.0,4.6,4.75,4150.0,-16.4,4.0,36.95,26.0,20.0,20.0
49,-12,48,0.0,43.25,10.549999999999997,4150,40.85,41.15,2075,380,4150.0,1.65,1.75,12450.0,-1.2999999999999998,1.75,35.51,340.0,67.0,268.0
0,0,0,0.0,0.0,0.0,10375,42.2,48.0,10375,380,2075.0,5.15,5.6,4150.0,-33.55,5.5,37.21,34.0,23.0,23.0
100,-7,49,0.0,36.7,8.250000000000004,2075,36.5,36.75,2075,385,10375.0,2.2,2.3,6225.0,-1.8999999999999995,2.2,35.36,127.0,21.0,60.0
0,0,0,0.0,0.0,0.0,10375,36.75,46.95,2075,385,2075.0,5.7,9.0,2075.0,-19.049999999999997,6.15,37.47,26.0,21.0,21.0
105,-53,226,0.0,32.3,7.349999999999998,4150,32.25,32.5,4150,390,10375.0,3.0,3.1,14525.0,-2.3,3.0,35.43,451.0,62.0,295.0
0,0,0,0.0,0.0,0.0,10375,32.15,41.85,2075,390,2075.0,6.0,8.95,2075.0,-37.5,7.75,36.73,2.0,0.0,0.0
80,-6,41,0.0,29.2,7.800000000000001,2075,28.35,28.5,2075,395,6225.0,4.0,4.1,4150.0,-2.8000000000000007,4.1,36.63,134.0,6.0,57.0
0,0,0,0.0,0.0,0.0,8300,27.05,42.8,2075,395,8300.0,3.15,15.3,8300.0,0.0,0.0,0.0,0.0,0.0,0.0
277,-100,1014,20.8,24.75,6.449999999999999,2075,24.65,24.9,4150,400,6225.0,5.25,5.4,10375.0,-3.3499999999999996,5.4,35.46,1423.0,203.0,331.0
5,0,0,0.0,0.0,0.0,4150,28.55,34.9,2075,400,2075.0,10.55,13.2,2075.0,0.0,0.0,0.0,0.0,0.0,0.0
98,-2,455,18.33,21.2,5.85,2075,21.25,21.45,4150,405,2075.0,6.8,6.95,4150.0,-3.9000000000000004,6.9,37.35,327.0,18.0,50.0
0,0,0,0.0,0.0,0.0,8300,20.05,38.35,2075,405,2075.0,7.0,23.2,8300.0,0.0,0.0,0.0,0.0,0.0,0.0
452,-19,1470,24.86,18.15,5.299999999999999,6225,18.1,18.3,8300,410,2075.0,8.7,8.85,4150.0,-4.75,8.5,35.89,899.0,131.0,159.0
0,0,0,0.0,0.0,0.0,20750,20.25,27.35,2075,410,2075.0,12.55,20.2,2075.0,0.0,0.0,0.0,0.0,0.0,0.0
95,14,1541,26.01,15.55,4.950000000000001,2075,15.4,15.55,2075,415,2075.0,10.9,11.05,2075.0,-14.799999999999999,10.9,36.76,587.0,69.0,74.0
0,0,0,0.0,0.0,0.0,2075,18.2,27.25,2075,415,2075.0,11.2,24.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0
315,121,4210,26.98,12.95,4.25,6225,12.9,13.05,8300,420,8300.0,13.4,13.55,4150.0,-5.449999999999999,13.45,36.68,662.0,83.0,109.0
12,3,11,27.54,22.0,8.85,2075,20.15,20.8,4150,420,8300.0,17.8,24.15,8300.0,0.0,0.0,0.0,0.0,0.0,0.0
