CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,5500,400.0,1.25,2.25,200.0,0.0,0.0,0.0,0.0,0.0,103.0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,1353.5,1408.45,400.0,5600,400.0,1.05,2.55,100.0,0.0,0.0,0.0,0.0,0.0,79.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,1359.15,1501.1,400.0,5600,,,,,,,,,,
,,,,,,,,,,5700,900.0,1.05,3.9,100.0,0.0,0.0,0.0,0.0,0.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,1155.05,1211.9,400.0,5800,200.0,1.35,6.0,100.0,0.0,0.0,0.0,0.0,0.0,122.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,1166.9,1305.1,400.0,5800,1400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,300.0,1055.6,1113.85,400.0,5900,500.0,1.4,7.4,100.0,-0.5,1.5,30.05,6.0,5.0,107.0
,,,,,,,,,,5950,100.0,2.05,7.0,100.0,0.0,3.2,31.87,13.0,2.0,49.0
25.0,0.0,0.0,0.0,0.0,0.0,300.0,949.35,1013.0,400.0,6000,700.0,3.55,4.0,100.0,0.2999999999999998,4.0,31.52,161.0,2.0,242.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,973.15,1105.4,400.0,6000,100.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,8.0,0.0,850.0,2.0,500.0,873.1,914.05,100.0,6100,100.0,4.15,7.95,100.0,-0.35000000000000053,6.6,31.15,6.0,-2.0,395.0
0.0,0.0,0.0,0.0,0.0,0.0,400.0,884.6,1032.05,400.0,6100,100.0,10.0,89.65,400.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,300.0,759.0,813.6,400.0,6200,100.0,6.75,7.65,100.0,-3.4000000000000004,7.4,28.96,163.0,-34.0,428.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,775.75,957.55,400.0,6200,0.0,0.0,89.65,400.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,6250,100.0,7.7,10.4,100.0,-4.9,9.15,29.23,25.0,-20.0,46.0
