CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,3400,150.0,2.35,3.05,150.0,1.0,3.3,43.52,5.0,2.0,143.0
,,,,,,,,,,3500,150.0,4.25,4.65,150.0,0.5,4.75,40.47,132.0,-2.0,143.0
,,,,,,,,,,3550,150.0,5.25,6.1,150.0,0.0,5.0,0.0,2.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,581.05,616.1,450.0,3600,600.0,5.6,9.6,300.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,566.05,674.9,2100.0,3600,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,450.0,485.5,517.75,450.0,3700,300.0,11.75,11.8,1050.0,0.9000000000000004,11.8,37.07,248.0,49.0,273.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,469.7,584.2,1500.0,3700,0.0,0.0,61.35,600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3750,150.0,14.45,16.2,150.0,-0.3500000000000014,12.7,34.46,1.0,0.0,27.0
3.0,0.0,0.0,0.0,0.0,0.0,450.0,396.8,423.7,450.0,3800,300.0,19.7,20.1,450.0,1.4000000000000021,19.8,35.5,126.0,16.0,382.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,415.2,461.2,750.0,3800,150.0,42.4,46.0,150.0,2.450000000000003,44.95,32.35,4.0,0.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,450.0,351.05,381.8,450.0,3850,150.0,24.8,25.8,150.0,1.25,25.55,35.91,44.0,17.0,85.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,363.7,450.55,750.0,3850,0.0,0.0,87.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,600.0,312.55,338.35,600.0,3900,150.0,32.75,33.2,150.0,2.8999999999999986,33.75,34.75,179.0,50.0,383.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,337.7,390.7,750.0,3900,150.0,61.8,67.8,150.0,0.0,0.0,0.0,0.0,0.0,18.0
3.0,0.0,0.0,0.0,0.0,0.0,150.0,271.9,295.8,300.0,3950,300.0,42.3,42.8,150.0,2.6500000000000057,43.45,34.44,41.0,3.0,77.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,259.0,376.8,600.0,3950,600.0,32.5,115.1,600.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,-8.0,32.0,26.71,246.45,-11.400000000000034,300.0,246.35,248.0,300.0,4000,150.0,54.3,54.85,150.0,4.150000000000006,54.2,33.87,511.0,-12.0,1288.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,267.45,313.6,750.0,4000,150.0,91.15,95.9,150.0,-1.6500000000000057,93.35,31.88,2.0,0.0,68.0
,,,,,,,,,,4000,150.0,100.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
29.0,0.0,0.0,0.0,0.0,0.0,450.0,201.65,218.8,600.0,4050,150.0,68.75,69.45,150.0,5.449999999999996,69.35,33.86,70.0,5.0,105.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,188.4,326.9,750.0,4050,600.0,61.7,150.35,600.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,15.0,71.0,27.39,177.65,-15.849999999999994,300.0,179.3,181.05,150.0,4100,150.0,86.65,87.35,150.0,5.200000000000003,86.15,33.56,417.0,-71.0,630.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,179.55,296.0,150.0,4100,150.0,96.65,170.1,600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4100,150.0,125.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,8.0,66.0,28.67,152.25,-11.25,300.0,150.55,151.6,150.0,4150,150.0,107.05,108.1,150.0,6.299999999999997,107.6,33.9,133.0,14.0,248.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,147.0,252.85,150.0,4150,600.0,111.15,191.5,600.0,0.0,0.0,0.0,0.0,0.0,0.0
583.0,199.0,947.0,29.07,125.25,-14.449999999999989,150.0,125.2,126.2,150.0,4200,150.0,131.1,132.2,150.0,8.0,131.0,33.61,658.0,77.0,835.0
3.0,0.0,4.0,24.83,177.6,-2.4000000000000057,150.0,176.7,184.4,150.0,4200,150.0,178.35,185.6,150.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507.0,7.0,777.0,28.96,103.5,-10.849999999999994,150.0,102.8,103.7,150.0,4250,150.0,158.75,159.85,150.0,6.25,158.15,34.08,118.0,-15.0,395.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,117.7,171.6,150.0,4250,600.0,164.25,243.55,600.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.0,40.0,1336.0,29.44,83.85,-11.550000000000011,300.0,83.95,84.6,450.0,4300,150.0,189.4,190.75,150.0,9.400000000000006,190.35,34.89,94.0,-4.0,502.0
37.0,1.0,7.0,25.38,133.65,-14.799999999999983,150.0,134.7,141.9,150.0,4300,150.0,234.45,242.7,150.0,0.0,0.0,0.0,0.0,0.0,8.0
640.0,-6.0,437.0,29.82,68.6,-9.650000000000006,150.0,68.0,68.55,150.0,4350,450.0,219.75,231.45,150.0,0.0,0.0,0.0,0.0,0.0,334.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,80.95,168.5,150.0,4350,600.0,213.3,335.7,600.0,0.0,0.0,0.0,0.0,0.0,0.0
1115.0,5.0,916.0,30.18,55.15,-8.399999999999999,150.0,54.65,55.15,300.0,4400,150.0,259.4,261.9,150.0,10.849999999999966,264.65,37.27,34.0,3.0,199.0
0.0,0.0,0.0,0.0,0.0,0.0,150.0,88.15,112.85,150.0,4400,750.0,243.6,328.45,600.0,0.0,0.0,0.0,0.0,0.0,0.0
516.0,9.0,286.0,30.53,43.8,-6.650000000000006,300.0,43.8,44.25,150.0,4450,150.0,295.0,313.7,1050.0,0.0,0.0,0.0,0.0,0.0,178.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,60.2,142.4,150.0,4450,600.0,292.3,411.75,600.0,0.0,0.0,0.0,0.0,0.0,0.0
1946.0,235.0,841.0,30.84,35.5,-5.700000000000003,150.0,35.15,35.55,300.0,4500,300.0,339.15,341.55,150.0,11.399999999999977,343.5,38.94,7.0,-2.0,153.0
41.0,2.0,22.0,26.94,75.15,-4.849999999999994,150.0,74.0,76.75,150.0,4500,750.0,351.8,394.35,600.0,0.0,0.0,0.0,0.0,0.0,0.0
310.0,7.0,156.0,31.33,27.9,-4.75,150.0,27.8,28.15,150.0,4550,1350.0,370.15,393.2,300.0,0.0,0.0,0.0,0.0,0.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,150.0,4550,600.0,334.05,477.05,600.0,0.0,0.0,0.0,0.0,0.0,0.0
984.0,15.0,420.0,31.79,22.6,-3.6999999999999993,450.0,22.05,22.25,450.0,4600,150.0,421.95,437.6,150.0,0.0,0.0,0.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,46.85,88.65,150.0,4600,600.0,389.5,516.8,750.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,15.0,63.0,32.3,18.1,-3.5,150.0,17.75,18.05,150.0,4650,600.0,463.85,484.1,450.0,0.0,0.0,0.0,0.0,0.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.75,150.0,4650,750.0,424.0,575.95,750.0,0.0,0.0,0.0,0.0,0.0,0.0
413.0,16.0,213.0,32.92,14.4,-3.200000000000001,150.0,14.35,14.6,300.0,4700,750.0,508.95,530.6,1050.0,0.0,0.0,0.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75,150.0,4700,750.0,466.35,626.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,3.0,66.0,33.65,11.75,-2.0500000000000007,150.0,11.75,11.9,150.0,4750,1050.0,558.5,578.65,900.0,0.0,0.0,0.0,0.0,0.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.95,600.0,4750,750.0,525.05,677.55,600.0,0.0,0.0,0.0,0.0,0.0,0.0
489.0,-40.0,180.0,34.24,9.95,-1.6000000000000014,300.0,9.8,9.9,300.0,4800,450.0,602.4,630.3,600.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,150.0,4800,750.0,574.5,694.9,600.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,1.0,18.0,34.8,8.1,-1.200000000000001,150.0,7.85,8.85,150.0,4850,450.0,649.6,679.1,150.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4850,750.0,623.95,750.35,600.0,0.0,0.0,0.0,0.0,0.0,0.0
338.0,9.0,117.0,35.55,6.7,-1.1499999999999995,150.0,6.65,6.8,150.0,4900,450.0,697.2,730.95,450.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,4900,750.0,673.4,799.5,600.0,0.0,0.0,0.0,0.0,0.0,0.0
392.0,10.0,51.0,36.95,5.35,-0.4500000000000002,150.0,4.65,5.3,600.0,5000,450.0,791.65,828.25,450.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,5000,750.0,572.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,16.0,45.0,38.07,3.3,-0.40000000000000036,150.0,3.25,3.35,300.0,5100,450.0,887.2,925.65,450.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,5100,750.0,657.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
