CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
6.0,0.0,0.0,0.0,0.0,0.0,875.0,1186.7,1227.5,700.0,4500,175.0,0.2,0.85,350.0,0.0,0.0,0.0,0.0,0.0,15.0
,,,,,,,,,,4600,1400.0,0.25,0.85,175.0,0.0,0.0,0.0,0.0,0.0,26.0
1.0,0.0,0.0,0.0,0.0,0.0,875.0,987.65,1028.9,525.0,4700,175.0,0.6,0.8,175.0,0.0,0.75,31.98,8.0,-4.0,150.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,884.45,929.25,700.0,4800,1400.0,0.4,2.85,175.0,0.0,0.0,0.0,0.0,0.0,136.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,679.95,0.0,0.0,4800,3500.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4850,1400.0,0.55,3.5,175.0,-0.19999999999999996,1.25,29.14,6.0,-4.0,139.0
10.0,0.0,0.0,0.0,0.0,0.0,1225.0,781.7,827.7,875.0,4900,175.0,0.75,3.8,175.0,0.0,0.0,0.0,0.0,0.0,106.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,594.65,0.0,0.0,4900,,,,,,,,,,
,,,,,,,,,,4950,175.0,1.2,2.9,175.0,-0.6000000000000001,3.3,29.83,1.0,0.0,53.0
35.0,0.0,0.0,0.0,0.0,0.0,1225.0,687.55,734.45,875.0,5000,175.0,2.75,3.55,175.0,0.6999999999999997,3.8,28.73,62.0,0.0,677.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,644.55,0.0,0.0,5000,700.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,5050,175.0,2.1,7.4,1050.0,0.0,0.0,0.0,0.0,0.0,13.0
8.0,0.0,0.0,0.0,0.0,0.0,700.0,591.85,633.2,525.0,5100,1050.0,2.55,7.0,875.0,0.0,0.0,0.0,0.0,0.0,121.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,543.55,0.0,0.0,5100,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,0.0,700.0,543.0,588.95,525.0,5150,1050.0,3.5,9.9,1225.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,495.6,0.0,0.0,5150,,,,,,,,,,
9.0,0.0,0.0,0.0,0.0,0.0,700.0,495.3,527.55,700.0,5200,175.0,6.4,7.4,350.0,-1.0499999999999998,6.8,24.13,183.0,-4.0,624.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,444.65,0.0,0.0,5200,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,175.0,443.2,486.3,175.0,5250,175.0,1.9,14.1,175.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,399.1,0.0,0.0,5250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,0.0,0.0,175.0,404.35,430.85,175.0,5300,175.0,10.4,10.55,175.0,-2.049999999999999,10.4,22.11,167.0,74.0,402.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,347.4,563.85,1750.0,5300,0.0,0.0,149.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,350.0,355.6,389.55,525.0,5350,525.0,13.1,13.4,175.0,-5.9,13.1,21.53,27.0,-18.0,79.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,298.35,614.0,700.0,5350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,11.0,0.0,317.2,18.19999999999999,350.0,319.15,330.5,175.0,5400,350.0,17.3,17.6,350.0,-3.6999999999999993,17.3,20.7,154.0,18.0,267.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,317.75,636.55,1750.0,5400,175.0,73.6,0.0,0.0,-12.049999999999997,71.2,25.04,6.0,1.0,88.0
17.0,2.0,3.0,13.51,284.0,-12.0,350.0,275.45,286.4,175.0,5450,350.0,23.0,23.45,175.0,-5.349999999999998,23.1,20.33,80.0,15.0,104.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,263.55,478.55,1750.0,5450,,,,,,,,,,
474.0,2.0,20.0,11.13,233.5,1.6500000000000057,175.0,236.2,241.0,175.0,5500,175.0,30.8,31.5,350.0,-5.949999999999999,31.3,19.96,393.0,3.0,596.0
8.0,0.0,0.0,0.0,0.0,0.0,175.0,262.9,407.6,175.0,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
