CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,180,80025.0,0.05,0.15,50925.0,0.0,0.0,0.0,0.0,0.0,30.0
,,,,,,,,,,200,659600.0,0.1,0.2,84875.0,0.05000000000000002,0.2,53.25,16.0,2.0,261.0
,,,,,,,,,,200,2425.0,0.4,0.5,7275.0,0.0,0.5,43.67,38.0,-30.0,33.0
11.0,0.0,0.0,0.0,0.0,0.0,24250.0,53.9,55.95,7275.0,210,562600.0,0.15,0.2,12125.0,-0.05000000000000002,0.15,45.2,2.0,0.0,557.0
,,,,,,,,,,210,2425.0,0.75,0.8,7275.0,0.0,0.8,41.09,14.0,-1.0,14.0
,,,,,,,,,,215,2425.0,0.2,0.25,16975.0,-0.04999999999999999,0.2,43.1,38.0,-2.0,118.0
38.0,0.0,0.0,0.0,0.0,0.0,2425.0,44.15,46.05,16975.0,220,266750.0,0.2,0.3,29100.0,0.0,0.3,40.53,134.0,-1.0,376.0
0.0,0.0,0.0,0.0,0.0,0.0,24250.0,44.95,51.1,12125.0,220,9700.0,0.1,3.4,2425.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,225,12125.0,0.3,0.35,4850.0,-0.050000000000000044,0.35,38.69,24.0,-3.0,191.0
127.0,0.0,5.0,0.0,34.9,4.549999999999997,7275.0,34.9,35.3,2425.0,230,177025.0,0.4,0.45,116400.0,-0.10000000000000003,0.45,36.2,370.0,111.0,593.0
11.0,0.0,0.0,0.0,0.0,0.0,9700.0,37.1,39.1,2425.0,230,2425.0,2.15,2.25,7275.0,-0.3500000000000001,2.1,36.59,30.0,21.0,168.0
,,,,,,,,,,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,1.0,0.0,30.95,2.849999999999998,2425.0,30.0,30.55,2425.0,235,7275.0,0.6,0.65,7275.0,-0.09999999999999998,0.65,33.9,102.0,-3.0,225.0
0.0,0.0,0.0,0.0,0.0,0.0,24250.0,32.75,37.15,12125.0,235,2425.0,2.75,3.05,2425.0,0.0,0.0,0.0,0.0,0.0,1.0
304.0,-32.0,225.0,0.0,25.4,-0.3500000000000014,4850.0,25.45,25.75,2425.0,240,67900.0,0.9,0.95,53350.0,-0.20000000000000007,0.9,32.48,677.0,-22.0,1189.0
19.0,0.0,0.0,0.0,0.0,0.0,4850.0,28.7,30.6,2425.0,240,4850.0,3.75,3.9,4850.0,-0.35000000000000053,3.8,36.26,31.0,20.0,94.0
,,,,,,,,,,240,4850.0,4.25,20.0,4850.0,0.0,0.0,0.0,0.0,0.0,7.0
66.0,0.0,0.0,0.0,0.0,0.0,2425.0,20.7,21.75,19400.0,245,55775.0,1.4,1.5,55775.0,-0.19999999999999996,1.45,30.77,324.0,69.0,468.0
0.0,0.0,0.0,0.0,0.0,0.0,12125.0,21.75,31.05,2425.0,245,2425.0,4.75,5.1,2425.0,0.0,0.0,0.0,0.0,0.0,4.0
449.0,-35.0,114.0,25.44,17.0,-0.10000000000000142,7275.0,16.9,17.15,7275.0,250,60625.0,2.25,2.3,58200.0,-0.25,2.3,30.63,1041.0,110.0,1601.0
13.0,0.0,0.0,0.0,0.0,0.0,2425.0,21.9,22.65,2425.0,250,2425.0,6.3,6.45,2425.0,-0.40000000000000036,6.25,37.26,15.0,9.0,86.0
,,,,,,,,,,250,2425.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541.0,119.0,385.0,26.91,13.45,-0.10000000000000142,2425.0,13.25,13.45,9700.0,255,43650.0,3.5,3.6,43650.0,-0.4500000000000002,3.5,30.17,896.0,5.0,848.0
0.0,0.0,0.0,0.0,0.0,0.0,9700.0,18.2,20.35,2425.0,255,4850.0,7.95,8.3,2425.0,-7.75,7.9,35.43,1.0,0.0,0.0
1358.0,-5.0,1167.0,26.89,10.1,-0.25,4850.0,10.05,10.15,16975.0,260,38800.0,5.25,5.3,9700.0,-0.40000000000000036,5.3,30.46,1582.0,112.0,1198.0
30.0,0.0,0.0,0.0,0.0,0.0,2425.0,15.95,16.5,2425.0,260,4850.0,10.1,10.3,2425.0,-0.8000000000000007,10.0,35.76,5.0,2.0,32.0
,,,,,,,,,,260,4850.0,11.35,15.3,2425.0,0.0,0.0,0.0,0.0,0.0,8.0
1407.0,66.0,2161.0,27.49,7.4,-0.25,33950.0,7.35,7.45,9700.0,265,21825.0,7.55,7.65,14550.0,-0.40000000000000036,7.6,30.37,1472.0,25.0,556.0
2.0,1.0,3.0,29.09,13.05,-1.9499999999999993,2425.0,13.45,13.85,2425.0,265,2425.0,12.25,12.75,2425.0,0.0,0.0,0.0,0.0,0.0,0.0
2493.0,67.0,2370.0,27.46,5.25,-0.25,26675.0,5.2,5.25,14550.0,270,9700.0,10.35,10.45,2425.0,-0.40000000000000036,10.4,30.87,519.0,16.0,546.0
27.0,4.0,8.0,30.42,11.15,-0.15000000000000036,2425.0,11.2,11.55,4850.0,270,2425.0,15.05,15.4,2425.0,-0.45000000000000107,15.1,36.49,6.0,2.0,14.0
909.0,30.0,1079.0,27.95,3.65,-0.20000000000000018,48500.0,3.55,3.65,36375.0,275,2425.0,13.7,13.85,7275.0,-0.8499999999999996,13.25,31.31,78.0,8.0,168.0
1.0,0.0,0.0,0.0,0.0,0.0,2425.0,9.15,9.55,2425.0,275,12125.0,15.75,19.15,9700.0,0.0,0.0,0.0,0.0,0.0,0.0
1659.0,125.0,1239.0,28.02,2.4,-0.20000000000000018,43650.0,2.4,2.45,33950.0,280,2425.0,17.4,17.65,2425.0,0.4499999999999993,18.2,37.56,37.0,1.0,195.0
177.0,23.0,42.0,30.91,7.45,-0.39999999999999947,2425.0,7.45,7.65,2425.0,280,2425.0,21.05,21.75,2425.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,2425.0,0.1,0.0,0.0,280,,,,,,,,,,
786.0,13.0,403.0,28.81,1.6,-0.1499999999999999,16975.0,1.6,1.65,33950.0,285,2425.0,21.55,21.8,2425.0,-0.04999999999999716,22.35,39.53,10.0,0.0,23.0
0.0,0.0,1.0,32.51,6.5,-8.8,2425.0,5.6,6.35,2425.0,285,12125.0,21.65,25.85,24250.0,0.0,0.0,0.0,0.0,0.0,0.0
1720.0,6.0,745.0,29.26,1.1,-0.04999999999999982,72750.0,1.05,1.15,101850.0,290,2425.0,26.0,26.25,2425.0,-0.8999999999999986,26.05,39.99,24.0,2.0,89.0
76.0,6.0,12.0,31.14,4.75,-0.40000000000000036,2425.0,4.85,5.05,4850.0,290,2425.0,28.15,29.0,2425.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2425.0,0.1,0.0,0.0,290,,,,,,,,,,
582.0,88.0,888.0,31.1,0.5,-0.050000000000000044,227950.0,0.5,0.55,60625.0,300,2425.0,35.4,35.8,2425.0,-0.14999999999999858,35.5,45.49,26.0,1.0,34.0
114.0,10.0,39.0,32.6,3.25,-0.04999999999999982,9700.0,3.1,3.25,2425.0,300,12125.0,34.4,37.55,9700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2425.0,0.1,0.0,0.0,300,,,,,,,,,,
270.0,-17.0,75.0,33.52,0.25,-0.04999999999999999,26675.0,0.25,0.3,82450.0,310,,,,,,,,,,
