CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,170.0,0.0,0.0,0.1,80000.0,0.0,0.0,0.0,0.0,0.0,62.0
1.0,0.0,0.0,0.0,0.0,0.0,15000.0,38.4,40.15,20000.0,175.0,0.0,0.0,0.05,15000.0,0.0,0.0,0.0,0.0,0.0,58.0
23.0,0.0,0.0,0.0,0.0,0.0,35000.0,33.45,35.1,20000.0,180.0,210000.0,0.05,0.1,315000.0,0.0,0.1,34.14,1.0,0.0,93.0
0.0,0.0,0.0,0.0,0.0,0.0,70000.0,33.6,35.5,20000.0,180.0,5000.0,0.4,0.45,25000.0,0.0,0.0,0.0,0.0,0.0,10.0
,,,,,,,,,,180.0,5000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,28.55,30.05,20000.0,185.0,135000.0,0.1,0.15,45000.0,-0.04999999999999999,0.1,29.53,4.0,0.0,235.0
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,28.8,31.35,20000.0,185.0,5000.0,0.15,1.5,25000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25000.0,26.15,27.8,20000.0,187.5,105000.0,0.05,0.4,30000.0,0.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,20000.0,26.05,29.45,20000.0,187.5,0.0,0.0,1.8,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0,0.0,0.0,35000.0,23.65,25.15,5000.0,190.0,1030000.0,0.2,0.25,55000.0,-0.09999999999999998,0.2,28.06,32.0,-12.0,282.0
0.0,0.0,0.0,0.0,0.0,0.0,50000.0,24.15,26.0,20000.0,190.0,5000.0,0.8,0.9,20000.0,-0.050000000000000044,0.85,26.74,1.0,0.0,45.0
,,,,,,,,,,190.0,5000.0,1.05,9.9,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,5000.0,21.6,22.65,5000.0,192.5,5000.0,0.3,0.35,10000.0,0.0,0.35,28.61,10.0,-2.0,67.0
