CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1320,16875.0,0.05,1.45,750.0,0.0,0.0,0.0,0.0,0.0,19.0
12.0,0.0,0.0,0.0,0.0,0.0,1500.0,457.55,476.1,1500.0,1360,,,,,,,,,,
27.0,0.0,0.0,0.0,0.0,0.0,1500.0,436.85,456.2,1500.0,1380,,,,,,,,,,
18.0,0.0,0.0,0.0,0.0,0.0,1500.0,419.35,433.8,1500.0,1400,15000.0,0.3,1.35,1500.0,0.0,0.0,0.0,0.0,0.0,9.0
,,,,,,,,,,1440,375.0,0.45,1.45,1125.0,0.30000000000000004,1.45,47.76,15.0,7.0,12.0
,,,,,,,,,,1460,3000.0,0.75,2.85,375.0,-0.75,0.75,41.23,1.0,0.0,144.0
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,340.2,354.95,1500.0,1480,375.0,2.1,2.25,750.0,0.3999999999999999,2.05,45.49,8.0,0.0,78.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,267.1,0.0,0.0,1480,7500.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,2.0,40.35,328.0,-17.350000000000023,375.0,327.45,333.3,375.0,1500,375.0,2.65,2.85,375.0,0.5,2.6,44.72,151.0,0.0,144.0
2.0,0.0,0.0,0.0,0.0,0.0,1125.0,302.5,318.2,1500.0,1520,1875.0,2.6,5.0,5625.0,0.0,0.0,0.0,0.0,0.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,232.85,0.0,0.0,1520,9750.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,1125.0,283.2,297.05,375.0,1540,375.0,3.55,4.4,375.0,2.0,4.0,0.0,1.0,0.0,57.0
10.0,0.0,0.0,0.0,0.0,0.0,2625.0,266.05,277.35,1500.0,1560,375.0,5.05,5.15,375.0,1.0,5.0,40.06,5.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,266.3,339.35,1500.0,1560,9000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,246.3,259.65,375.0,1580,375.0,6.2,6.3,375.0,2.5000000000000004,5.9,41.59,13.0,-5.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,246.5,319.6,1500.0,1580,11250.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,0.0,2.0,38.76,233.1,-12.050000000000011,375.0,234.7,238.35,375.0,1600,750.0,7.8,7.9,750.0,2.1999999999999993,7.85,41.5,414.0,59.0,511.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,226.7,299.8,1500.0,1600,11250.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,375.0,209.55,221.8,375.0,1620,375.0,9.4,9.6,375.0,2.450000000000001,9.3,40.64,130.0,12.0,314.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,206.95,280.0,1500.0,1620,,,,,,,,,,
22.0,0.0,0.0,0.0,0.0,0.0,375.0,195.4,206.1,1125.0,1640,375.0,11.35,11.75,750.0,3.0500000000000007,11.15,39.56,360.0,57.0,2196.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,187.2,260.25,1500.0,1640,,,,,,,,,,
41.0,0.0,0.0,0.0,0.0,0.0,1125.0,176.15,187.95,2625.0,1660,375.0,14.55,14.7,750.0,3.5500000000000007,14.3,39.4,224.0,19.0,603.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,167.4,240.4,1875.0,1660,0.0,0.0,51.0,375.0,0.0,0.0,0.0,0.0,0.0,1.0
99.0,0.0,2.0,43.9,170.8,-29.399999999999977,375.0,165.2,168.25,750.0,1680,375.0,17.8,18.1,750.0,4.050000000000001,18.1,39.77,277.0,-48.0,428.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,147.65,252.05,1500.0,1680,,,,,,,,,,
470.0,-2.0,46.0,42.3,153.7,-4.150000000000006,750.0,150.4,152.25,750.0,1700,375.0,21.65,22.0,375.0,5.149999999999999,21.95,39.34,743.0,96.0,1505.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,141.15,235.45,1500.0,1700,750.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
252.0,1.0,19.0,38.57,134.0,-6.550000000000011,375.0,134.25,136.9,375.0,1720,375.0,26.25,26.65,375.0,5.049999999999997,26.65,38.05,141.0,-13.0,520.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,121.8,215.6,375.0,1720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
347.0,0.0,0.0,0.0,0.0,0.0,1125.0,117.7,125.05,2250.0,1740,375.0,31.8,32.35,750.0,5.350000000000001,32.0,39.0,224.0,-9.0,532.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,101.3,195.85,1500.0,1740,,,,,,,,,,
384.0,-5.0,42.0,40.95,110.7,-5.8999999999999915,375.0,107.05,108.75,375.0,1760,375.0,38.35,38.9,1125.0,5.75,38.5,38.77,651.0,25.0,574.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,81.3,181.6,1500.0,1760,0.0,0.0,93.35,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
326.0,24.0,222.0,40.97,98.65,-1.25,375.0,95.1,96.2,375.0,1780,375.0,45.55,46.45,375.0,6.700000000000003,45.95,38.69,318.0,-13.0,243.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,70.05,162.8,375.0,1780,0.0,0.0,93.35,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
2421.0,196.0,880.0,38.89,84.15,-4.0,375.0,84.1,84.85,375.0,1800,375.0,54.25,54.75,375.0,7.550000000000004,54.6,38.38,970.0,146.0,664.0
4.0,0.0,0.0,0.0,0.0,0.0,1500.0,76.5,120.05,1125.0,1800,375.0,44.75,89.6,375.0,0.0,0.0,0.0,0.0,0.0,0.0
521.0,111.0,717.0,38.1,73.0,-3.75,375.0,73.3,73.95,375.0,1820,375.0,63.25,63.95,375.0,7.650000000000006,64.15,38.49,472.0,51.0,571.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,53.35,121.65,375.0,1820,0.0,0.0,112.4,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
795.0,97.0,877.0,38.39,63.6,-3.5500000000000043,375.0,63.85,64.5,375.0,1840,375.0,73.85,74.6,375.0,9.450000000000003,75.3,38.64,251.0,-19.0,431.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.8,375.0,1840,0.0,0.0,133.9,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
898.0,-7.0,859.0,38.52,55.25,-3.799999999999997,375.0,55.5,55.95,375.0,1860,375.0,85.35,86.25,375.0,8.5,84.7,37.86,126.0,-15.0,282.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.05,375.0,1860,0.0,0.0,129.1,1875.0,0.0,0.0,0.0,0.0,0.0,0.0
737.0,30.0,446.0,39.14,48.1,-3.0,750.0,48.15,48.4,375.0,1880,375.0,97.8,99.05,375.0,6.050000000000011,95.65,37.14,38.0,-14.0,213.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.1,375.0,1880,0.0,0.0,154.9,375.0,0.0,0.0,0.0,0.0,0.0,0.0
4819.0,878.0,3564.0,39.15,42.2,-3.4499999999999957,375.0,42.1,42.35,375.0,1900,375.0,111.4,112.8,750.0,7.699999999999989,110.6,38.26,82.0,30.0,185.0
