CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
22.0,-10.0,12.0,0.0,25.2,2.3000000000000007,6975.0,24.8,25.4,6975.0,68,,,,,,,,,,
,,,,,,,,,,70,0.0,0.0,0.05,167400.0,0.0,0.0,0.0,0.0,0.0,72.0
9.0,4.0,7.0,0.0,20.95,2.1999999999999993,6975.0,20.85,21.45,6975.0,72,0.0,0.0,0.1,285975.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,34875.0,1.85,40.15,34875.0,72,0.0,0.0,0.2,69750.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,18.8,19.55,27900.0,74,0.0,0.0,0.1,279000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,34875.0,0.05,38.3,34875.0,74,20925.0,0.05,0.75,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,27900.0,17.8,18.4,27900.0,75,0.0,0.0,0.05,69750.0,-0.05,0.05,42.17,47.0,15.0,217.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,16.85,17.55,27900.0,76,27900.0,0.05,0.1,599850.0,-0.05,0.05,39.96,36.0,-11.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,34875.0,0.05,36.55,34875.0,76,118575.0,0.15,0.45,6975.0,-0.35,0.15,32.7,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,48825.0,0.1,0.0,0.0,76,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,15.85,16.6,27900.0,77,0.0,0.0,0.1,320850.0,0.0,0.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,34875.0,0.05,35.7,34875.0,77,41850.0,0.05,0.85,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,27900.0,14.85,15.55,27900.0,78,55800.0,0.05,0.1,327825.0,0.0,0.1,39.78,3.0,-2.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,15.35,16.9,27900.0,78,6975.0,0.1,0.8,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,83700.0,0.15,0.0,0.0,78,,,,,,,,,,
20.0,0.0,0.0,0.0,0.0,0.0,27900.0,13.95,14.55,48825.0,79,41850.0,0.05,0.1,13950.0,0.0,0.1,37.43,2.0,0.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,69750.0,14.5,15.6,27900.0,79,6975.0,0.3,0.45,6975.0,-0.10000000000000003,0.45,35.33,2.0,0.0,10.0
95.0,-2.0,4.0,48.24,13.95,2.4499999999999993,6975.0,13.0,13.3,6975.0,80,4861575.0,0.05,0.1,948600.0,-0.04999999999999999,0.1,35.08,395.0,-120.0,455.0
0.0,0.0,0.0,0.0,0.0,0.0,69750.0,13.55,14.65,27900.0,80,27900.0,0.4,0.5,62775.0,-0.09999999999999998,0.4,32.41,9.0,5.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,83700.0,0.1,0.0,0.0,80,6975.0,0.7,1.1,6975.0,0.0,0.0,0.0,0.0,0.0,6.0
17.0,0.0,0.0,0.0,0.0,0.0,27900.0,11.9,12.6,27900.0,81,1074150.0,0.05,0.15,334800.0,-0.04999999999999999,0.1,32.75,89.0,-28.0,89.0
0.0,0.0,0.0,0.0,0.0,0.0,97650.0,12.45,13.9,6975.0,81,69750.0,0.3,0.85,27900.0,0.0,0.0,0.0,0.0,0.0,13.0
46.0,0.0,0.0,0.0,0.0,0.0,27900.0,11.0,11.55,27900.0,82,237150.0,0.1,0.15,313875.0,-0.1,0.1,30.43,41.0,-9.0,123.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,11.65,13.25,27900.0,82,13950.0,0.35,1.15,6975.0,0.0,0.0,0.0,0.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,90675.0,0.2,0.0,0.0,82,6975.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,2.0,20.0,0.0,9.9,1.1500000000000004,13950.0,10.2,10.35,13950.0,83,6975.0,0.15,0.2,181350.0,-0.1,0.15,30.46,105.0,-21.0,130.0
0.0,0.0,0.0,0.0,0.0,0.0,69750.0,10.65,11.9,27900.0,83,69750.0,0.4,0.8,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,-19.0,46.0,0.0,8.7,0.6499999999999986,20925.0,9.25,9.4,6975.0,84,20925.0,0.2,0.25,195300.0,-0.09999999999999998,0.2,29.85,270.0,-102.0,243.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,9.6,11.45,34875.0,84,34875.0,0.3,1.25,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76725.0,0.15,0.0,0.0,84,13950.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232.0,-27.0,109.0,0.0,8.55,1.5000000000000009,13950.0,8.35,8.45,13950.0,85,348750.0,0.25,0.3,1025325.0,-0.2,0.25,28.81,1502.0,-99.0,584.0
4.0,0.0,0.0,0.0,0.0,0.0,41850.0,9.15,9.7,6975.0,85,27900.0,0.8,1.0,34875.0,-0.10000000000000009,0.95,30.35,9.0,6.0,8.0
192.0,-5.0,43.0,0.0,7.45,1.2999999999999998,27900.0,7.4,7.5,13950.0,86,181350.0,0.3,0.4,174375.0,-0.20000000000000007,0.35,28.66,205.0,-6.0,172.0
2.0,0.0,0.0,0.0,0.0,0.0,27900.0,7.8,9.75,6975.0,86,27900.0,0.45,1.7,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,76725.0,0.1,0.0,0.0,86,13950.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,-79.0,150.0,0.0,6.55,1.2000000000000002,13950.0,6.55,6.65,6975.0,87,160425.0,0.4,0.5,97650.0,-0.2,0.45,27.9,335.0,-133.0,304.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,6.8,9.1,6975.0,87,27900.0,0.45,2.0,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
401.0,-19.0,127.0,16.1,5.75,1.2000000000000002,6975.0,5.7,5.8,20925.0,88,62775.0,0.6,0.65,90675.0,-0.30000000000000004,0.6,27.54,373.0,14.0,404.0
2.0,0.0,0.0,0.0,0.0,0.0,27900.0,6.0,7.95,6975.0,88,27900.0,0.6,2.2,6975.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6975.0,1.1,0.0,0.0,88,13950.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,-20.0,126.0,23.21,4.95,1.1500000000000004,27900.0,4.9,5.0,27900.0,89,76725.0,0.75,0.8,181350.0,-0.34999999999999987,0.8,26.6,392.0,91.0,306.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,5.2,7.25,6975.0,89,27900.0,0.6,2.4,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
1759.0,-225.0,2002.0,22.78,4.25,1.0499999999999998,55800.0,4.15,4.25,34875.0,90,62775.0,1.05,1.1,111600.0,-0.44999999999999996,1.1,27.19,2081.0,354.0,842.0
61.0,0.0,50.0,20.63,5.4,0.75,13950.0,5.55,5.85,6975.0,90,27900.0,1.9,2.0,13950.0,-0.8,1.95,28.78,49.0,23.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,27900.0,2.0,14.95,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,-116.0,529.0,22.93,3.6,1.0,6975.0,3.55,3.6,20925.0,91,20925.0,1.4,1.45,55800.0,-0.55,1.4,26.98,556.0,60.0,172.0
3.0,0.0,0.0,0.0,0.0,0.0,6975.0,4.25,5.3,6975.0,91,6975.0,1.5,3.15,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
864.0,70.0,2514.0,24.57,3.0,0.8999999999999999,348750.0,2.95,3.05,83700.0,92,48825.0,1.8,1.85,83700.0,-0.6500000000000001,1.8,27.25,1015.0,156.0,263.0
89.0,-18.0,47.0,21.52,4.2,0.5,13950.0,4.4,4.55,20925.0,92,13950.0,2.4,2.95,6975.0,-7.449999999999999,2.15,23.3,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13950.0,0.5,0.0,0.0,92,,,,,,,,,,
505.0,130.0,1920.0,24.7,2.5,0.8,48825.0,2.45,2.5,41850.0,93,62775.0,2.25,2.35,62775.0,-0.7000000000000002,2.3,27.35,556.0,49.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,27900.0,3.15,4.25,6975.0,93,13950.0,2.05,3.95,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
645.0,181.0,2032.0,25.71,2.05,0.6999999999999997,76725.0,2.0,2.05,55800.0,94,41850.0,2.8,2.9,48825.0,-0.7999999999999998,2.85,27.85,386.0,52.0,111.0
5.0,0.0,3.0,25.85,3.7,1.0500000000000003,6975.0,3.3,3.65,6975.0,94,27900.0,3.05,4.35,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,90675.0,0.9,0.0,0.0,94,90675.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1442.0,1054.0,9262.0,26.54,1.7,0.5999999999999999,1590300.0,1.65,1.7,495225.0,95,34875.0,3.45,3.55,48825.0,-0.9000000000000004,3.5,28.78,462.0,170.0,210.0
29.0,26.0,45.0,22.69,2.8,0.5499999999999998,13950.0,2.95,3.1,20925.0,95,76725.0,3.8,4.65,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
1009.0,693.0,2400.0,26.7,1.4,0.5499999999999999,118575.0,1.35,1.4,97650.0,96,27900.0,4.15,4.25,34875.0,-0.9500000000000002,4.2,30.26,65.0,-10.0,39.0
202.0,4.0,28.0,22.09,2.3,0.2999999999999998,13950.0,2.55,2.7,20925.0,96,34875.0,4.25,5.3,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,83700.0,0.9,24.1,20925.0,96,76725.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599.0,566.0,1377.0,27.42,1.15,0.4999999999999999,118575.0,1.1,1.15,41850.0,97,20925.0,4.9,5.0,34875.0,-1.1000000000000005,4.85,31.24,74.0,40.0,48.0
0.0,0.0,0.0,0.0,0.0,0.0,20925.0,2.05,2.45,20925.0,97,34875.0,4.8,6.1,97650.0,0.0,0.0,0.0,0.0,0.0,0.0
830.0,602.0,1562.0,28.21,0.95,0.3999999999999999,209250.0,0.9,1.0,732375.0,98,27900.0,5.7,5.8,6975.0,-1.0999999999999996,5.7,32.36,87.0,24.0,88.0
0.0,0.0,0.0,0.0,0.0,0.0,41850.0,1.75,2.1,6975.0,98,34875.0,5.0,6.7,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,48825.0,98,69750.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,147.0,28.49,0.8,-1.4999999999999998,34875.0,0.8,0.85,76725.0,99,27900.0,6.55,6.65,6975.0,-7.1,6.6,33.07,18.0,0.0,5.0
2.0,0.0,3.0,23.53,1.5,-0.30000000000000004,6975.0,1.45,1.85,27900.0,99,34875.0,6.3,7.35,27900.0,-7.8500000000000005,7.05,30.95,3.0,0.0,1.0
2764.0,2334.0,11185.0,30.6,0.75,0.4,3766500.0,0.7,0.75,5824125.0,100,13950.0,7.4,7.55,6975.0,-1.3500000000000005,7.3,33.34,74.0,42.0,58.0
902.0,359.0,889.0,25.29,1.45,0.44999999999999996,27900.0,1.4,1.45,34875.0,100,34875.0,7.0,8.1,69750.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,55800.0,2.2,3.75,69750.0,100,20925.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,189.0,578.0,32.41,0.55,0.30000000000000004,69750.0,0.5,0.55,418500.0,102,13950.0,9.2,9.35,20925.0,-1.25,9.25,41.42,27.0,-1.0,8.0
40.0,40.0,51.0,26.09,1.1,-1.6999999999999997,6975.0,1.1,1.15,27900.0,102,34875.0,8.85,9.7,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,420.0,33.94,0.35,-3.05,202275.0,0.35,0.4,537075.0,104,13950.0,11.1,11.2,13950.0,-5.600000000000001,10.95,38.28,34.0,0.0,21.0
0.0,0.0,1.0,25.3,0.7,-1.7,48825.0,0.7,1.2,6975.0,104,34875.0,10.4,11.75,27900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,69750.0,1.1,0.0,0.0,104,,,,,,,,,,
