CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,291.5,300.1,2000.0,1000,500.0,0.15,0.3,2000.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,290.3,320.55,5000.0,1000,15000.0,0.15,17.6,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1020,4000.0,0.1,0.8,500.0,0.0,0.0,0.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,251.8,261.25,2000.0,1040,500.0,0.2,0.75,500.0,-0.04999999999999999,0.3,38.22,1.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,250.4,281.0,5000.0,1040,30000.0,0.15,17.6,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,232.3,240.55,2000.0,1060,1000.0,0.3,0.85,500.0,0.15000000000000002,0.45,37.21,11.0,-1.0,78.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,230.95,261.95,2000.0,1060,30000.0,0.15,17.6,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1070,12500.0,0.15,1.05,5500.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,212.1,220.8,2000.0,1080,500.0,0.45,0.55,1500.0,-0.09999999999999998,0.55,35.18,6.0,4.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,210.8,240.55,2000.0,1080,30000.0,0.2,17.6,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1090,2500.0,0.25,0.95,500.0,0.0,0.0,0.0,0.0,0.0,17.0
17.0,0.0,0.0,0.0,0.0,0.0,1000.0,191.9,200.6,2500.0,1100,5000.0,0.6,0.65,1000.0,-0.20000000000000007,0.6,32.57,35.0,-8.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,191.5,222.25,2000.0,1100,500.0,0.25,17.45,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1110,500.0,0.5,1.3,500.0,0.0,0.0,0.0,0.0,0.0,15.0
10.0,0.0,0.0,0.0,0.0,0.0,2000.0,172.75,181.3,2000.0,1120,500.0,0.8,0.85,500.0,-0.20000000000000007,0.85,30.56,13.0,-1.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,171.7,202.55,500.0,1120,500.0,0.25,17.6,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,2000.0,162.85,172.25,1500.0,1130,500.0,0.9,1.0,1000.0,-0.3500000000000001,1.0,30.41,29.0,3.0,54.0
21.0,0.0,0.0,0.0,0.0,0.0,3500.0,152.3,161.8,1500.0,1140,1000.0,1.05,1.15,500.0,-0.3500000000000001,1.15,29.52,72.0,1.0,102.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,152.15,179.95,2000.0,1140,500.0,0.25,17.45,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,-1.0,4.0,41.15,157.6,29.94999999999999,1000.0,145.35,149.1,1000.0,1150,500.0,1.3,1.35,1000.0,-0.5999999999999999,1.3,28.52,134.0,1.0,171.0
