CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1800,825,1.0,3.05,825,0.10000000000000009,1.1,41.35,1,0,47
,,,,,,,,,,1800,0,0.0,35.0,275,0.0,0.0,0.0,0,0,0
4.0,0.0,0.0,0.0,526.15,0.0,550.0,301.95,320.6,2750.0,1900,275,2.75,4.5,550,0.20000000000000018,2.5,36.46,9,6,102
0.0,0.0,0.0,0.0,0.0,0.0,1100.0,321.4,349.55,1100.0,1900,2750,10.95,19.95,275,5.0,15.0,36.82,3,1,4
53.0,0.0,9.0,23.2,215.15,-50.099999999999994,550.0,209.4,225.65,275.0,2000,275,8.75,9.3,275,2.250000000000001,9.05,35.34,216,30,479
1.0,0.0,0.0,0.0,293.5,0.0,1100.0,226.3,268.25,1100.0,2000,275,26.85,38.4,275,0.0,0.0,0.0,0,0,0
2.0,0.0,0.0,0.0,243.6,0.0,1925.0,161.75,184.55,550.0,2050,550,12.65,16.0,550,4.15,15.55,34.61,204,42,293
0.0,0.0,0.0,0.0,0.0,0.0,1100.0,168.55,282.85,1100.0,2050,275,38.4,0.0,0,0.0,0.0,0.0,0,0,0
61.0,2.0,25.0,30.79,135.0,-44.599999999999994,550.0,125.7,141.05,275.0,2100,275,24.05,26.0,550,7.050000000000001,25.7,34.03,855,117,616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.75,275.0,2100,275,53.55,104.5,1100,0.0,0.0,0.0,0,0,0
35.0,14.0,40.0,28.26,95.3,-47.39999999999999,275.0,91.55,105.95,275.0,2150,275,38.15,40.15,11000,10.7,40.0,33.29,736,-3,414
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.8,275.0,2150,0,0.0,105.7,1100,0.0,0.0,0.0,0,0,0
360.0,123.0,369.0,31.08,71.45,-38.95,275.0,69.5,71.5,550.0,2200,275,58.8,59.4,825,14.799999999999997,59.4,32.49,2321,-59,854
0.0,0.0,0.0,0.0,0.0,0.0,1100.0,106.55,125.5,275.0,2200,275,91.8,97.4,275,16.25,96.5,35.3,7,2,24
647.0,202.0,926.0,30.68,47.7,-33.39999999999999,275.0,47.5,49.35,275.0,2250,275,82.8,89.95,275,26.450000000000003,91.0,34.86,584,-74,322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.5,1100.0,2250,1100,83.5,172.75,1100,0.0,0.0,0.0,0,0,0
1536.0,135.0,1773.0,30.85,31.0,-26.799999999999997,550.0,30.55,31.7,1375.0,2300,275,117.2,121.85,275,29.650000000000006,120.45,33.51,393,-48,1179
19.0,9.0,16.0,30.79,69.6,-33.95,275.0,55.85,80.95,275.0,2300,275,137.0,163.45,1100,15.450000000000017,140.05,31.88,4,4,20
918.0,87.0,581.0,31.13,19.45,-20.2,275.0,19.6,20.5,825.0,2350,550,154.05,167.4,275,39.95,161.9,36.26,52,-6,284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4,275.0,2350,2750,145.8,224.4,1375,0.0,0.0,0.0,0,0,0
2067.0,148.0,1634.0,32.51,13.1,-13.4,275.0,12.7,13.45,275.0,2400,550,198.95,211.95,550,44.0,202.2,36.44,19,-3,905
30.0,5.0,12.0,33.13,45.95,-16.049999999999997,275.0,34.0,46.0,550.0,2400,1100,197.8,229.7,1100,0.0,147.75,0.0,0,0,1
1836.0,188.0,962.0,34.11,9.1,-8.35,275.0,8.65,9.8,550.0,2450,550,244.4,258.35,550,61.44999999999999,260.45,48.34,5,0,108
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,275.0,2450,1100,237.9,302.8,1100,0.0,0.0,0.0,0,0,0
1445.0,17.0,927.0,34.57,5.6,-6.0,275.0,5.6,5.8,275.0,2500,550,291.1,305.7,550,50.35000000000002,297.8,44.13,35,7,583
53.0,20.0,45.0,33.88,27.55,-9.2,825.0,25.2,27.9,275.0,2500,1100,289.8,312.65,1100,0.0,0.0,0.0,0,0,0
151.0,-2.0,206.0,35.9,3.85,-3.65,550.0,3.8,4.2,275.0,2550,550,338.65,354.85,550,0.0,243.25,0.0,0,0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,1100.0,2550,1375,312.65,379.95,1375,0.0,0.0,0.0,0,0,0
1108.0,-61.0,293.0,39.05,3.5,-1.8499999999999996,275.0,2.9,3.75,5500.0,2600,550,386.1,399.5,275,39.0,358.15,0.0,1,0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35,1100.0,2600,1100,363.95,429.7,1375,0.0,0.0,0.0,0,0,0
785.0,-4.0,80.0,40.93,1.65,-0.5500000000000003,275.0,0.65,2.55,275.0,2700,275,483.75,502.8,550,0.0,328.85,0.0,0,0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,275.0,2700,1100,462.45,509.75,1375,0.0,0.0,0.0,0,0,0
591.0,-22.0,43.0,43.99,1.0,-0.050000000000000044,1650.0,0.9,1.9,275.0,2800,1100,584.5,600.7,1100,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,10.0,0.0,275.0,3.6,7.5,275.0,2800,1375,560.15,592.0,2750,0.0,0.0,0.0,0,0,0
