CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0,0,0,0.0,0.0,0.0,1075,79.2,83.0,1075,400,1075.0,0.3,1.4,1075.0,0.0,0.0,0.0,0.0,0.0,3.0
0,0,0,0.0,0.0,0.0,4300,80.95,99.9,10750,400,1075.0,0.1,14.75,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,3225,60.95,64.7,1075,420,1075.0,2.2,2.3,1075.0,0.5000000000000002,2.2,44.97,40.0,-1.0,18.0
0,0,0,0.0,0.0,0.0,4300,62.15,80.5,5375,420,1075.0,1.0,14.85,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,49.05,56.35,-59.65,1075,51.7,55.05,1075,430,3225.0,3.05,3.15,1075.0,-2.55,3.25,43.2,24.0,12.0,12.0
0,0,0,0.0,0.0,0.0,4300,52.35,69.95,4300,430,1075.0,1.0,15.2,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,2,33.97,44.05,-4.700000000000003,1075,44.25,45.7,1075,440,4300.0,4.35,4.5,3225.0,1.25,4.5,42.18,100.0,26.0,92.0
0,0,0,0.0,0.0,0.0,4300,44.0,60.75,5375,440,1075.0,2.5,14.9,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,1,29.68,34.6,-2.8999999999999986,1075,36.35,37.85,1075,450,1075.0,6.25,6.4,3225.0,1.6499999999999995,6.55,40.59,227.0,63.0,167.0
0,0,0,0.0,0.0,0.0,4300,39.55,48.8,5375,450,1075.0,8.0,12.9,1075.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,7,31.02,29.7,0.25,1075,29.5,29.95,1075,460,1075.0,8.8,8.9,1075.0,1.3000000000000007,8.55,40.23,64.0,5.0,111.0
0,0,0,0.0,0.0,0.0,4300,27.45,51.7,10750,460,4300.0,5.8,30.2,1075.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,15,34.4,23.2,0.75,2150,23.0,23.35,2150,470,1075.0,12.15,12.3,1075.0,1.700000000000001,12.3,39.39,176.0,-1.0,122.0
0,0,0,0.0,0.0,0.0,1075,22.2,35.6,1075,470,10750.0,6.3,31.95,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
251,12,179,35.47,17.6,-0.09999999999999787,5375,17.5,17.8,2150,480,1075.0,16.5,16.6,1075.0,1.9000000000000004,16.55,38.96,250.0,1.0,218.0
0,0,0,0.0,0.0,0.0,1075,19.05,27.75,1075,480,1075.0,17.05,30.25,1075.0,0.0,0.0,0.0,0.0,0.0,1.0
349,21,244,35.21,13.1,0.15000000000000036,2150,13.0,13.15,1075,490,1075.0,21.9,22.1,1075.0,1.0499999999999972,21.9,35.95,53.0,-3.0,117.0
0,0,0,0.0,0.0,0.0,1075,19.0,21.1,1075,490,5375.0,16.65,32.6,5375.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,36,289,35.26,9.45,-0.20000000000000107,2150,9.35,9.55,2150,500,1075.0,28.05,28.6,1075.0,0.8000000000000007,28.0,37.44,47.0,12.0,420.0
82,13,19,30.67,15.75,-0.3999999999999986,1075,15.05,15.95,1075,500,1075.0,31.55,32.5,1075.0,0.0,32.0,33.91,9.0,6.0,23.0
420,39,382,35.67,6.75,-0.20000000000000018,2150,6.65,6.8,1075,510,1075.0,34.85,37.75,2150.0,0.0,0.0,0.0,0.0,0.0,121.0
9,0,0,0.0,0.0,0.0,4300,7.2,12.5,2150,510,4300.0,31.55,40.45,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
292,-21,92,36.22,4.65,-0.1999999999999993,2150,4.55,4.7,3225,520,1075.0,43.0,43.6,1075.0,-1.2000000000000028,44.15,39.75,2.0,0.0,247.0
9,0,0,0.0,0.0,0.0,1075,9.2,10.9,1075,520,5375.0,42.35,53.0,5375.0,0.0,0.0,0.0,0.0,0.0,0.0
169,6,69,36.21,3.2,0.0,3225,3.15,3.25,2150,530,1075.0,51.1,53.7,2150.0,0.0,0.0,0.0,0.0,0.0,163.0
0,0,0,0.0,0.0,0.0,1075,6.05,11.8,1075,530,5375.0,45.3,61.95,5375.0,0.0,0.0,0.0,0.0,0.0,0.0
88,17,62,37.09,2.3,-0.10000000000000009,4300,2.15,2.3,3225,540,4300.0,60.1,61.15,1075.0,-0.14999999999999858,60.85,41.94,4.0,2.0,48.0
0,0,0,0.0,0.0,0.0,1075,4.7,10.2,1075,540,5375.0,55.5,71.55,5375.0,0.0,0.0,0.0,0.0,0.0,0.0
464,-5,91,37.95,1.65,-0.25,3225,1.55,1.65,3225,550,3225.0,69.0,72.7,6450.0,0.0,0.0,0.0,0.0,0.0,16.0
0,0,0,0.0,0.0,0.0,10750,2.1,7.8,1075,550,5375.0,65.2,78.2,1075.0,0.0,0.0,0.0,0.0,0.0,0.0
71,8,29,38.54,1.15,-0.20000000000000018,2150,1.1,1.2,4300,560,1075.0,78.6,81.65,1075.0,0.0,0.0,0.0,0.0,0.0,4.0
0,0,0,0.0,0.0,0.0,2150,0.1,12.35,4300,560,5375.0,73.2,90.45,4300.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0.0,0.0,0.0,5375,0.3,1.55,1075,570,4300.0,87.95,91.85,4300.0,0.0,0.0,0.0,0.0,0.0,2.0
0,0,0,0.0,0.0,0.0,56975,0.1,1.2,1075,580,3225.0,96.9,101.6,5375.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,1075,0.1,10.1,1075,580,5375.0,92.7,111.25,1075.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,0.0,0.0,0.0,33325,0.1,1.1,1075,590,,,,,,,,,,
26,0,0,0.0,0.0,0.0,4300,0.15,0.7,2150,600,3225.0,116.95,121.2,4300.0,0.0,0.0,0.0,0.0,0.0,86.0
136,-6,24,45.54,0.25,0.04999999999999999,12900,0.2,0.4,2150,620,,,,,,,,,,
