CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,2300,500.0,0.5,1.25,250.0,0.0,0.0,0.0,0.0,0.0,4.0
,,,,,,,,,,2340,250.0,0.35,1.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,441.1,463.55,1000.0,2360,500.0,0.35,2.0,250.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,365.0,0.0,0.0,2360,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2380,5000.0,0.3,1.8,250.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,750.0,400.2,423.45,1000.0,2400,500.0,0.8,1.0,250.0,0.0,0.0,0.0,0.0,0.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,329.0,0.0,0.0,2400,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2400,10000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2420,250.0,0.5,1.5,250.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,360.4,383.6,1000.0,2440,250.0,0.5,2.75,250.0,0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,294.15,0.0,0.0,2440,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2460,250.0,0.7,3.4,500.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,323.35,345.65,2500.0,2480,250.0,0.7,3.5,500.0,0.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,260.85,0.0,0.0,2480,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,2000.0,302.55,325.2,2500.0,2500,500.0,1.55,3.35,250.0,0.8,2.6,26.96,13.0,4.0,275.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,284.35,306.75,2500.0,2520,3750.0,1.5,4.4,250.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,229.2,0.0,0.0,2520,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,263.3,285.0,2500.0,2540,250.0,2.55,4.7,250.0,0.0,0.0,0.0,0.0,0.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,264.8,371.1,2500.0,2540,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,500.0,243.55,266.5,750.0,2560,250.0,2.7,4.15,250.0,0.0,0.0,0.0,0.0,0.0,319.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,244.6,352.9,1000.0,2560,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,750.0,227.85,247.5,750.0,2580,250.0,3.65,5.15,250.0,0.0,0.0,0.0,0.0,0.0,8.0
