CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,240.45,251.9,5000.0,1280,500,0.7,1.45,500,-0.6499999999999999,1.0,36.34,4,0,79
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,242.8,282.4,2000.0,1280,21000,0.1,23.0,500,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1500.0,201.9,214.05,2000.0,1320,500,1.75,2.2,1000,0.1499999999999999,2.0,34.94,13,4,104
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,205.5,243.0,2000.0,1320,15000,0.2,25.0,500,0.0,0.0,0.0,0,0,0
,,,,,,,,,,1340,500,2.75,2.9,500,-0.1499999999999999,3.0,34.77,117,68,185
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,164.9,173.55,500.0,1360,2000,3.65,3.8,500,0.3500000000000001,3.7,33.21,65,12,180
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,174.6,201.95,2000.0,1360,500,9.0,23.0,2000,0.0,0.0,0.0,0,0,8
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,146.75,156.25,500.0,1380,2000,5.0,5.15,1000,0.4499999999999993,5.1,32.7,137,16,193
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,149.35,183.65,2000.0,1380,500,3.4,25.45,2000,0.0,0.0,0.0,0,0,6
11.0,2.0,3.0,0.0,130.0,-10.650000000000006,1000.0,131.5,137.1,2000.0,1400,1500,7.05,7.3,2500,0.8000000000000007,7.4,32.46,310,67,803
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,128.8,159.0,2500.0,1400,2500,2.5,20.0,500,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,112.0,119.6,500.0,1420,2500,9.45,9.75,1500,1.049999999999999,9.6,31.48,182,68,181
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,106.2,162.7,2000.0,1420,500,1.85,0.0,0,0.0,0.0,0.0,0,0,0
8.0,-1.0,21.0,25.89,100.25,-2.799999999999997,1000.0,99.6,102.65,500.0,1440,1500,12.9,13.25,1500,1.25,12.9,31.06,172,27,216
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,94.7,146.95,2500.0,1440,0,0.0,45.85,5000,0.0,0.0,0.0,0,0,0
11.0,0.0,0.0,0.0,0.0,0.0,3500.0,80.75,87.95,3500.0,1460,500,17.5,17.85,1500,1.6500000000000021,17.6,30.99,209,39,416
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,91.3,131.2,2000.0,1460,500,27.55,48.0,2000,6.300000000000001,30.3,29.03,1,0,1
16.0,0.0,0.0,0.0,0.0,0.0,1500.0,67.3,72.75,500.0,1480,500,23.25,23.65,500,2.700000000000003,23.85,30.91,289,105,457
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,84.0,101.25,2500.0,1480,500,36.95,42.0,500,0.0,0.0,0.0,0,0,3
,,,,,,,,,,1480,500,40.05,0.0,0,0.0,0.0,0.0,0,0,0
114.0,19.0,259.0,26.93,59.0,-7.200000000000003,500.0,57.9,58.7,500.0,1500,1000,30.6,30.95,500,2.6999999999999993,30.65,30.56,1013,136,939
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,70.0,84.0,500.0,1500,500,43.15,56.85,500,0.0,0.0,0.0,0,0,2
213.0,74.0,446.0,27.17,47.8,-6.600000000000001,500.0,46.85,47.35,500.0,1520,500,39.55,40.05,1500,3.0500000000000043,39.2,30.99,860,-59,559
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,60.35,72.95,500.0,1520,500,55.0,59.85,500,-2.049999999999997,56.85,30.6,8,6,22
,,,,,,,,,,1520,500,60.05,75.0,500,0.0,0.0,0.0,0,0,0
354.0,76.0,607.0,27.77,37.9,-6.350000000000001,1000.0,37.55,37.9,500.0,1540,500,49.8,50.4,500,4.299999999999997,50.05,30.95,359,-34,357
0.0,0.0,0.0,0.0,0.0,0.0,500.0,58.3,63.55,500.0,1540,500,62.4,74.9,500,0.0,0.0,0.0,0,0,0
471.0,55.0,646.0,27.65,29.95,-5.800000000000001,1000.0,29.5,29.85,500.0,1560,500,61.7,62.4,1500,5.300000000000004,61.95,31.7,193,-37,213
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,40.65,56.75,500.0,1560,500,73.7,89.2,500,0.0,0.0,0.0,0,0,3
714.0,17.0,518.0,28.12,23.1,-5.0,2000.0,22.9,23.25,1000.0,1580,500,74.7,75.7,500,5.549999999999997,75.05,33.7,71,-10,451
0.0,0.0,0.0,0.0,0.0,0.0,500.0,32.95,48.05,500.0,1580,500,84.65,104.9,500,29.0,79.0,26.33,1,0,1
1656.0,148.0,898.0,28.38,17.9,-4.350000000000001,1000.0,17.65,17.95,2000.0,1600,500,89.25,90.4,500,5.900000000000006,89.5,32.5,77,-15,430
32.0,3.0,12.0,26.65,37.5,-4.5,500.0,37.55,38.4,500.0,1600,6000,97.75,109.3,500,-3.0,102.0,31.16,1,0,1
