CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1400,1050,0.7,0.95,350,-0.050000000000000044,0.5,33.21,3,0,195
,,,,,,,,,,1440,700,1.6,1.9,350,0.20000000000000018,1.6,34.33,60,-1,460
,,,,,,,,,,1440,14000,0.05,0.0,0,0.0,0.0,0.0,0,0,0
,,,,,,,,,,1460,2450,2.55,2.7,1400,0.8,2.6,35.06,154,9,718
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,182.95,192.65,350.0,1480,2450,3.75,3.9,1050,1.35,3.85,34.89,447,5,982
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,188.4,230.1,1400.0,1480,2800,2.3,0.0,0,0.0,0.0,0.0,0,0,0
31.0,0.0,29.0,0.0,170.4,-36.349999999999994,350.0,169.0,170.7,350.0,1500,1750,5.5,5.65,1750,1.5999999999999996,5.55,35.06,532,153,448
0.0,0.0,0.0,0.0,0.0,0.0,350.0,146.45,157.1,350.0,1520,1400,7.65,7.8,350,2.5999999999999996,7.75,35.0,446,151,432
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,150.7,195.35,1750.0,1520,1400,3.2,31.85,1400,0.0,0.0,0.0,0,0,0
116.0,40.0,92.0,0.0,135.65,-28.150000000000006,350.0,134.85,135.65,350.0,1540,1050,10.45,10.65,1400,3.6000000000000005,10.55,34.99,506,206,360
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,128.3,177.2,1750.0,1540,4200,0.5,33.45,1400,0.0,0.0,0.0,0,0,0
88.0,51.0,103.0,0.0,118.3,-28.500000000000014,700.0,118.6,119.45,350.0,1560,1050,13.9,14.0,1050,4.25,14.0,34.86,605,140,391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.45,1750.0,1560,4900,2.25,25.5,350,0.0,0.0,0.0,0,0,0
8.0,0.0,0.0,0.0,0.0,0.0,700.0,100.6,106.2,1050.0,1580,1050,18.3,18.5,350,5.650000000000002,18.6,34.96,469,34,268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.1,1400.0,1580,4550,6.2,0.0,0,11.75,30.0,30.99,1,0,7
179.0,30.0,223.0,19.14,89.15,-22.14999999999999,350.0,88.7,89.35,350.0,1600,1400,23.55,23.7,350,6.75,23.75,34.94,2533,33,1090
0.0,0.0,0.0,0.0,0.0,0.0,2100.0,101.85,120.9,3850.0,1600,350,34.6,35.55,350,9.7,35.5,30.12,85,27,104
,,,,,,,,,,1600,700,33.7,0.0,0,0.0,0.0,0.0,0,0,0
91.0,46.0,282.0,21.3,75.5,-44.45,350.0,75.1,75.7,350.0,1620,700,30.15,30.4,350,8.299999999999997,30.15,35.42,825,186,446
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,83.2,122.7,1750.0,1620,350,36.3,56.65,1400,0.0,0.0,0.0,0,0,0
128.0,32.0,402.0,22.85,63.4,-19.800000000000004,350.0,63.25,63.65,350.0,1640,700,37.85,38.05,350,11.200000000000003,38.6,35.3,1389,169,608
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,73.25,107.65,350.0,1640,350,44.4,63.8,350,0.0,0.0,0.0,0,0,0
,,,,,,,,,,1640,700,44.0,0.0,0,0.0,0.0,0.0,0,0,0
335.0,219.0,983.0,23.76,52.2,-18.5,350.0,52.4,52.75,1050.0,1660,700,47.0,47.25,350,13.149999999999999,47.3,36.22,2148,250,700
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,61.15,78.05,350.0,1660,350,53.55,66.6,350,0.0,0.0,0.0,0,0,0
747.0,499.0,3750.0,24.62,43.0,-15.049999999999997,1050.0,42.9,43.1,350.0,1680,1400,57.1,57.35,350,14.550000000000004,57.7,36.54,3179,128,953
1.0,0.0,0.0,0.0,0.0,0.0,350.0,53.0,68.35,350.0,1680,350,63.85,80.55,1400,0.0,0.0,0.0,0,0,0
1928.0,642.0,5201.0,25.21,34.5,-12.549999999999997,350.0,34.45,34.65,1750.0,1700,350,68.8,69.25,350,18.200000000000003,69.45,37.16,3092,42,1237
6.0,6.0,10.0,22.79,56.6,-54.699999999999996,350.0,55.5,58.55,350.0,1700,350,77.7,80.85,350,18.6,81.2,31.81,5,1,29
2552.0,355.0,4499.0,25.59,27.3,-10.7,350.0,27.3,27.45,350.0,1720,350,81.3,81.65,700,19.65,81.8,37.59,673,-17,992
58.0,19.0,35.0,24.09,49.4,-13.300000000000004,350.0,46.25,49.4,350.0,1720,1750,79.05,101.35,1750,0.0,0.0,0.0,0,0,0
2319.0,212.0,2525.0,25.89,21.25,-8.5,350.0,21.2,21.35,350.0,1740,350,95.1,95.8,350,23.549999999999997,95.8,38.54,556,17,332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75,1400.0,1740,1400,83.6,128.3,1400,0.0,0.0,0.0,0,0,0
1006.0,136.0,2449.0,26.07,16.1,-6.799999999999997,1400.0,16.0,16.15,350.0,1760,350,109.6,110.3,350,24.150000000000006,110.45,39.47,110,-10,193
10.0,0.0,1.0,24.24,35.0,-8.0,350.0,32.5,35.6,350.0,1760,1750,106.4,125.0,350,0.0,0.0,0.0,0,0,0
924.0,88.0,794.0,26.18,11.95,-5.150000000000002,350.0,11.95,12.05,700.0,1780,350,125.65,127.3,700,24.599999999999994,126.35,40.68,136,12,121
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1750.0,1780,1400,112.85,155.45,1750,0.0,0.0,0.0,0,0,0
2517.0,235.0,2744.0,26.29,8.85,-3.8000000000000007,5950.0,8.8,8.9,1050.0,1800,350,142.25,143.1,1050,26.60000000000001,143.15,42.14,363,149,375
9.0,7.0,23.0,24.2,23.75,-6.25,350.0,22.15,24.0,1400.0,1800,4550,136.1,152.3,1400,0.0,0.0,0.0,0,0,3
2377.0,460.0,1891.0,26.3,6.35,-2.75,4200.0,6.3,6.4,1050.0,1820,350,159.8,161.7,350,23.25,157.5,41.35,91,23,81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,350.0,1820,1750,135.6,184.1,1400,0.0,0.0,0.0,0,0,0
1641.0,-71.0,762.0,26.62,4.65,-2.05,1400.0,4.65,4.8,2450.0,1840,1750,174.55,183.8,2100,0.0,0.0,0.0,0,0,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,350.0,1840,1400,156.6,200.0,1400,0.0,0.0,0.0,0,0,0
911.0,38.0,497.0,27.01,3.45,-1.0999999999999996,350.0,3.55,3.6,1750.0,1860,1400,193.25,202.85,1050,0.0,0.0,0.0,0,0,64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1750.0,1860,1750,174.25,221.9,1400,0.0,0.0,0.0,0,0,0
549.0,91.0,433.0,27.62,2.65,-0.8000000000000003,1050.0,2.65,2.75,2100.0,1880,350,211.8,222.1,350,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,700.0,1880,1750,194.05,241.55,1400,0.0,0.0,0.0,0,0,0
571.0,-95.0,523.0,28.23,2.1,-0.5,14350.0,2.05,2.1,350.0,1900,1750,233.25,240.4,1400,0.0,0.0,0.0,0,0,168
0.0,0.0,0.0,0.0,0.0,0.0,350.0,5.8,9.95,350.0,1900,1750,215.65,239.8,1400,0.0,0.0,0.0,0,0,0
256.0,-12.0,191.0,28.54,1.55,-0.19999999999999996,700.0,1.5,1.55,350.0,1920,1050,249.55,261.15,700,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,350.0,5.0,19.0,2450.0,1920,1750,235.85,267.7,1400,0.0,0.0,0.0,0,0,0
2314.0,-69.0,356.0,28.62,0.75,-0.30000000000000004,2450.0,0.7,0.8,7350.0,1960,1050,287.95,300.4,1750,0.0,0.0,0.0,0,0,5
3.0,0.0,0.0,0.0,0.0,0.0,350.0,2.1,10.0,350.0,1960,1750,273.65,299.45,1400,0.0,0.0,0.0,0,0,0
