CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,600.0,951.05,988.5,600.0,4200,4500.0,0.6,4.6,150.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,953.75,1111.45,600.0,4200,,,,,,,,,,
,,,,,,,,,,4210,600.0,0.5,7.8,750.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,4250,150.0,2.75,5.3,150.0,0.0,3.5,39.3,2.0,0.0,18.0
,,,,,,,,,,4310,2250.0,2.05,8.9,150.0,0.0,0.0,0.0,0.0,0.0,15.0
,,,,,,,,,,4350,150.0,2.7,6.4,150.0,-1.9,3.6,35.42,2.0,0.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,450.0,751.05,791.7,600.0,4400,150.0,3.35,8.1,150.0,-0.5499999999999998,5.0,35.29,4.0,0.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,753.95,909.25,600.0,4400,,,,,,,,,,
,,,,,,,,,,4410,150.0,4.5,10.45,750.0,0.0,0.0,0.0,0.0,0.0,5.0
,,,,,,,,,,4450,750.0,4.2,9.75,750.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,4460,750.0,4.45,10.0,750.0,0.0,0.0,0.0,0.0,0.0,7.0
34.0,0.0,0.0,0.0,0.0,0.0,450.0,655.3,697.4,750.0,4500,150.0,6.45,7.3,150.0,-2.05,7.3,33.32,73.0,-27.0,151.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,655.0,810.2,600.0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,300.0,562.55,595.05,150.0,4600,150.0,12.05,12.6,750.0,-3.0500000000000007,12.45,32.62,31.0,-3.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,556.1,736.55,600.0,4600,0.0,0.0,110.75,600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4610,150.0,11.2,14.65,150.0,0.0,0.0,0.0,0.0,0.0,76.0
,,,,,,,,,,4660,150.0,16.35,17.0,300.0,-4.600000000000001,16.5,31.98,38.0,-3.0,19.0
2.0,0.0,0.0,0.0,0.0,0.0,150.0,470.1,509.1,150.0,4700,150.0,19.95,21.0,150.0,-103.45,19.8,31.49,27.0,16.0,16.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,461.75,630.65,150.0,4700,0.0,0.0,108.2,600.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,600.0,391.45,415.8,150.0,4800,150.0,32.25,33.15,150.0,-8.600000000000001,32.65,30.96,211.0,12.0,320.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,432.2,511.4,750.0,4800,150.0,70.0,81.9,150.0,0.0,0.0,0.0,0.0,0.0,7.0
1.0,0.0,0.0,0.0,0.0,0.0,150.0,374.1,429.65,150.0,4810,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,150.0,330.9,392.8,150.0,4850,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,150.0,320.95,382.85,150.0,4860,,,,,,,,,,
83.0,0.0,0.0,0.0,0.0,0.0,1050.0,311.35,336.6,1050.0,4900,150.0,51.35,52.3,150.0,-12.900000000000006,51.8,30.4,145.0,12.0,284.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,274.2,489.5,150.0,4900,0.0,0.0,165.2,600.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,600.0,305.65,326.9,150.0,4910,150.0,53.7,55.25,150.0,-11.5,52.8,30.08,15.0,-6.0,9.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.15,600.0,4910,,,,,,,,,,
8.0,-1.0,2.0,30.5,284.6,16.700000000000045,150.0,283.2,290.3,150.0,4950,300.0,63.55,65.05,150.0,-16.4,63.15,29.97,18.0,-3.0,25.0
3.0,0.0,0.0,0.0,0.0,0.0,150.0,267.05,295.85,300.0,4960,150.0,66.6,67.75,150.0,-12.350000000000009,68.6,30.19,82.0,-11.0,24.0
190.0,-11.0,96.0,30.11,248.9,14.25,150.0,251.2,254.9,150.0,5000,150.0,78.5,79.75,150.0,-13.400000000000006,82.05,30.26,320.0,18.0,344.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,292.4,346.1,150.0,5000,150.0,125.0,144.8,150.0,-17.849999999999994,120.0,27.92,1.0,0.0,7.0
,,,,,,,,,,5000,0.0,0.0,0.0,0.0,0.0,180.0,0.0,1.0,0.0,1.0
53.0,-1.0,18.0,35.06,265.0,39.25,150.0,242.85,248.3,150.0,5010,450.0,81.6,83.1,150.0,-15.200000000000003,84.0,29.85,60.0,-1.0,48.0
93.0,-5.0,18.0,30.06,217.0,12.099999999999994,150.0,218.6,222.3,150.0,5050,300.0,95.35,96.95,150.0,-18.5,96.85,29.99,79.0,-20.0,55.0
56.0,-7.0,23.0,30.48,213.0,15.800000000000011,150.0,209.65,219.9,150.0,5060,150.0,99.35,100.9,150.0,-19.049999999999997,100.65,29.97,86.0,-4.0,46.0
494.0,-80.0,1226.0,30.28,190.0,13.5,300.0,189.1,190.0,1200.0,5100,300.0,114.9,116.7,150.0,-21.599999999999994,115.0,29.83,389.0,50.0,369.0
0.0,0.0,0.0,0.0,0.0,0.0,150.0,229.15,272.9,150.0,5100,0.0,0.0,207.95,600.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,-5.0,154.0,30.05,182.35,12.150000000000006,150.0,182.4,186.0,150.0,5110,300.0,119.45,121.55,150.0,-19.450000000000003,122.45,29.9,123.0,34.0,72.0
269.0,27.0,1152.0,29.9,163.0,12.800000000000011,150.0,161.9,163.75,150.0,5150,300.0,137.15,139.15,150.0,-19.5,140.0,29.87,198.0,39.0,74.0
137.0,24.0,217.0,29.58,154.4,8.849999999999994,300.0,156.6,158.2,150.0,5160,150.0,141.85,144.15,150.0,-21.19999999999999,144.0,29.68,91.0,-15.0,44.0
860.0,55.0,1644.0,29.66,138.0,10.549999999999997,150.0,137.6,138.75,150.0,5200,150.0,162.2,164.35,150.0,-22.19999999999999,166.0,29.6,243.0,14.0,200.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.45,150.0,5200,0.0,0.0,351.3,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,8.0,92.0,29.15,128.5,6.299999999999997,150.0,132.15,135.3,150.0,5210,150.0,167.05,175.25,150.0,-18.05000000000001,180.6,31.72,7.0,1.0,12.0
82.0,22.0,140.0,29.51,113.5,6.900000000000006,300.0,115.25,117.8,150.0,5250,300.0,189.35,194.7,150.0,-5.050000000000011,199.85,31.0,5.0,1.0,15.0
33.0,15.0,112.0,29.83,111.1,8.199999999999989,150.0,110.85,113.2,150.0,5260,300.0,194.5,200.5,150.0,3.0999999999999943,205.6,30.96,1.0,0.0,12.0
377.0,-17.0,849.0,29.42,95.0,6.25,300.0,96.3,97.45,150.0,5300,900.0,212.75,236.4,150.0,0.0,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,150.0,5300,0.0,0.0,444.95,150.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,12.0,36.0,29.46,91.0,5.400000000000006,150.0,92.05,94.95,300.0,5310,300.0,225.05,247.45,450.0,0.0,0.0,0.0,0.0,0.0,6.0
31.0,12.0,85.0,29.44,78.05,2.549999999999997,300.0,79.0,81.0,150.0,5350,150.0,240.55,273.3,600.0,0.0,0.0,0.0,0.0,0.0,12.0
,,,,,,,,,,5360,150.0,232.1,283.55,150.0,0.0,0.0,0.0,0.0,0.0,2.0
219.0,-1.0,356.0,29.37,65.25,4.200000000000003,150.0,64.5,66.35,150.0,5400,150.0,276.45,306.5,600.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400,0.0,0.0,503.55,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,5410,150.0,269.1,323.55,150.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,8.0,21.0,30.46,52.8,0.8999999999999986,300.0,52.1,53.8,150.0,5450,,,,,,,,,,
1058.0,83.0,757.0,29.27,41.2,0.5500000000000043,150.0,41.8,42.7,150.0,5500,150.0,355.15,382.65,450.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2,150.0,5500,0.0,0.0,503.2,750.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,14.0,30.0,29.73,34.25,0.3999999999999986,300.0,33.3,34.65,150.0,5550,,,,,,,,,,
140.0,1.0,101.0,29.36,26.1,-0.8999999999999986,150.0,26.35,27.4,150.0,5600,150.0,435.4,470.9,450.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.75,600.0,5600,750.0,370.25,634.7,600.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,7.0,37.0,29.44,19.6,-0.8499999999999979,150.0,19.8,20.75,150.0,5660,,,,,,,,,,
198.0,-2.0,104.0,29.45,16.0,-1.8999999999999986,150.0,16.35,17.15,150.0,5700,450.0,523.75,561.65,450.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,3750.0,5700,750.0,469.2,638.4,750.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,20.0,283.0,29.62,10.55,-1.0,300.0,10.1,10.7,150.0,5800,450.0,617.05,652.55,450.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1650.0,5800,750.0,568.1,715.05,600.0,0.0,0.0,0.0,0.0,0.0,0.0
319.0,-31.0,157.0,30.96,4.0,-0.7999999999999998,150.0,3.8,4.15,300.0,6000,600.0,810.05,849.35,450.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2100.0,6000,750.0,765.95,888.5,600.0,0.0,0.0,0.0,0.0,0.0,0.0
