CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
128.0,0.0,1.0,0.0,325.0,10.0,550.0,331.95,337.65,550.0,1680,2750.0,0.45,0.5,2200.0,0.0,0.5,32.57,8.0,-1.0,209.0
,,,,,,,,,,1680,4400.0,1.6,1.9,1650.0,-0.09999999999999987,1.6,26.41,8.0,-1.0,182.0
,,,,,,,,,,1680,1100.0,2.0,4.8,1100.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,0.0,0.0,0.0,0.0,0.0,1100.0,290.0,296.3,550.0,1720,550.0,0.5,0.6,1100.0,-0.09999999999999998,0.6,29.61,22.0,-14.0,485.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,297.1,316.2,2200.0,1720,1650.0,2.1,2.2,1650.0,-0.10000000000000009,2.1,24.76,18.0,8.0,76.0
18.0,0.0,0.0,0.0,0.0,0.0,1100.0,270.05,277.15,1100.0,1740,6050.0,0.55,0.6,1100.0,-0.050000000000000044,0.6,27.76,34.0,-29.0,179.0
461.0,0.0,0.0,0.0,0.0,0.0,1100.0,251.8,257.15,1100.0,1760,2200.0,0.6,0.7,1100.0,-0.09999999999999998,0.65,26.2,10.0,-6.0,112.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,257.8,279.6,2750.0,1760,1100.0,1.8,4.5,1100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1100.0,231.3,237.6,1100.0,1780,5500.0,0.6,0.7,1100.0,-0.29999999999999993,0.65,24.35,65.0,-38.0,246.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,235.85,259.85,2750.0,1780,1100.0,1.5,5.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
341.0,-1.0,2.0,0.0,213.0,5.099999999999994,550.0,213.75,216.3,550.0,1800,14300.0,0.8,0.9,7150.0,-0.2499999999999999,0.9,23.42,424.0,-82.0,2327.0
4.0,0.0,0.0,0.0,0.0,0.0,2200.0,220.2,238.0,550.0,1800,550.0,3.8,3.85,550.0,-0.6000000000000001,3.9,21.63,39.0,18.0,211.0
,,,,,,,,,,1800,550.0,6.25,8.5,550.0,-1.0,6.5,19.95,12.0,10.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,6600.0,191.55,198.15,1650.0,1820,3300.0,1.0,1.1,550.0,-0.2999999999999998,1.1,22.43,81.0,-6.0,1282.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,198.7,231.55,2750.0,1820,3300.0,1.5,16.3,2200.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,550.0,174.1,178.25,1650.0,1840,1100.0,1.5,1.55,2200.0,-0.44999999999999996,1.5,21.75,195.0,-25.0,537.0
1.0,0.0,1.0,0.0,190.0,20.0,1650.0,184.85,196.3,550.0,1840,550.0,4.0,12.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,0.0,0.0,0.0,0.0,0.0,550.0,155.2,158.25,550.0,1860,17050.0,2.05,2.1,3850.0,-0.6499999999999999,2.1,21.0,421.0,-69.0,837.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,159.0,191.8,2750.0,1860,3300.0,2.5,16.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,12.0,38.0,0.0,137.6,7.699999999999989,1650.0,136.8,137.55,550.0,1880,9900.0,2.95,3.05,13750.0,-0.8499999999999996,2.95,20.27,247.0,-17.0,815.0
2.0,0.0,0.0,0.0,0.0,0.0,2750.0,144.35,164.7,3850.0,1880,1650.0,7.85,8.1,1650.0,-1.200000000000001,8.1,18.8,39.0,-1.0,118.0
631.0,-10.0,44.0,0.0,118.0,7.5,550.0,118.15,120.45,550.0,1900,26400.0,4.3,4.4,11000.0,-1.0,4.4,19.75,1243.0,155.0,3442.0
2.0,0.0,0.0,0.0,0.0,0.0,7700.0,128.3,143.85,5500.0,1900,550.0,9.85,10.25,550.0,-1.0,10.3,18.39,56.0,-3.0,159.0
398.0,5.0,23.0,0.0,100.3,7.049999999999997,1100.0,99.9,100.8,550.0,1920,2750.0,6.05,6.1,4400.0,-1.5499999999999998,6.05,19.03,1625.0,128.0,1582.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,108.75,126.0,550.0,1920,550.0,12.5,12.95,550.0,-2.5999999999999996,12.8,17.87,9.0,3.0,41.0
1120.0,0.0,130.0,9.83,83.1,6.799999999999997,1100.0,82.75,83.55,550.0,1940,10450.0,8.55,8.65,11000.0,-2.1500000000000004,8.5,18.49,1427.0,104.0,2433.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,93.85,108.55,550.0,1940,550.0,16.1,16.7,550.0,-2.349999999999998,16.6,17.68,22.0,7.0,65.0
1393.0,-61.0,358.0,11.55,66.4,5.3500000000000085,1650.0,66.5,66.9,1100.0,1960,4950.0,12.15,12.25,15400.0,-2.8499999999999996,12.15,18.07,2849.0,30.0,2942.0
23.0,0.0,7.0,10.47,83.75,6.299999999999997,1650.0,86.3,87.95,1100.0,1960,550.0,20.85,21.55,550.0,-2.8000000000000007,21.55,17.61,18.0,3.0,62.0
1460.0,-137.0,1693.0,12.63,51.85,4.800000000000004,1100.0,51.7,51.95,1100.0,1980,7700.0,17.2,17.3,4950.0,-3.599999999999998,17.3,17.74,3577.0,311.0,3113.0
2.0,1.0,3.0,11.85,71.0,4.25,550.0,72.75,74.35,550.0,1980,1100.0,27.05,27.7,550.0,-4.600000000000001,27.4,17.5,23.0,6.0,86.0
4485.0,-259.0,8631.0,13.09,38.95,4.100000000000001,550.0,38.75,38.85,550.0,2000,2750.0,24.05,24.15,550.0,-4.5,24.1,17.52,7430.0,797.0,4298.0
205.0,-25.0,79.0,13.1,61.85,4.450000000000003,550.0,60.75,61.95,550.0,2000,550.0,34.75,35.35,550.0,-4.350000000000001,35.0,17.63,101.0,27.0,189.0
17.0,3.0,8.0,11.47,76.8,-0.29999999999999716,550.0,78.95,81.75,550.0,2000,0.0,0.0,72.0,2750.0,0.0,0.0,0.0,0.0,0.0,1.0
8046.0,30.0,6356.0,13.14,27.55,3.1000000000000014,550.0,27.45,27.55,1650.0,2020,3300.0,32.6,32.8,1650.0,-5.25,32.75,17.38,2744.0,367.0,1789.0
34.0,8.0,16.0,13.81,50.65,8.399999999999999,550.0,49.95,50.9,1100.0,2020,550.0,43.3,44.3,550.0,-8.700000000000003,44.8,18.1,16.0,12.0,20.0
4864.0,-163.0,4798.0,13.31,19.0,2.1999999999999993,1100.0,18.9,19.0,3300.0,2040,550.0,43.85,44.05,1100.0,-6.200000000000003,44.0,17.67,828.0,5.0,1114.0
110.0,0.0,7.0,13.29,38.8,1.1499999999999986,550.0,40.25,41.05,550.0,2040,0.0,0.0,62.75,2200.0,0.0,0.0,0.0,0.0,0.0,0.0
7763.0,72.0,4825.0,13.57,12.6,1.5,4950.0,12.55,12.65,3300.0,2060,1100.0,57.35,57.75,550.0,-7.149999999999999,57.35,18.14,314.0,-15.0,307.0
