CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
2.0,0.0,0.0,0.0,0.0,0.0,4400.0,127.5,133.55,3300.0,660,1100,0.3,0.45,1100,-0.09999999999999998,0.25,32.9,1,0,33
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,129.6,147.45,5500.0,660,0,0.0,8.6,4400,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,5500.0,117.2,122.7,3300.0,670,1100,0.35,0.45,1100,0.0,0.4,32.61,1,0,65
9.0,0.0,0.0,0.0,0.0,0.0,4400.0,107.15,112.85,3300.0,680,2200,0.45,0.55,2200,-0.04999999999999999,0.45,30.64,19,-2,119
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,109.8,126.75,5500.0,680,0,0.0,6.6,4400,0.0,0.0,0.0,0,0,0
11.0,0.0,0.0,0.0,0.0,0.0,3300.0,97.0,103.3,3300.0,690,2200,0.6,0.65,2200,0.0,0.6,29.46,102,11,393
1.0,0.0,0.0,0.0,0.0,0.0,4400.0,92.3,98.45,3300.0,695,5500,0.45,1.35,1100,0.0,0.0,0.0,0,0,11
35.0,0.0,0.0,0.0,0.0,0.0,4400.0,87.5,93.2,7700.0,700,2200,0.9,0.95,4400,0.15000000000000002,0.9,28.89,68,5,448
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,93.05,103.0,5500.0,700,1100,1.85,2.95,1100,-1.0,2.0,23.79,2,1,8
,,,,,,,,,,705,1100,0.75,2.0,1100,0.0,0.0,0.0,0,0,270
0.0,0.0,0.0,0.0,0.0,0.0,1100.0,78.15,83.55,3300.0,710,1100,1.3,1.4,3300,0.34999999999999987,1.4,28.63,72,2,252
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,80.85,96.1,1100.0,710,19800,0.15,9.6,4400,0.0,0.0,0.0,0,0,0
,,,,,,,,,,715,1100,1.2,2.05,1100,0.0,0.0,0.0,0,0,230
16.0,0.0,0.0,0.0,0.0,0.0,1100.0,70.35,73.15,1100.0,720,1100,1.9,2.05,2200,0.25,1.85,27.42,47,5,487
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,71.35,89.05,5500.0,720,19800,0.15,11.1,4400,0.0,0.0,0.0,0,0,0
,,,,,,,,,,725,2200,2.45,2.55,3300,0.40000000000000013,2.35,27.51,37,9,126
3.0,0.0,0.0,0.0,0.0,0.0,1100.0,60.0,66.1,1100.0,730,1100,3.0,3.1,3300,0.4500000000000002,2.95,27.61,15,3,266
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,61.6,80.85,5500.0,730,22000,0.15,12.5,4400,0.0,0.0,0.0,0,0,0
,,,,,,,,,,735,1100,2.7,4.5,1100,0.0,0.0,0.0,0,0,97
16.0,0.0,0.0,0.0,0.0,0.0,1100.0,51.95,56.7,1100.0,740,2200,4.4,4.5,2200,0.8000000000000003,4.45,27.7,48,3,992
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,57.5,71.0,5500.0,740,1100,7.0,9.0,1100,0.0,0.0,0.0,0,0,11
,,,,,,,,,,745,2200,5.15,5.3,4400,1.3000000000000003,5.2,27.37,41,10,105
75.0,5.0,17.0,23.94,45.35,-4.699999999999996,2200.0,45.2,45.7,1100.0,750,4400,6.1,6.25,4400,1.1499999999999995,6.1,26.66,73,-11,436
0.0,0.0,0.0,0.0,0.0,0.0,8800.0,51.35,57.65,8800.0,750,1100,10.85,11.5,1100,1.9000000000000004,11.0,24.14,4,0,25
5.0,0.0,0.0,0.0,0.0,0.0,1100.0,40.0,44.4,1100.0,755,1100,7.2,7.3,1100,1.2000000000000002,7.2,26.99,34,-1,61
76.0,0.0,0.0,0.0,0.0,0.0,4400.0,35.9,39.3,4400.0,760,4400,8.35,8.5,1100,1.7999999999999998,8.35,26.23,92,-2,422
2.0,0.0,0.0,0.0,0.0,0.0,2200.0,40.0,63.15,2200.0,760,1100,9.35,27.55,4400,0.0,0.0,0.0,0,0,0
,,,,,,,,,,760,2200,5.6,0.0,0,0.0,0.0,0.0,0,0,0
11.0,0.0,0.0,0.0,0.0,0.0,1100.0,33.0,35.95,1100.0,765,1100,9.8,9.9,1100,1.8000000000000007,9.55,26.29,16,-1,68
118.0,0.0,24.0,25.68,31.8,-5.900000000000002,2200.0,30.55,31.0,1100.0,770,2200,11.25,11.45,3300,2.0999999999999996,11.25,25.79,174,-5,274
0.0,0.0,0.0,0.0,0.0,0.0,4400.0,36.45,51.4,1100.0,770,1100,14.55,26.0,11000,0.0,0.0,0.0,0,0,0
19.0,0.0,0.0,0.0,0.0,0.0,6600.0,25.8,29.4,8800.0,775,2200,13.05,13.25,2200,2.5,13.0,26.32,38,1,130
218.0,-24.0,265.0,25.24,24.9,-5.550000000000001,2200.0,24.4,24.7,1100.0,780,2200,15.05,15.2,5500,2.75,14.95,25.43,352,9,368
