CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,68.0,51600.0,0.1,0.15,25800.0,0.04999999999999999,0.15,47.28,2.0,0.0,21.0
3.0,0.0,0.0,0.0,0.0,0.0,6450.0,12.65,13.2,6450.0,70.0,167700.0,0.2,0.25,45150.0,-0.04999999999999999,0.2,46.3,15.0,-1.0,138.0
0.0,0.0,0.0,0.0,0.0,0.0,90300.0,12.6,15.7,32250.0,70.0,0.0,0.0,2.0,6450.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,72.0,25800.0,0.35,0.4,25800.0,0.0,0.4,45.23,11.0,0.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,6450.0,10.1,11.35,6450.0,72.5,6450.0,0.15,0.95,6450.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25800.0,10.25,13.6,6450.0,72.5,0.0,0.0,2.3,25800.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,6450.0,8.15,8.65,6450.0,75.0,103200.0,0.7,0.75,32250.0,0.0,0.7,43.3,71.0,-23.0,322.0
0.0,0.0,0.0,0.0,0.0,0.0,25800.0,9.65,10.55,25800.0,75.0,6450.0,1.8,2.0,6450.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,76.0,32250.0,0.85,0.95,25800.0,-0.04999999999999993,0.9,43.33,9.0,-2.0,38.0
,,,,,,,,,,77.0,32250.0,1.1,1.15,25800.0,0.0,1.15,42.75,24.0,-12.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,6450.0,5.75,7.05,6450.0,77.5,6450.0,0.8,1.6,6450.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,25800.0,7.9,10.0,6450.0,77.5,12900.0,2.5,3.75,25800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,78.0,25800.0,1.35,1.45,32250.0,0.09999999999999987,1.4,42.43,6.0,2.0,94.0
,,,,,,,,,,79.0,25800.0,1.65,1.75,32250.0,0.04999999999999982,1.65,42.99,9.0,2.0,29.0
108.0,19.0,51.0,37.05,4.75,-0.7000000000000002,19350.0,4.75,4.8,6450.0,80.0,58050.0,2.0,2.05,19350.0,0.050000000000000044,2.0,42.9,52.0,12.0,400.0
7.0,1.0,3.0,39.99,6.8,-0.40000000000000036,25800.0,6.4,7.15,6450.0,80.0,38700.0,3.5,3.8,6450.0,0.0,3.6,43.83,15.0,11.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,6450.0,1.0,0.0,0.0,80.0,,,,,,,,,,
3.0,0.0,0.0,0.0,0.0,0.0,6450.0,3.95,4.45,6450.0,81.0,12900.0,2.4,2.5,19350.0,0.10000000000000009,2.35,40.94,3.0,0.0,66.0
35.0,-10.0,84.0,38.61,3.65,-0.5000000000000004,32250.0,3.6,3.7,19350.0,82.0,32250.0,2.85,2.95,32250.0,0.1499999999999999,2.85,42.92,21.0,7.0,75.0
0.0,0.0,0.0,0.0,0.0,0.0,6450.0,3.2,3.5,19350.0,82.5,12900.0,3.1,3.2,32250.0,0.1499999999999999,3.25,43.65,14.0,0.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,25800.0,5.05,6.1,6450.0,82.5,12900.0,4.65,5.65,25800.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,7.0,147.0,38.68,3.2,-0.5,12900.0,3.15,3.2,38700.0,83.0,25800.0,3.35,3.45,32250.0,0.10000000000000009,3.35,42.38,33.0,1.0,90.0
91.0,13.0,174.0,38.75,2.75,-0.4500000000000002,19350.0,2.7,2.8,45150.0,84.0,25800.0,3.9,4.0,32250.0,0.49999999999999956,4.1,44.39,19.0,3.0,115.0
