CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,300.0,501.0,520.8,1200.0,1920,3000.0,0.35,0.75,4500.0,0.0,0.0,0.0,0.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,403.85,0.0,0.0,1920,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,461.5,480.75,1200.0,1960,600.0,0.55,0.65,300.0,-0.25,0.5,36.89,2.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,364.7,0.0,0.0,1960,,,,,,,,,,
8.0,0.0,0.0,0.0,0.0,0.0,3000.0,423.5,439.9,3000.0,2000,600.0,0.4,0.5,1500.0,0.0,0.5,33.84,23.0,-19.0,279.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,326.0,495.1,1500.0,2000,900.0,1.4,1.55,300.0,0.0,0.0,0.0,0.0,0.0,12.0
,,,,,,,,,,2000,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,383.4,399.8,1200.0,2040,900.0,0.45,0.55,600.0,-0.14999999999999997,0.45,30.44,3.0,-1.0,77.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,287.95,0.0,0.0,2040,6000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,363.15,381.5,900.0,2060,300.0,0.4,0.6,600.0,0.09999999999999998,0.7,30.64,7.0,-1.0,78.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,269.35,0.0,0.0,2060,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,900.0,341.8,362.1,900.0,2080,600.0,0.35,0.45,1500.0,-0.04999999999999999,0.45,27.49,2.0,0.0,163.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,251.0,0.0,0.0,2080,6000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,2.0,0.0,338.0,23.0,1500.0,327.7,334.8,300.0,2100,10500.0,0.35,0.45,900.0,0.0,0.5,26.38,227.0,-76.0,1831.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,233.0,0.0,0.0,2100,600.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,900.0,302.3,321.75,900.0,2120,1800.0,0.55,0.8,600.0,-0.25,0.55,25.22,11.0,-2.0,92.0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,315.5,356.05,1500.0,2120,1200.0,0.15,14.15,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,900.0,283.0,296.95,600.0,2140,900.0,0.75,0.9,600.0,-0.09999999999999998,0.85,25.22,42.0,-5.0,179.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,295.5,333.95,1500.0,2140,300.0,2.0,14.15,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,900.0,263.2,277.25,600.0,2160,900.0,0.9,1.1,300.0,-0.29999999999999993,0.9,23.87,36.0,-13.0,133.0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,274.45,316.5,1500.0,2160,900.0,1.1,14.15,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
