CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
10.0,10.0,16.0,0.0,66.15,-47.75,1225.0,66.8,67.35,1225.0,360,4900.0,1.15,1.2,14700.0,0.85,1.2,45.13,1374.0,261.0,273.0
0.0,0.0,0.0,0.0,0.0,0.0,4900.0,68.25,73.8,6125.0,360,1225.0,2.6,2.8,3675.0,0.8999999999999999,2.75,38.71,49.0,26.0,63.0
,,,,,,,,,,360,2450.0,3.55,5.0,2450.0,0.0,0.0,0.0,0.0,0.0,2.0
11.0,2.0,9.0,33.31,48.75,-10.200000000000003,1225.0,48.0,48.4,1225.0,380,6125.0,2.15,2.2,2450.0,1.4000000000000001,2.2,39.68,2661.0,138.0,279.0
0.0,0.0,0.0,0.0,0.0,0.0,4900.0,50.65,55.75,6125.0,380,2450.0,4.65,4.85,2450.0,1.8499999999999996,4.6,35.28,110.0,34.0,56.0
,,,,,,,,,,380,1225.0,1.0,23.95,1225.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,13.0,31.0,30.44,39.3,-8.25,1225.0,39.05,39.4,1225.0,390,4900.0,3.15,3.25,9800.0,1.85,3.1,37.67,939.0,117.0,256.0
0.0,0.0,0.0,0.0,0.0,0.0,12250.0,41.2,49.35,6125.0,390,18375.0,4.8,7.95,18375.0,-5.000000000000001,6.3,34.41,1.0,0.0,0.0
225.0,58.0,282.0,30.95,31.0,-8.850000000000001,2450.0,30.8,31.15,1225.0,400,14700.0,4.7,4.8,9800.0,2.7,4.75,36.18,6406.0,286.0,1016.0
0.0,0.0,1.0,30.86,38.0,-48.3,3675.0,35.3,38.65,3675.0,400,2450.0,8.5,9.1,2450.0,3.5,9.0,34.17,188.0,68.0,193.0
,,,,,,,,,,400,6125.0,10.6,13.1,1225.0,-6.149999999999999,14.0,35.98,1.0,0.0,0.0
122.0,19.0,291.0,32.06,23.9,-7.0,1225.0,23.25,23.55,1225.0,410,3675.0,7.15,7.3,3675.0,3.8,7.1,35.05,3545.0,214.0,940.0
0.0,0.0,0.0,0.0,0.0,0.0,4900.0,28.25,33.2,6125.0,410,2450.0,11.4,12.55,1225.0,4.6499999999999995,12.35,34.65,15.0,3.0,39.0
958.0,816.0,2815.0,30.77,17.0,-6.350000000000001,1225.0,16.9,17.0,4900.0,420,4900.0,10.6,10.75,1225.0,5.1,10.6,34.32,4661.0,176.0,1676.0
7.0,7.0,12.0,30.55,25.0,-47.900000000000006,2450.0,23.75,24.95,2450.0,420,1225.0,15.6,16.25,1225.0,5.600000000000001,16.1,34.21,17.0,7.0,123.0
,,,,,,,,,,420,1225.0,18.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030.0,728.0,4050.0,30.01,11.5,-5.449999999999999,1225.0,11.55,11.6,2450.0,430,3675.0,15.2,15.4,3675.0,5.949999999999999,15.0,33.46,2838.0,328.0,1374.0
32.0,32.0,64.0,30.34,19.65,-28.800000000000004,1225.0,19.0,19.9,1225.0,430,1225.0,20.5,21.0,1225.0,9.899999999999999,21.2,34.81,17.0,11.0,15.0
1422.0,322.0,3606.0,29.79,7.55,-4.2,1225.0,7.5,7.6,7350.0,440,1225.0,21.1,21.3,2450.0,7.25,21.0,34.07,1249.0,-47.0,1396.0
26.0,25.0,56.0,30.28,15.2,-5.850000000000001,1225.0,14.5,15.55,2450.0,440,1225.0,26.1,26.75,1225.0,8.099999999999998,27.7,36.5,36.0,9.0,104.0
,,,,,,,,,,440,0.0,0.0,32.4,1225.0,0.0,0.0,0.0,0.0,0.0,8.0
