CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,700.0,235.0,242.05,700.0,1200,11200.0,0.35,0.4,700.0,-0.10000000000000003,0.35,32.02,4.0,-1.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,200.85,0.0,0.0,1200,700.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,215.0,223.15,700.0,1220,2100.0,0.4,0.55,10500.0,0.0,0.0,0.0,0.0,0.0,25.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,181.8,0.0,0.0,1220,28000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,2800.0,195.05,202.45,700.0,1240,1400.0,0.4,0.5,700.0,-0.19999999999999996,0.4,27.38,2.0,1.0,119.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,163.1,0.0,0.0,1240,28000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1240,14000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,2800.0,175.2,182.55,700.0,1260,1400.0,0.5,0.6,2100.0,0.050000000000000044,0.55,25.96,12.0,-1.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,144.95,0.0,0.0,1260,35000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,155.35,163.55,700.0,1280,15400.0,0.45,0.7,1400.0,0.0,0.0,0.0,0.0,0.0,435.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,127.4,0.0,0.0,1280,1400.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1280,20300.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1290,700.0,0.6,0.7,700.0,0.0,0.65,22.28,97.0,-1.0,649.0
221.0,0.0,0.0,0.0,0.0,0.0,700.0,137.2,143.15,700.0,1300,2800.0,0.8,0.85,1400.0,0.04999999999999993,0.85,22.4,265.0,1.0,2160.0
1.0,0.0,0.0,0.0,0.0,0.0,2800.0,135.4,144.25,4200.0,1300,700.0,4.05,4.1,4200.0,0.1499999999999999,4.05,21.47,7.0,5.0,52.0
,,,,,,,,,,1300,20300.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,126.15,134.3,2100.0,1310,3500.0,0.9,1.45,4200.0,0.0,0.0,0.0,0.0,0.0,219.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,123.15,133.95,2800.0,1310,700.0,4.65,5.0,700.0,0.0,0.0,0.0,0.0,0.0,44.0
1.0,0.0,0.0,0.0,0.0,0.0,700.0,116.9,123.2,700.0,1320,1400.0,1.35,1.4,2100.0,0.0,1.35,21.29,54.0,-14.0,267.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,114.0,124.6,2800.0,1320,700.0,5.4,5.75,1400.0,0.0,0.0,0.0,0.0,0.0,46.0
,,,,,,,,,,1320,3500.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,700.0,107.0,114.9,700.0,1330,2100.0,1.7,1.8,2800.0,0.1499999999999999,1.7,20.73,87.0,-10.0,233.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,104.6,124.25,2800.0,1330,700.0,5.0,14.45,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,700.0,98.35,102.55,700.0,1340,11200.0,2.2,2.3,9100.0,0.2500000000000002,2.2,20.2,171.0,9.0,371.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,95.7,114.35,2800.0,1340,700.0,6.0,14.45,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1340,20300.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,-6.0,19.0,16.61,91.55,-7.450000000000003,3500.0,91.4,92.05,1400.0,1350,20300.0,2.85,2.95,7700.0,0.3500000000000001,2.85,19.9,368.0,-5.0,560.0
0.0,0.0,0.0,0.0,0.0,0.0,3500.0,87.6,99.7,2800.0,1350,700.0,8.85,9.35,700.0,1.200000000000001,9.3,20.37,6.0,3.0,15.0
46.0,0.0,4.0,18.24,83.0,-3.0,1400.0,82.45,83.0,700.0,1360,1400.0,3.75,3.8,4200.0,0.5499999999999998,3.75,19.54,184.0,-6.0,675.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,79.7,91.4,2800.0,1360,700.0,10.45,10.9,2100.0,1.0,10.6,19.95,23.0,9.0,80.0
33.0,0.0,8.0,17.9,74.0,-4.0,1400.0,73.45,74.2,700.0,1370,16100.0,4.85,4.95,14700.0,0.75,4.9,19.22,174.0,-5.0,304.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,65.95,91.75,2800.0,1370,700.0,5.15,22.65,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,2.0,9.0,18.99,66.5,-6.5,700.0,65.15,65.6,700.0,1380,16100.0,6.25,6.35,700.0,0.9500000000000002,6.3,18.75,381.0,-52.0,761.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,56.2,83.85,2800.0,1380,700.0,5.45,24.25,700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,32.0,68.0,19.36,59.0,-5.349999999999994,1400.0,56.9,57.4,700.0,1390,700.0,8.1,8.15,2800.0,1.2999999999999998,8.1,18.59,583.0,-46.0,336.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.2,3500.0,1390,700.0,8.0,26.45,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
781.0,35.0,466.0,17.67,49.5,-7.049999999999997,2100.0,49.3,49.65,2800.0,1400,2100.0,10.3,10.4,6300.0,1.6500000000000004,10.35,18.53,1964.0,-222.0,2516.0
0.0,0.0,0.0,0.0,0.0,0.0,5600.0,51.75,61.15,5600.0,1400,1400.0,20.65,21.15,700.0,2.0500000000000007,20.8,19.93,21.0,1.0,202.0
,,,,,,,,,,1400,700.0,20.65,33.25,700.0,0.0,0.0,0.0,0.0,0.0,0.0
208.0,-7.0,183.0,17.48,42.4,-6.399999999999999,700.0,41.95,42.3,1400.0,1410,700.0,13.0,13.1,7700.0,2.1000000000000014,13.05,18.31,900.0,-89.0,577.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65,3500.0,1410,700.0,15.4,34.1,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
1296.0,-52.0,1130.0,16.9,35.3,-6.200000000000003,1400.0,35.3,35.5,2800.0,1420,2100.0,16.15,16.25,2800.0,2.549999999999999,16.2,18.11,1941.0,-227.0,1377.0
0.0,0.0,0.0,0.0,0.0,0.0,2800.0,36.15,55.95,700.0,1420,700.0,26.55,37.9,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
1686.0,321.0,3273.0,16.88,29.2,-5.800000000000001,5600.0,29.3,29.5,1400.0,1430,3500.0,20.0,20.2,4200.0,3.0,20.0,17.89,2571.0,155.0,1681.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,32.0,46.25,700.0,1430,700.0,31.25,41.9,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
2674.0,493.0,4709.0,16.85,23.95,-4.850000000000001,1400.0,23.95,24.1,2800.0,1440,1400.0,24.6,24.75,1400.0,3.8500000000000014,24.75,17.78,2424.0,93.0,1783.0
96.0,36.0,66.0,13.1,33.7,-4.849999999999994,700.0,33.55,34.1,700.0,1440,700.0,36.9,37.95,700.0,4.150000000000006,37.95,20.64,20.0,2.0,25.0
3567.0,43.0,3677.0,16.66,19.2,-4.199999999999999,13300.0,19.2,19.3,6300.0,1450,2100.0,29.7,29.9,700.0,4.599999999999998,29.9,17.61,1269.0,0.0,1550.0
37.0,1.0,31.0,13.6,29.25,-3.75,700.0,29.2,29.45,700.0,1450,700.0,42.1,43.3,700.0,4.400000000000006,43.45,20.95,15.0,-2.0,37.0
3009.0,-60.0,2931.0,16.47,14.9,-3.6500000000000004,4900.0,14.9,15.0,1400.0,1460,1400.0,35.6,35.75,700.0,5.099999999999998,35.8,17.27,616.0,-68.0,570.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.45,2800.0,1460,2800.0,38.8,57.5,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
3479.0,328.0,2600.0,16.3,11.5,-2.9499999999999993,10500.0,11.45,11.55,2100.0,1470,700.0,42.1,42.4,2800.0,4.799999999999997,41.5,17.64,168.0,-3.0,232.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.95,700.0,1470,2800.0,44.8,62.9,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
2073.0,-304.0,2640.0,16.38,8.9,-2.4000000000000004,4900.0,8.85,8.95,6300.0,1480,700.0,49.35,49.65,700.0,6.649999999999999,49.65,17.85,452.0,270.0,568.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,1400.0,1480,700.0,60.45,66.15,700.0,4.5,60.8,21.3,2.0,0.0,15.0
722.0,110.0,798.0,16.51,6.8,-1.8500000000000005,11900.0,6.75,6.85,7000.0,1490,700.0,57.2,57.5,700.0,6.299999999999997,56.75,18.1,37.0,-11.0,132.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.45,700.0,1490,7000.0,60.8,76.6,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
4092.0,145.0,2803.0,16.9,5.3,-1.4500000000000002,9800.0,5.3,5.4,21000.0,1500,700.0,65.45,65.85,700.0,7.5,65.8,18.43,149.0,12.0,260.0
93.0,-2.0,45.0,14.61,13.15,-1.75,1400.0,12.8,13.0,700.0,1500,5600.0,71.9,81.4,5600.0,0.0,0.0,0.0,0.0,0.0,0.0
775.0,44.0,729.0,16.91,3.95,-1.0499999999999998,25200.0,3.95,4.0,7700.0,1510,700.0,74.0,74.6,1400.0,-0.9500000000000028,74.25,18.86,108.0,-5.0,124.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45,2800.0,1510,2800.0,75.55,98.3,7000.0,0.0,0.0,0.0,0.0,0.0,0.0
957.0,161.0,716.0,17.19,3.05,-0.8000000000000003,23100.0,3.0,3.1,27300.0,1520,700.0,83.0,83.8,700.0,5.950000000000003,82.55,18.07,71.0,-2.0,192.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,7.25,11.7,700.0,1520,3500.0,85.7,100.85,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,36.0,188.0,17.47,2.35,-0.5499999999999998,9800.0,2.3,2.4,17500.0,1530,2800.0,89.8,95.4,700.0,0.0,0.0,0.0,0.0,0.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,700.0,1530,7000.0,92.65,108.3,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
649.0,45.0,249.0,17.84,1.85,-0.3500000000000001,15400.0,1.8,1.9,17500.0,1540,700.0,100.55,105.45,3500.0,0.0,0.0,0.0,0.0,0.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,5.0,8.15,1400.0,1540,2800.0,103.2,116.5,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
966.0,253.0,544.0,18.44,1.5,-0.1499999999999999,6300.0,1.5,1.55,2800.0,1550,700.0,110.3,112.15,700.0,5.700000000000003,111.5,21.06,5.0,0.0,43.0
90.0,2.0,22.0,15.46,5.3,-0.9500000000000002,2100.0,5.4,5.6,2100.0,1550,3500.0,112.3,124.7,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
569.0,-3.0,41.0,19.01,1.15,-0.10000000000000009,1400.0,1.1,1.25,11200.0,1560,4900.0,118.35,124.7,4900.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,3.0,10.7,2800.0,1560,3500.0,120.05,138.9,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0,1.0,33.0,19.04,0.9,-0.09999999999999998,700.0,0.9,1.05,2800.0,1570,700.0,128.1,134.45,700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,2.75,6.6,700.0,1570,700.0,130.5,144.5,2800.0,0.0,0.0,0.0,0.0,0.0,0.0
557.0,16.0,63.0,19.57,0.75,0.0,2100.0,0.7,0.75,700.0,1580,700.0,138.0,144.55,700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,2.05,4.75,700.0,1580,2800.0,140.6,158.45,3500.0,0.0,0.0,0.0,0.0,0.0,0.0
2469.0,27.0,188.0,20.73,0.55,-0.04999999999999993,15400.0,0.5,0.55,4200.0,1600,18200.0,157.55,163.25,3500.0,0.0,0.0,0.0,0.0,0.0,6.0
55.0,1.0,16.0,16.94,2.65,-0.20000000000000018,1400.0,2.55,2.6,700.0,1600,1400.0,161.05,171.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.05,0.0,0.0,1600,,,,,,,,,,
305.0,0.0,12.0,21.77,0.4,0.0,3500.0,0.35,0.4,700.0,1620,700.0,177.45,183.65,700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,1.25,0.0,0.0,1620,3500.0,124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.0,-11.0,12.0,23.7,0.4,-0.04999999999999999,5600.0,0.4,0.45,22400.0,1640,2100.0,195.25,203.4,700.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,1.0,18.37,1.5,-0.19999999999999996,700.0,1.4,1.6,700.0,1640,3500.0,141.35,236.95,3500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.05,0.0,0.0,1640,,,,,,,,,,
