CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1680,1300.0,0.95,1.35,325.0,0.0,0.0,0.0,0.0,0.0,61.0
,,,,,,,,,,1700,2275.0,1.05,1.6,325.0,0.0,0.0,0.0,0.0,0.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,975.0,292.55,312.45,1300.0,1720,1625.0,0.4,5.5,13000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1625.0,245.55,0.0,0.0,1720,13000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1300.0,273.15,294.65,1300.0,1740,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,975.0,254.0,273.7,975.0,1760,325.0,1.6,4.4,325.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,1625.0,258.55,300.0,1300.0,1760,12675.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1780,3575.0,2.35,5.5,325.0,0.0,0.0,0.0,0.0,0.0,50.0
1.0,0.0,0.0,0.0,0.0,0.0,975.0,218.55,233.0,975.0,1800,325.0,3.9,4.2,975.0,0.7999999999999998,4.1,32.27,52.0,13.0,152.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,229.8,264.6,1300.0,1800,325.0,6.5,26.2,1300.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,325.0,199.0,214.05,1300.0,1820,325.0,3.75,6.3,325.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,204.6,247.35,1300.0,1820,6175.0,0.2,31.3,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,325.0,179.6,195.2,975.0,1840,325.0,4.5,6.9,325.0,0.0,0.0,0.0,0.0,0.0,66.0
0.0,0.0,0.0,0.0,0.0,0.0,1300.0,185.95,227.75,1300.0,1840,6175.0,0.2,31.3,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
