CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,2775.0,138.7,143.3,3700.0,540,925.0,0.1,0.35,4625.0,-0.25,0.05,35.37,32.0,0.0,87.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,140.15,154.4,3700.0,540,0.0,0.0,7.4,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2775.0,118.95,124.45,9250.0,560,6475.0,0.35,0.45,2775.0,-0.35,0.35,38.5,49.0,-9.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,120.6,134.9,3700.0,560,0.0,0.0,7.95,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,570,925.0,0.45,0.85,925.0,-0.9999999999999999,0.4,36.25,1.0,0.0,39.0
1.0,0.0,0.0,0.0,0.0,0.0,2775.0,99.8,104.5,3700.0,580,925.0,0.75,0.8,1850.0,-0.55,0.8,37.33,30.0,2.0,49.0
0.0,0.0,0.0,0.0,0.0,0.0,4625.0,101.0,115.1,3700.0,580,0.0,0.0,8.1,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,585,925.0,0.75,1.95,925.0,-0.9500000000000001,0.65,34.42,1.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,2775.0,90.15,94.8,3700.0,590,2775.0,1.0,1.1,1850.0,-0.75,1.05,36.56,30.0,-6.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,4625.0,91.1,104.7,3700.0,590,0.0,0.0,7.9,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,595,13875.0,0.95,2.65,13875.0,0.0,0.0,0.0,0.0,0.0,7.0
43.0,1.0,6.0,0.0,81.65,13.200000000000003,925.0,82.7,84.0,925.0,600,6475.0,1.45,1.55,3700.0,-1.1,1.5,35.11,202.0,-31.0,259.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,86.45,91.35,3700.0,600,925.0,4.4,4.9,1850.0,-4.0,4.1,31.35,1.0,0.0,1.0
,,,,,,,,,,605,925.0,1.4,2.35,925.0,0.0,0.0,0.0,0.0,0.0,42.0
4.0,0.0,0.0,0.0,0.0,0.0,1850.0,71.4,75.8,925.0,610,2775.0,2.1,2.2,3700.0,-1.5500000000000003,2.15,34.44,138.0,-16.0,104.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,74.1,91.3,3700.0,610,925.0,2.1,15.1,4625.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,1850.0,67.15,71.15,925.0,615,3700.0,2.5,2.65,3700.0,-1.7500000000000004,2.65,34.43,30.0,3.0,61.0
16.0,-6.0,12.0,0.0,62.8,20.849999999999994,925.0,64.65,65.6,925.0,620,2775.0,3.0,3.1,1850.0,-2.2499999999999996,3.1,33.97,158.0,-36.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,66.85,79.1,3700.0,620,925.0,4.5,12.6,925.0,0.0,0.0,0.0,0.0,0.0,6.0
6.0,0.0,0.0,0.0,0.0,0.0,6475.0,57.8,62.45,3700.0,625,925.0,3.6,3.7,1850.0,-2.1999999999999997,3.9,34.32,24.0,-2.0,51.0
28.0,-3.0,8.0,31.3,57.85,12.550000000000004,925.0,56.1,57.25,925.0,630,925.0,4.35,4.45,3700.0,-3.05,4.3,33.81,146.0,19.0,188.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,55.45,0.0,0.0,630,3700.0,2.6,26.7,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,-2.0,3.0,26.26,51.85,13.350000000000001,925.0,52.05,52.85,925.0,635,925.0,5.15,5.25,2775.0,-3.5500000000000007,5.25,33.46,82.0,13.0,81.0
245.0,-45.0,86.0,24.64,47.0,10.799999999999997,925.0,48.0,48.65,925.0,640,925.0,6.1,6.2,925.0,-3.8999999999999995,6.2,33.32,273.0,11.0,258.0
1.0,0.0,0.0,0.0,0.0,0.0,1850.0,45.1,0.0,0.0,640,3700.0,2.55,34.35,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,-2.0,22.0,26.47,43.55,11.349999999999994,925.0,44.2,45.05,925.0,645,1850.0,7.2,7.35,1850.0,-4.1,7.5,33.62,79.0,6.0,80.0
212.0,-64.0,219.0,26.37,40.5,10.7,1850.0,40.5,41.05,1850.0,650,925.0,8.5,8.6,925.0,-4.699999999999999,8.65,33.33,398.0,32.0,386.0
0.0,0.0,0.0,0.0,0.0,0.0,4625.0,35.1,0.0,0.0,650,3700.0,2.6,34.15,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,-6.0,20.0,26.52,35.85,9.450000000000003,925.0,36.95,37.9,925.0,655,2775.0,9.8,10.05,925.0,-5.35,10.15,33.41,88.0,16.0,60.0
302.0,-46.0,477.0,28.62,33.55,9.699999999999996,1850.0,33.65,34.05,1850.0,660,1850.0,11.55,11.7,925.0,-6.050000000000001,11.7,33.38,473.0,31.0,231.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,26.1,49.5,925.0,660,0.0,0.0,33.15,9250.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,1.0,120.0,28.57,30.1,8.75,925.0,30.5,31.0,925.0,665,,,,,,,,,,
242.0,-179.0,1540.0,29.16,27.6,8.850000000000001,2775.0,27.5,27.9,2775.0,670,925.0,15.35,15.6,925.0,-6.999999999999998,15.65,33.46,486.0,82.0,125.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,16.8,44.55,925.0,670,0.0,0.0,31.75,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,23.0,478.0,28.85,24.8,8.3,925.0,24.8,25.0,925.0,675,,,,,,,,,,
538.0,274.0,2943.0,30.0,22.2,7.549999999999999,1850.0,22.3,22.5,2775.0,680,925.0,19.95,20.2,925.0,-7.699999999999999,20.1,33.84,608.0,86.0,119.0
0.0,0.0,0.0,0.0,0.0,0.0,925.0,17.05,35.45,925.0,680,0.0,0.0,33.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,24.0,288.0,29.99,19.8,7.050000000000001,1850.0,19.85,20.15,925.0,685,,,,,,,,,,
224.0,68.0,604.0,30.07,17.85,6.650000000000002,925.0,17.75,17.95,925.0,690,1850.0,25.25,25.6,925.0,-8.349999999999998,25.45,36.6,103.0,32.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,3700.0,18.0,30.25,925.0,690,0.0,0.0,41.4,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
707.0,256.0,3225.0,30.49,14.05,5.450000000000001,1850.0,13.95,14.1,1850.0,700,1850.0,31.35,31.75,925.0,-10.899999999999999,31.25,35.36,81.0,11.0,62.0
3.0,2.0,11.0,26.88,22.5,7.5,925.0,21.5,23.9,925.0,700,4625.0,32.1,47.0,4625.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,3.0,29.0,28.8,11.0,3.8,1850.0,12.2,12.5,925.0,705,,,,,,,,,,
182.0,26.0,302.0,30.53,10.5,4.0,1850.0,10.7,10.85,925.0,710,925.0,38.0,38.95,925.0,-12.549999999999997,38.5,35.05,8.0,4.0,7.0
1.0,0.0,0.0,0.0,0.0,0.0,925.0,16.1,22.35,925.0,710,4625.0,33.35,48.6,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
169.0,29.0,639.0,31.03,8.1,3.1499999999999995,1850.0,8.15,8.25,1850.0,720,925.0,45.5,45.8,1850.0,-9.899999999999999,46.9,37.4,23.0,8.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,925.0,2.8,24.05,3700.0,720,0.0,0.0,60.9,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,10.0,242.0,31.21,6.1,2.6499999999999995,2775.0,6.1,6.25,1850.0,730,1850.0,53.2,55.0,925.0,-68.8,53.7,36.2,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.05,4625.0,730,0.0,0.0,71.9,4625.0,0.0,0.0,0.0,0.0,0.0,0.0
184.0,16.0,342.0,31.49,4.6,2.1499999999999995,925.0,4.55,4.65,5550.0,740,925.0,60.45,64.3,925.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1850.0,0.1,23.35,925.0,740,3700.0,52.5,79.75,3700.0,0.0,0.0,0.0,0.0,0.0,0.0
332.0,255.0,850.0,31.81,2.5,1.15,9250.0,2.4,2.5,11100.0,760,925.0,77.95,82.35,925.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1850.0,0.1,20.35,925.0,760,3700.0,71.8,99.85,4625.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.1,0.0,0.0,760,,,,,,,,,,
