CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,160.0,66000.0,0.05,0.15,38500.0,-0.09999999999999999,0.05,54.64,8.0,0.0,70.0
,,,,,,,,,,170.0,2750.0,0.2,0.7,2750.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,175.0,2750.0,0.05,0.25,5500.0,0.0,0.0,0.0,0.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,11000.0,42.65,44.35,11000.0,180.0,2750.0,0.15,0.2,2750.0,0.0,0.2,44.96,11.0,0.0,179.0
0.0,0.0,0.0,0.0,0.0,0.0,11000.0,42.9,45.35,11000.0,180.0,2750.0,0.4,1.5,2750.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,27500.0,37.6,39.2,11000.0,185.0,11000.0,0.2,0.3,2750.0,0.1,0.25,41.62,4.0,0.0,62.0
,,,,,,,,,,187.5,11000.0,0.15,0.9,13750.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,27500.0,32.7,34.55,11000.0,190.0,2750.0,0.3,0.35,2750.0,0.15000000000000002,0.4,40.07,1.0,0.0,122.0
0.0,0.0,0.0,0.0,0.0,0.0,27500.0,32.55,37.45,11000.0,190.0,5500.0,0.1,3.55,11000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,11000.0,30.4,32.45,11000.0,192.5,82500.0,0.25,1.05,22000.0,0.0,0.0,0.0,0.0,0.0,26.0
4.0,0.0,0.0,0.0,0.0,0.0,2750.0,28.15,29.45,2750.0,195.0,8250.0,0.45,0.5,2750.0,0.04999999999999999,0.5,36.53,40.0,8.0,97.0
0.0,0.0,0.0,0.0,0.0,0.0,11000.0,28.75,32.5,11000.0,195.0,2750.0,1.0,3.55,11000.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,13750.0,25.6,26.95,2750.0,197.5,5500.0,0.6,0.65,5500.0,0.04999999999999993,0.6,35.96,7.0,1.0,37.0
272.0,1.0,8.0,28.91,24.05,-4.599999999999998,2750.0,23.95,24.15,2750.0,200.0,11000.0,0.75,0.8,2750.0,0.15000000000000002,0.8,34.95,97.0,-15.0,307.0
0.0,0.0,0.0,0.0,0.0,0.0,11000.0,24.85,26.95,11000.0,200.0,2750.0,2.35,2.85,5500.0,0.5999999999999996,2.8,36.07,19.0,7.0,27.0
,,,,,,,,,,200.0,38500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,11000.0,21.3,22.4,2750.0,202.5,5500.0,1.0,1.05,2750.0,0.25,1.05,34.58,24.0,5.0,69.0
65.0,0.0,12.0,33.08,19.7,-3.8500000000000014,2750.0,19.55,19.7,2750.0,205.0,13750.0,1.25,1.35,8250.0,0.3999999999999999,1.4,34.53,24.0,-1.0,223.0
0.0,0.0,0.0,0.0,0.0,0.0,27500.0,18.95,27.4,11000.0,205.0,24750.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,29.0,30.56,17.5,-2.3000000000000007,2750.0,17.5,17.65,5500.0,207.5,11000.0,1.65,1.75,5500.0,0.30000000000000004,1.8,34.22,3.0,0.0,68.0
298.0,-5.0,36.0,28.62,15.25,-4.300000000000001,2750.0,15.5,15.65,2750.0,210.0,8250.0,2.15,2.2,5500.0,0.6000000000000001,2.25,33.68,130.0,-19.0,319.0
0.0,0.0,0.0,0.0,0.0,0.0,11000.0,17.2,24.55,11000.0,210.0,2750.0,4.5,10.85,27500.0,0.7000000000000002,4.95,34.58,1.0,0.0,3.0
,,,,,,,,,,210.0,38500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,7.0,23.0,32.22,13.65,-4.049999999999999,5500.0,13.6,13.75,8250.0,212.5,11000.0,2.75,2.85,13750.0,0.6000000000000001,2.75,32.9,11.0,2.0,97.0
126.0,-9.0,54.0,31.98,11.95,-3.75,2750.0,11.85,11.95,2750.0,215.0,16500.0,3.45,3.55,8250.0,0.8500000000000001,3.5,32.95,118.0,-22.0,204.0
0.0,0.0,0.0,0.0,0.0,0.0,27500.0,11.95,18.45,2750.0,215.0,2750.0,3.8,10.7,11000.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,-12.0,46.0,32.12,10.5,-3.3499999999999996,5500.0,10.2,10.35,5500.0,217.5,2750.0,4.35,4.4,8250.0,1.0499999999999998,4.35,32.61,34.0,-9.0,88.0
558.0,-14.0,221.0,30.89,8.75,-3.4000000000000004,8250.0,8.7,8.85,2750.0,220.0,2750.0,5.35,5.45,16500.0,1.3000000000000007,5.4,33.32,292.0,-35.0,338.0
6.0,0.0,2.0,32.95,13.65,-3.5999999999999996,2750.0,12.6,13.6,2750.0,220.0,2750.0,8.55,10.2,2750.0,1.5999999999999996,9.2,36.21,12.0,5.0,25.0
,,,,,,,,,,220.0,38500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
