CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
3.0,0.0,0.0,0.0,0.0,0.0,15300.0,75.5,78.8,17000.0,330,17000.0,0.2,0.35,3400.0,0.0,0.0,0.0,0.0,0.0,26.0
2.0,0.0,0.0,0.0,0.0,0.0,8500.0,66.0,69.2,5100.0,340,1700.0,0.3,0.5,1700.0,-0.04999999999999999,0.3,37.26,2.0,0.0,67.0
,,,,,,,,,,345,34000.0,0.25,0.65,3400.0,0.0,0.0,0.0,0.0,0.0,18.0
19.0,0.0,0.0,0.0,0.0,0.0,6800.0,56.25,59.45,11900.0,350,8500.0,0.45,0.7,11900.0,0.0,0.0,0.0,0.0,0.0,482.0
0.0,0.0,0.0,0.0,0.0,0.0,23800.0,57.2,63.05,6800.0,350,18700.0,0.1,3.1,1700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1700.0,46.35,49.5,6800.0,360,1700.0,0.65,0.95,1700.0,0.0,0.0,0.0,0.0,0.0,84.0
0.0,0.0,0.0,0.0,0.0,0.0,23800.0,47.45,59.3,17000.0,360,15300.0,0.2,9.1,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1700.0,42.0,44.7,1700.0,365,6800.0,0.95,1.05,3400.0,-0.09999999999999987,1.05,31.73,14.0,6.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,42.45,54.4,6800.0,365,0.0,0.0,9.1,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,1700.0,37.25,39.85,1700.0,370,6800.0,1.3,1.4,5100.0,-0.1499999999999999,1.35,30.91,20.0,-7.0,253.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,37.5,49.6,6800.0,370,15300.0,0.2,9.45,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,13.0,28.0,28.5,34.0,-3.1000000000000014,1700.0,34.1,34.4,1700.0,375,1700.0,1.75,1.85,1700.0,-0.3500000000000001,1.65,29.05,9.0,2.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,32.45,44.5,6800.0,375,0.0,0.0,9.1,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
474.0,-1.0,24.0,27.64,29.55,-1.3999999999999986,1700.0,29.5,29.85,1700.0,380,18700.0,2.35,2.45,10200.0,-0.25,2.35,29.3,92.0,-14.0,361.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,28.85,37.75,6800.0,380,1700.0,1.0,7.6,3400.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,-5.0,16.0,30.88,26.4,1.25,3400.0,25.25,26.4,11900.0,385,10200.0,3.15,3.25,3400.0,-0.15000000000000036,3.3,28.81,38.0,14.0,141.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,23.8,37.55,6800.0,385,1700.0,1.0,12.5,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
156.0,0.0,37.0,30.13,22.5,-0.5500000000000007,1700.0,21.55,21.9,1700.0,390,10200.0,4.3,4.45,6800.0,-0.04999999999999982,4.3,28.55,166.0,13.0,265.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,24.9,32.05,17000.0,390,1700.0,7.05,11.5,1700.0,0.0,0.0,0.0,0.0,0.0,6.0
70.0,0.0,32.0,26.84,17.95,-0.15000000000000213,1700.0,18.25,18.5,1700.0,395,1700.0,5.8,5.85,1700.0,-0.05000000000000071,5.85,28.2,73.0,21.0,190.0
0.0,0.0,0.0,0.0,0.0,0.0,6800.0,19.55,28.1,3400.0,395,1700.0,6.7,12.75,1700.0,0.0,0.0,0.0,0.0,0.0,1.0
