CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1200,400.0,0.35,0.45,8800.0,0.10000000000000003,0.4,51.94,4.0,1.0,214.0
,,,,,,,,,,1280,2400.0,0.3,0.7,400.0,-0.20000000000000007,0.35,41.58,5.0,0.0,134.0
3.0,0.0,0.0,0.0,0.0,0.0,400.0,310.5,319.0,400.0,1320,2000.0,0.35,0.6,1600.0,0.10000000000000003,0.55,39.12,2.0,0.0,313.0
0.0,0.0,0.0,0.0,0.0,0.0,400.0,270.55,279.8,1600.0,1360,400.0,0.45,0.6,2400.0,0.0,0.55,34.38,29.0,-9.0,885.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,276.55,297.1,1600.0,1360,2000.0,1.3,10.55,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1360,2400.0,2.1,28.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1380,800.0,0.65,1.0,800.0,0.050000000000000044,0.8,33.78,32.0,-25.0,491.0
51.0,0.0,0.0,0.0,0.0,0.0,8800.0,231.8,240.7,2800.0,1400,400.0,1.25,1.3,1600.0,0.15000000000000013,1.3,33.84,216.0,25.0,1581.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,239.55,251.1,1600.0,1400,400.0,4.4,4.75,400.0,0.8499999999999996,4.85,30.09,35.0,14.0,258.0
2.0,0.0,0.0,0.0,0.0,0.0,800.0,212.35,221.65,800.0,1420,400.0,1.6,1.7,400.0,0.30000000000000004,1.7,32.78,57.0,1.0,548.0
108.0,-1.0,4.0,0.0,194.3,-5.699999999999989,800.0,194.8,199.0,400.0,1440,400.0,2.2,2.3,800.0,0.4500000000000002,2.35,32.06,146.0,14.0,1192.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,200.75,214.3,1600.0,1440,800.0,3.1,8.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1440,800.0,4.35,38.1,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,400.0,175.05,181.55,1600.0,1460,2400.0,3.05,3.15,400.0,0.4500000000000002,3.1,31.18,230.0,-22.0,1071.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,181.15,206.45,1600.0,1460,2400.0,3.3,19.25,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,400.0,156.7,161.6,400.0,1480,3600.0,4.35,4.45,2800.0,0.6500000000000004,4.4,30.89,293.0,54.0,806.0
7.0,1.0,2.0,18.16,175.0,-10.0,400.0,163.8,183.75,400.0,1480,800.0,5.2,19.25,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1480,800.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479.0,-12.0,20.0,17.91,142.3,-5.599999999999994,400.0,141.55,142.4,400.0,1500,800.0,6.1,6.2,5600.0,0.9000000000000004,6.2,30.47,1235.0,68.0,1977.0
0.0,0.0,0.0,0.0,0.0,0.0,2400.0,150.65,160.75,1600.0,1500,400.0,12.8,13.45,800.0,0.34999999999999964,12.85,25.37,39.0,34.0,36.0
50.0,-3.0,9.0,0.0,119.6,-9.099999999999994,800.0,121.9,124.35,800.0,1520,1600.0,8.35,8.5,1600.0,1.1999999999999993,8.45,29.79,638.0,250.0,909.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,132.55,145.5,1600.0,1520,400.0,16.55,16.85,800.0,1.25,16.5,26.67,43.0,5.0,159.0
,,,,,,,,,,1520,800.0,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,1.0,6.0,14.22,102.75,-13.5,400.0,105.35,108.0,400.0,1540,2000.0,11.35,11.5,2800.0,1.549999999999999,11.6,29.61,888.0,56.0,883.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,111.05,142.05,1600.0,1540,400.0,12.55,33.55,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
219.0,6.0,23.0,24.23,92.25,-2.6500000000000057,800.0,90.2,91.3,400.0,1560,800.0,15.5,15.65,4000.0,1.8499999999999996,15.7,29.38,1484.0,240.0,1308.0
4.0,0.0,0.0,0.0,0.0,0.0,400.0,109.3,115.05,800.0,1560,400.0,25.95,26.4,800.0,1.6000000000000014,26.3,26.7,8.0,4.0,52.0
434.0,14.0,149.0,23.36,75.9,-4.549999999999997,400.0,76.2,76.9,400.0,1580,1600.0,20.45,20.6,1200.0,1.9000000000000021,20.55,29.14,1785.0,413.0,1519.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,82.05,110.45,1600.0,1580,400.0,22.25,46.35,5600.0,0.0,0.0,0.0,0.0,0.0,0.0
2700.0,130.0,1557.0,23.79,62.85,-4.050000000000004,400.0,62.6,62.8,400.0,1600,2800.0,26.9,27.05,400.0,2.3000000000000007,26.95,28.76,2546.0,81.0,3319.0
137.0,-1.0,6.0,22.05,84.0,-3.9000000000000057,400.0,83.05,84.65,400.0,1600,800.0,38.65,39.3,400.0,1.8499999999999943,39.3,26.37,74.0,8.0,215.0
,,,,,,,,,,1600,800.0,47.35,53.9,400.0,4.0,43.0,23.77,1.0,0.0,13.0
2415.0,15.0,3621.0,23.72,50.5,-3.700000000000003,1200.0,50.5,50.8,2400.0,1620,400.0,34.35,34.55,1600.0,2.3999999999999986,34.4,28.71,2595.0,107.0,2183.0
5.0,0.0,0.0,0.0,0.0,0.0,400.0,71.0,72.7,400.0,1620,400.0,46.25,47.5,400.0,1.3500000000000014,46.2,26.03,11.0,6.0,9.0
5566.0,613.0,6498.0,23.79,39.85,-3.1999999999999957,1600.0,39.6,39.8,1200.0,1640,800.0,43.7,43.95,800.0,2.950000000000003,43.7,28.68,2008.0,298.0,1877.0
