CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
10,0,0,0.0,0.0,0.0,6450,36.1,37.45,9675,140,3225.0,0.1,0.15,6450.0,0.0,0.0,0.0,0.0,0.0,60.0
0,0,0,0.0,0.0,0.0,12900,36.55,39.65,12900,140,3225.0,0.05,2.3,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3,7,0.0,27.2,-0.10000000000000142,3225,27.05,27.35,3225,150,29025.0,0.35,0.45,3225.0,-0.050000000000000044,0.35,42.17,10.0,-1.0,429.0
0,0,0,0.0,0.0,0.0,12900,27.45,29.35,12900,150,3225.0,0.8,1.85,3225.0,-0.7000000000000002,1.65,42.62,2.0,0.0,10.0
8,-9,18,0.0,22.25,1.0500000000000007,6450,22.35,22.6,6450,155,6450.0,0.5,0.55,3225.0,-0.09999999999999998,0.6,40.13,10.0,-2.0,55.0
70,-3,7,0.0,17.85,0.9000000000000021,6450,17.75,17.95,3225,160,16125.0,0.85,0.95,12900.0,-0.15000000000000002,0.9,36.81,18.0,4.0,330.0
0,0,0,0.0,0.0,0.0,12900,18.85,20.95,12900,160,3225.0,2.1,3.5,3225.0,0.0,0.0,0.0,0.0,0.0,9.0
44,0,0,0.0,0.0,0.0,3225,13.3,13.8,3225,165,16125.0,1.5,1.6,9675.0,-0.1499999999999999,1.6,35.52,12.0,-1.0,152.0
0,0,0,0.0,0.0,0.0,12900,13.45,20.45,12900,165,12900.0,1.65,7.8,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
180,-25,45,23.87,9.1,-0.8000000000000007,3225,9.65,9.85,6450,170,12900.0,2.7,2.8,3225.0,0.10000000000000009,3.1,36.91,13.0,3.0,448.0
0,0,1,29.86,13.0,-24.700000000000003,16125,12.15,14.8,3225,170,3225.0,5.7,7.05,3225.0,-0.25,6.0,38.95,3.0,1.0,4.0
650,19,94,30.28,6.7,-0.25,6450,6.55,6.7,22575,175,12900.0,4.5,4.7,12900.0,-0.25,4.65,34.46,172.0,-30.0,563.0
0,0,0,0.0,0.0,0.0,12900,7.0,12.15,3225,175,12900.0,5.05,10.55,3225.0,0.0,0.0,0.0,0.0,0.0,0.0
1175,-14,310,30.39,4.2,-0.34999999999999964,16125,4.2,4.3,12900,180,6450.0,7.15,7.3,6450.0,-0.25,7.3,36.09,22.0,-2.0,309.0
2,0,2,34.12,8.55,0.45000000000000107,3225,7.75,8.6,3225,180,3225.0,9.9,11.55,3225.0,-6.449999999999999,11.5,42.55,9.0,7.0,7.0
0,0,0,0.0,0.0,0.0,6450,2.0,0.0,0,180,,,,,,,,,,
362,0,79,31.36,2.7,-0.1499999999999999,6450,2.6,2.7,25800,185,9675.0,10.45,10.65,3225.0,0.1999999999999993,10.95,38.68,3.0,0.0,132.0
23,0,0,0.0,0.0,0.0,3225,3.0,7.3,3225,185,16125.0,9.35,15.55,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
403,12,78,32.34,1.55,-0.25,6450,1.55,1.6,9675,190,3225.0,14.4,14.6,6450.0,-1.3999999999999986,14.55,44.49,5.0,-2.0,107.0
0,0,0,0.0,0.0,0.0,3225,3.05,5.65,3225,190,16125.0,14.1,18.75,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,3225,5.2,0.0,0,190,,,,,,,,,,
336,0,30,32.37,0.9,-0.20000000000000007,16125,0.9,1.0,16125,195,3225.0,18.7,18.95,3225.0,0.09999999999999787,19.2,43.84,3.0,1.0,86.0
0,0,0,0.0,0.0,0.0,12900,1.95,5.4,3225,195,32250.0,19.0,23.65,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
667,17,73,35.17,0.65,-0.04999999999999993,32250,0.55,0.65,29025,200,6450.0,23.3,23.55,6450.0,0.1999999999999993,24.45,53.09,8.0,5.0,146.0
20,0,0,0.0,0.0,0.0,3225,2.2,3.45,3225,200,12900.0,23.9,28.95,16125.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,6450,3.2,7.45,3225,200,,,,,,,,,,
55,0,9,37.24,0.45,-0.04999999999999999,9675,0.35,0.45,9675,205,3225.0,28.1,28.4,3225.0,-1.0999999999999979,28.35,49.53,7.0,-6.0,8.0
102,-2,3,37.5,0.25,-0.04999999999999999,54825,0.25,0.3,9675,210,3225.0,32.55,33.75,12900.0,0.0,0.0,0.0,0.0,0.0,18.0
0,0,0,0.0,0.0,0.0,3225,0.15,2.8,3225,210,12900.0,32.0,36.05,12900.0,0.0,0.0,0.0,0.0,0.0,0.0
112,-1,2,39.77,0.1,-0.04999999999999999,38700,0.1,0.15,3225,220,,,,,,,,,,
