CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
4,1,5,0.0,6.75,-0.5499999999999998,11675,6.7,6.8,23350,42,315225,0.05,0.1,70050,0.0,0.1,38.5,18,-6,77
0,0,0,0.0,0.0,0.0,46700,6.85,8.1,46700,42,58375,0.15,1.1,46700,0.0,0.0,0.0,0,0,0
5,3,8,24.38,4.85,-0.7000000000000002,23350,4.8,4.9,11675,44,70050,0.15,0.2,35025,0.0,0.15,31.7,6,2,49
0,0,0,0.0,0.0,0.0,46700,5.15,5.9,46700,44,11675,0.4,0.85,11675,0.0,0.0,0.0,0,0,1
4,0,0,0.0,0.0,0.0,11675,3.85,4.1,11675,45,23350,0.3,0.35,46700,0.09999999999999998,0.35,34.47,17,-6,44
0,0,0,0.0,0.0,0.0,163450,3.85,5.4,46700,45,46700,0.2,1.4,46700,0.0,0.0,0.0,0,0,0
8,0,0,0.0,0.0,0.0,11675,3.0,3.25,11675,46,116750,0.45,0.5,46700,0.10000000000000003,0.45,31.24,12,7,58
0,0,0,0.0,0.0,0.0,46700,3.65,4.3,163450,46,11675,0.95,1.25,11675,0.0,0.0,0.0,0,0,5
6,2,7,27.64,2.4,-0.8500000000000001,35025,2.4,2.45,11675,47,46700,0.7,0.8,46700,0.25,0.75,31.89,13,4,34
0,0,0,0.0,0.0,0.0,46700,2.45,4.5,46700,47,46700,0.75,2.8,46700,0.0,0.0,0.0,0,0,0
55,6,19,28.55,1.8,-0.7499999999999998,46700,1.75,1.85,46700,48,23350,1.1,1.15,58375,0.3999999999999999,1.15,32.44,29,5,215
0,0,0,0.0,0.0,0.0,46700,1.7,3.45,11675,48,46700,0.6,3.05,46700,0.0,0.0,0.0,0,0,0
189,52,152,29.01,1.3,-0.44999999999999996,93400,1.25,1.35,81725,49,70050,1.55,1.65,46700,0.3500000000000001,1.5,29.73,40,10,180
0,0,0,0.0,0.0,0.0,46700,1.75,2.9,11675,49,46700,1.65,3.2,46700,0.0,0.0,0.0,0,0,0
564,102,425,29.2,0.95,-0.40000000000000013,175125,0.9,0.95,116750,50,35025,2.2,2.25,46700,0.6000000000000001,2.25,33.35,58,-8,297
15,2,3,32.82,2.0,-0.20000000000000018,11675,1.95,2.05,11675,50,46700,2.85,3.3,11675,0.0,0.0,0.0,0,0,1
291,-7,46,29.34,0.6,-0.30000000000000004,58375,0.6,0.65,35025,51,23350,2.9,3.0,23350,0.6499999999999999,3.0,35.25,2,-1,36
0,0,0,0.0,0.0,0.0,11675,1.45,2.1,11675,51,58375,2.95,4.35,46700,0.0,0.0,0.0,0,0,0
445,16,89,29.9,0.4,-0.25,58375,0.4,0.45,81725,52,11675,3.6,3.8,46700,0.0,0.0,0.0,0,0,48
2,0,1,30.76,1.15,-0.25,35025,1.15,1.4,11675,52,46700,4.05,4.6,46700,0.0,0.0,0.0,0,0,0
104,-3,27,31.82,0.3,-0.15000000000000002,186800,0.25,0.35,116750,53,11675,4.5,4.75,11675,0.0,0.0,0.0,0,0,14
0,0,0,0.0,0.0,0.0,11675,0.45,1.6,46700,53,46700,4.4,5.85,46700,0.0,0.0,0.0,0,0,0
93,10,15,34.55,0.25,-0.04999999999999999,93400,0.2,0.25,23350,54,11675,5.4,5.65,11675,0.0,0.0,0.0,0,0,10
0,0,0,0.0,0.0,0.0,35025,0.6,1.5,11675,54,58375,5.25,6.7,46700,0.0,0.0,0.0,0,0,0
371,2,82,34.04,0.15,-0.1,2451750,0.15,0.2,443650,55,23350,6.4,6.5,23350,1.1000000000000005,6.45,41.73,10,6,26
0,0,0,0.0,0.0,0.0,11675,0.5,0.9,11675,55,46700,6.35,7.15,163450,0.0,0.0,0.0,0,0,0
91,18,32,34.62,0.1,-0.1,350250,0.1,0.15,618775,56,11675,7.3,7.65,11675,0.0,0.0,0.0,0,0,16
0,0,0,0.0,0.0,0.0,81725,0.25,0.7,35025,56,46700,7.05,7.85,46700,0.0,0.0,0.0,0,0,0
57,5,8,41.4,0.1,0.0,630450,0.05,0.1,303550,58,163450,9.2,9.6,105075,0.0,0.0,0.0,0,0,0
13,0,0,0.0,0.0,0.0,350250,0.2,0.4,23350,58,46700,9.1,9.55,46700,0.0,0.0,0.0,0,0,0
115,1,12,42.35,0.05,0.0,0,0.0,0.05,198475,60,46700,11.15,11.55,105075,0.0,0.0,0.0,0,0,6
