CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
8.0,3.0,5.0,0.0,26.25,-5.399999999999999,3450.0,26.5,26.8,3450.0,140.0,3450.0,0.45,0.5,6900.0,0.04999999999999999,0.5,47.22,29.0,11.0,172.0
,,,,,,,,,,142.5,3450.0,0.3,1.4,3450.0,0.0,0.0,0.0,0.0,0.0,6.0
,,,,,,,,,,145.0,17250.0,0.7,0.8,10350.0,0.04999999999999993,0.7,43.05,30.0,11.0,89.0
,,,,,,,,,,147.5,3450.0,0.3,1.95,3450.0,0.0,0.0,0.0,0.0,0.0,3.0
50.0,6.0,21.0,31.16,17.2,-1.0500000000000007,3450.0,17.4,17.65,6900.0,150.0,48300.0,1.25,1.35,34500.0,0.10000000000000009,1.3,42.35,256.0,97.0,476.0
0.0,0.0,0.0,0.0,0.0,0.0,13800.0,18.55,19.95,13800.0,150.0,3450.0,2.55,3.0,3450.0,-0.1499999999999999,2.7,38.65,3.0,2.0,12.0
,,,,,,,,,,152.5,13800.0,1.65,1.75,17250.0,0.10000000000000009,1.75,42.23,3.0,0.0,10.0
22.0,0.0,9.0,25.25,12.35,-0.7000000000000011,3450.0,13.35,13.6,3450.0,155.0,27600.0,2.1,2.2,3450.0,0.20000000000000018,2.2,41.21,73.0,23.0,267.0
0.0,0.0,0.0,0.0,0.0,0.0,13800.0,14.6,19.0,17250.0,155.0,3450.0,3.45,5.35,3450.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,157.5,10350.0,2.75,2.9,17250.0,0.1499999999999999,2.85,40.96,43.0,35.0,79.0
170.0,3.0,43.0,36.61,9.85,-0.5999999999999996,13800.0,9.75,9.95,3450.0,160.0,34500.0,3.55,3.65,44850.0,0.25,3.6,40.16,412.0,-17.0,644.0
0.0,0.0,1.0,29.86,11.85,-19.0,3450.0,12.15,13.3,13800.0,160.0,3450.0,5.65,6.45,3450.0,0.8999999999999995,6.55,42.14,4.0,3.0,20.0
25.0,12.0,45.0,34.76,8.0,0.0,17250.0,8.2,8.4,10350.0,162.5,20700.0,4.45,4.55,3450.0,0.39999999999999947,4.6,40.79,86.0,6.0,100.0
692.0,24.0,543.0,37.06,6.9,-0.5499999999999998,3450.0,6.9,6.95,6900.0,165.0,20700.0,5.6,5.7,17250.0,0.25,5.6,40.75,316.0,-3.0,391.0
15.0,1.0,2.0,30.94,9.15,-2.8499999999999996,13800.0,8.7,10.1,3450.0,165.0,3450.0,7.15,9.0,3450.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,62.0,301.0,36.98,5.75,-0.5,13800.0,5.7,5.8,10350.0,167.5,17250.0,6.85,7.0,13800.0,0.35000000000000053,6.9,41.33,50.0,23.0,125.0
1578.0,77.0,1427.0,37.45,4.7,-0.4500000000000002,3450.0,4.7,4.75,41400.0,170.0,10350.0,8.3,8.45,3450.0,0.4999999999999991,8.45,41.62,122.0,-5.0,364.0
32.0,29.0,53.0,31.02,6.75,-1.3000000000000007,3450.0,6.9,7.4,3450.0,170.0,3450.0,10.1,11.1,6900.0,0.75,10.75,41.48,7.0,3.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,3450.0,0.05,0.0,0.0,170.0,,,,,,,,,,
272.0,19.0,138.0,37.92,3.85,-0.10000000000000009,20700.0,3.75,3.85,6900.0,172.5,3450.0,9.9,10.1,6900.0,1.0,10.75,46.14,16.0,5.0,59.0
1095.0,16.0,532.0,38.14,3.1,-0.2999999999999998,34500.0,3.0,3.1,13800.0,175.0,3450.0,11.65,11.8,3450.0,0.25,11.7,44.21,22.0,-1.0,236.0
12.0,6.0,10.0,33.03,5.3,-0.7000000000000002,3450.0,5.35,5.8,3450.0,175.0,6900.0,13.25,14.6,6900.0,0.0,0.0,0.0,0.0,0.0,1.0
99.0,2.0,12.0,35.93,2.15,-0.5500000000000003,17250.0,2.4,2.5,10350.0,177.5,3450.0,13.4,13.75,3450.0,2.0500000000000007,14.75,50.29,3.0,1.0,11.0
1091.0,53.0,587.0,38.93,2.0,-0.20000000000000018,37950.0,1.95,2.05,44850.0,180.0,3450.0,15.5,15.7,6900.0,0.8500000000000014,16.05,46.51,13.0,4.0,304.0
9.0,3.0,10.0,34.02,4.0,-0.7000000000000002,3450.0,3.55,4.55,3450.0,180.0,13800.0,16.45,18.4,13800.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,3450.0,0.05,0.0,0.0,180.0,,,,,,,,,,
112.0,-3.0,16.0,38.46,1.5,-0.10000000000000009,6900.0,1.55,1.65,17250.0,182.5,3450.0,17.25,18.15,3450.0,0.0,0.0,0.0,0.0,0.0,10.0
