CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,68.45,71.55,6400.0,350,78400.0,0.05,0.1,1600.0,0.0,0.1,32.59,4.0,1.0,78.0
0.0,0.0,0.0,0.0,0.0,0.0,16000.0,70.45,74.05,6400.0,350,1600.0,0.15,1.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,6400.0,58.85,61.75,8000.0,360,172800.0,0.05,0.1,1600.0,0.0,0.1,28.21,9.0,-1.0,215.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,61.1,64.4,6400.0,360,16000.0,0.6,0.65,8000.0,-0.09999999999999998,0.6,25.76,31.0,-9.0,349.0
,,,,,,,,,,360,1600.0,0.7,4.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,49.05,51.7,8000.0,370,153600.0,0.1,0.15,14400.0,0.0,0.15,25.28,2.0,1.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,51.45,54.4,6400.0,370,4800.0,0.5,1.15,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,370,16000.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,43.85,46.65,6400.0,375,12800.0,0.1,0.15,1600.0,-0.05000000000000002,0.15,21.75,31.0,-4.0,137.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,45.6,51.7,6400.0,375,32000.0,0.15,2.8,6400.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,11200.0,38.85,41.95,6400.0,380,294400.0,0.15,0.2,115200.0,-0.1,0.15,20.8,41.0,-3.0,1145.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,41.85,45.1,6400.0,380,3200.0,1.1,1.15,3200.0,-0.19999999999999996,1.1,21.39,15.0,-3.0,369.0
,,,,,,,,,,380,1600.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,1.0,0.0,36.2,2.700000000000003,1600.0,35.15,36.15,1600.0,385,22400.0,0.2,0.3,32000.0,-0.09999999999999998,0.25,20.2,57.0,8.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,35.75,41.4,6400.0,385,32000.0,0.2,2.9,11200.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,-1.0,17.0,0.0,30.25,1.25,1600.0,30.5,31.0,1600.0,390,326400.0,0.3,0.35,59200.0,-0.15000000000000002,0.35,18.97,217.0,18.0,884.0
0.0,0.0,0.0,0.0,0.0,0.0,8000.0,31.85,35.0,6400.0,390,1600.0,1.3,1.6,3200.0,-0.30000000000000004,1.5,19.04,68.0,57.0,331.0
,,,,,,,,,,390,3200.0,1.55,4.95,6400.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,5.0,17.0,0.0,25.8,1.8000000000000007,1600.0,25.75,26.05,1600.0,395,8000.0,0.45,0.5,16000.0,-0.15000000000000002,0.5,17.76,84.0,-23.0,400.0
0.0,0.0,0.0,0.0,0.0,0.0,6400.0,27.95,31.1,6400.0,395,6400.0,1.95,2.1,4800.0,-0.3500000000000001,2.0,18.54,3.0,2.0,28.0
872.0,-3.0,175.0,0.0,21.1,1.4000000000000021,4800.0,21.1,21.3,3200.0,400,44800.0,0.7,0.75,292800.0,-0.30000000000000004,0.7,16.38,1026.0,-47.0,1842.0
129.0,-3.0,23.0,13.04,25.85,0.9500000000000028,1600.0,24.75,25.7,1600.0,400,4800.0,2.55,2.65,4800.0,-0.5,2.55,17.79,108.0,-62.0,582.0
,,,,,,,,,,400,1600.0,3.7,4.0,3200.0,-0.14999999999999947,3.95,17.83,5.0,2.0,131.0
167.0,13.0,93.0,0.0,16.55,1.3000000000000007,3200.0,16.55,16.7,4800.0,405,104000.0,1.1,1.15,89600.0,-0.4500000000000002,1.15,15.65,1100.0,-3.0,850.0
