CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,2500.0,165.4,172.25,2500.0,780,3750,0.4,1.4,625,0.0,0.0,0.0,0,0,56
1.0,0.0,0.0,0.0,0.0,0.0,1875.0,145.65,152.3,2500.0,800,625,1.05,1.1,625,0.15000000000000002,1.05,38.05,22,3,267
1.0,0.0,0.0,0.0,0.0,0.0,5000.0,137.95,160.25,1250.0,800,625,2.4,4.5,625,0.0,0.0,0.0,0,0,13
,,,,,,,,,,810,625,1.2,1.95,625,0.6000000000000001,1.75,39.72,2,0,32
0.0,0.0,0.0,0.0,0.0,0.0,625.0,126.5,133.15,625.0,820,1875,1.7,1.8,1250,0.0,1.75,37.25,12,3,61
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,128.8,154.45,3125.0,820,625,1.7,17.35,2500,0.0,0.0,0.0,0,0,0
,,,,,,,,,,830,1250,2.2,2.3,1250,-0.10000000000000009,1.75,34.77,8,0,83
0.0,0.0,0.0,0.0,0.0,0.0,625.0,108.0,114.25,625.0,840,1250,2.85,2.95,1875,0.3500000000000001,2.85,36.12,216,39,126
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,108.35,133.7,3125.0,840,7500,0.3,15.85,2500,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,625.0,98.05,105.2,2500.0,850,2500,3.6,3.65,625,0.5499999999999998,3.65,35.8,162,15,238
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,97.65,122.6,2500.0,850,10625,0.3,14.0,625,0.0,0.0,0.0,0,0,0
