CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,840,675.0,0.25,0.35,2025.0,-2.65,0.35,39.27,73.0,64.0,65.0
,,,,,,,,,,870,4725.0,0.15,0.7,675.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,159.4,167.0,2025.0,880,8100.0,0.35,0.5,4050.0,0.14999999999999997,0.35,31.86,11.0,0.0,181.0
0.0,0.0,0.0,0.0,0.0,0.0,3375.0,126.25,225.35,675.0,880,675.0,0.8,7.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,880,27000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,890,675.0,0.45,0.6,1350.0,0.25000000000000006,0.55,32.06,13.0,-1.0,813.0
14.0,0.0,0.0,0.0,0.0,0.0,2025.0,139.9,146.65,675.0,900,2700.0,0.7,0.75,2025.0,0.09999999999999998,0.75,31.67,265.0,19.0,510.0
0.0,0.0,0.0,0.0,0.0,0.0,3375.0,109.55,205.95,3375.0,900,675.0,2.7,6.0,675.0,-17.349999999999998,2.3,26.97,2.0,1.0,1.0
,,,,,,,,,,910,675.0,0.7,1.4,675.0,0.0,0.0,0.0,0.0,0.0,37.0
1.0,0.0,0.0,0.0,0.0,0.0,2025.0,119.8,128.05,2025.0,920,1350.0,1.05,1.15,1350.0,0.2499999999999999,1.15,29.91,36.0,-6.0,334.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,124.1,155.65,675.0,920,10800.0,0.15,20.1,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,920,27000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,22.43,116.0,8.799999999999997,2025.0,110.85,118.35,2025.0,930,675.0,1.4,2.05,675.0,0.050000000000000044,1.55,29.53,4.0,-1.0,168.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,115.35,145.35,675.0,930,10125.0,0.2,19.7,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,101.75,108.3,2025.0,940,4050.0,2.05,2.15,4050.0,0.3500000000000001,2.1,29.23,601.0,136.0,585.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,104.8,137.0,675.0,940,10125.0,0.2,19.7,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,940,27000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,-5.0,12.0,0.0,90.25,-5.75,675.0,95.45,96.45,675.0,950,3375.0,2.7,2.8,4725.0,0.25,2.7,29.03,457.0,-93.0,697.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,95.7,125.95,675.0,950,2700.0,1.0,20.05,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,675.0,83.5,89.75,2025.0,960,6075.0,3.55,3.6,675.0,0.5,3.6,28.58,143.0,-9.0,240.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,86.8,115.35,675.0,960,4050.0,2.0,19.7,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,675.0,76.35,82.1,3375.0,970,2025.0,4.65,4.75,1350.0,0.35000000000000053,4.7,28.1,132.0,6.0,292.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,77.1,105.45,675.0,970,4050.0,2.5,19.7,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,1350.0,67.85,71.05,1350.0,980,1350.0,6.15,6.3,675.0,0.5499999999999998,6.35,28.09,215.0,25.0,268.0
0.0,0.0,0.0,0.0,0.0,0.0,3375.0,73.0,94.9,675.0,980,675.0,10.1,18.65,675.0,5.299999999999999,14.1,27.5,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,675.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,2.0,23.99,61.6,-0.8500000000000014,675.0,61.15,61.9,675.0,990,1350.0,8.05,8.15,675.0,0.9000000000000004,8.15,27.97,179.0,11.0,234.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,59.1,82.7,675.0,990,675.0,4.55,16.0,1350.0,0.0,0.0,0.0,0.0,0.0,3.0
275.0,2.0,79.0,24.53,54.15,-4.050000000000004,675.0,53.5,54.0,1350.0,1000,675.0,10.3,10.5,1350.0,0.8499999999999996,10.45,28.08,874.0,6.0,1110.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,63.0,79.8,675.0,1000,675.0,17.5,18.5,675.0,-0.75,17.85,26.05,20.0,10.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,1350.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,-11.0,27.0,23.45,45.85,-5.149999999999999,675.0,46.45,47.05,675.0,1010,675.0,13.1,13.35,675.0,1.3999999999999986,13.7,28.15,156.0,-3.0,210.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,44.6,89.85,675.0,1010,0.0,0.0,46.85,2700.0,0.0,0.0,0.0,0.0,0.0,3.0
1024.0,-11.0,152.0,25.27,40.65,-2.5500000000000043,675.0,39.9,40.4,675.0,1020,1350.0,16.5,16.75,675.0,1.2499999999999982,16.65,27.61,433.0,-54.0,699.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,42.15,84.6,675.0,1020,0.0,0.0,46.85,2700.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,,,,,,,,,,
479.0,-6.0,425.0,25.47,33.8,-3.5500000000000043,1350.0,33.9,34.25,2700.0,1030,675.0,20.45,20.7,675.0,1.3000000000000007,20.55,27.8,523.0,-68.0,387.0
0.0,0.0,1.0,32.3,62.0,0.0,2700.0,35.6,55.8,675.0,1030,0.0,0.0,45.5,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
697.0,42.0,1171.0,24.86,28.55,-3.1499999999999986,1350.0,28.55,28.8,2025.0,1040,675.0,25.0,25.2,675.0,1.6000000000000014,25.0,27.83,1414.0,119.0,625.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,40.0,48.1,675.0,1040,2700.0,21.45,41.9,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,43.5,0.0,0.0,1040,,,,,,,,,,
932.0,50.0,1625.0,25.24,23.9,-2.75,2025.0,23.8,24.0,675.0,1050,675.0,30.15,30.45,1350.0,1.5500000000000007,30.1,28.05,474.0,15.0,373.0
0.0,0.0,1.0,20.73,34.0,-18.4,675.0,37.1,42.95,675.0,1050,2700.0,28.9,48.2,675.0,0.0,0.0,0.0,0.0,0.0,0.0
1199.0,51.0,1330.0,25.57,19.85,-2.4499999999999993,1350.0,19.7,19.9,675.0,1060,675.0,35.9,36.25,675.0,2.8500000000000014,36.7,28.72,148.0,-15.0,230.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.85,2700.0,1060,0.0,0.0,69.9,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
521.0,4.0,578.0,25.42,16.1,-2.299999999999997,2700.0,16.0,16.25,1350.0,1070,675.0,42.25,42.6,675.0,2.75,42.85,28.79,477.0,154.0,256.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05,6750.0,1070,0.0,0.0,77.25,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
799.0,-47.0,1110.0,25.74,13.05,-2.049999999999999,2025.0,13.0,13.2,1350.0,1080,675.0,49.0,49.55,675.0,4.100000000000001,49.7,29.08,38.0,5.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,15.4,28.0,1350.0,1080,6750.0,38.2,77.2,3375.0,0.0,0.0,0.0,0.0,0.0,0.0
313.0,30.0,360.0,25.82,10.45,-1.5500000000000007,675.0,10.35,10.55,2025.0,1090,675.0,56.1,56.9,675.0,3.450000000000003,57.85,30.35,22.0,0.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,2700.0,14.1,24.35,675.0,1090,3375.0,48.2,77.2,3375.0,0.0,0.0,0.0,0.0,0.0,0.0
1641.0,96.0,1387.0,25.96,8.25,-1.4000000000000004,2700.0,8.25,8.4,1350.0,1100,675.0,64.0,64.7,675.0,3.6499999999999986,64.3,29.24,41.0,6.0,80.0
58.0,-1.0,3.0,23.74,19.0,-2.1999999999999993,675.0,19.0,19.7,675.0,1100,675.0,67.75,73.55,4050.0,-12.700000000000003,71.0,28.71,1.0,0.0,1.0
125.0,-12.0,80.0,26.13,6.65,-0.9499999999999993,2700.0,6.4,6.6,2025.0,1110,2025.0,68.95,76.2,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,15.0,27.35,2700.0,1110,3375.0,64.95,90.8,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
379.0,12.0,266.0,26.17,5.0,-1.0,1350.0,4.95,5.05,4050.0,1120,3375.0,78.4,84.25,3375.0,0.0,0.0,0.0,0.0,0.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,12.65,27.45,675.0,1120,3375.0,65.55,101.45,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,9.0,85.0,26.32,3.8,-0.7999999999999998,3375.0,3.75,3.9,3375.0,1130,675.0,89.4,90.05,675.0,0.8999999999999915,90.05,31.34,20.0,7.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,2700.0,1130,3375.0,72.2,112.1,6750.0,0.0,0.0,0.0,0.0,0.0,0.0
362.0,2.0,118.0,26.16,2.85,-0.6999999999999997,1350.0,2.85,2.95,4050.0,1140,675.0,97.5,101.9,675.0,0.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.45,27.8,2700.0,1140,3375.0,82.75,121.7,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,5.0,47.0,26.31,2.15,-0.25,675.0,2.15,2.25,4050.0,1150,2025.0,105.1,111.4,675.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.2,26.7,2700.0,1150,3375.0,91.5,129.3,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
535.0,33.0,116.0,26.28,1.65,-0.3500000000000001,1350.0,1.6,1.7,5400.0,1160,2025.0,113.65,120.6,2700.0,0.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.4,26.7,2700.0,1160,3375.0,104.1,139.6,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
2145.0,-6.0,162.0,26.45,0.85,-0.20000000000000007,675.0,0.8,0.9,2700.0,1180,2025.0,132.65,140.25,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.4,27.8,2700.0,1180,3375.0,124.0,160.5,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
233.0,-2.0,47.0,27.57,0.6,-0.050000000000000044,1350.0,0.55,0.6,2025.0,1200,2025.0,152.5,159.75,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.4,25.95,675.0,1200,3375.0,143.55,178.85,2700.0,0.0,0.0,0.0,0.0,0.0,0.0
