CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,560,1250.0,0.15,0.6,5000.0,0.0,0.0,0.0,0.0,0.0,29.0
,,,,,,,,,,560,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,102.0,107.75,5000.0,580,6250.0,0.2,1.2,13750.0,0.0,0.0,0.0,0.0,0.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,105.3,121.65,5000.0,580,27500.0,0.1,10.05,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,8750.0,82.9,87.75,5000.0,600,3750.0,0.8,0.9,1250.0,-0.09999999999999998,0.85,32.2,10.0,0.0,246.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,86.35,101.85,5000.0,600,1250.0,1.0,10.05,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,600,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3750.0,73.85,77.85,1250.0,610,3750.0,1.25,1.35,3750.0,-0.09999999999999987,1.3,31.63,40.0,4.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,75.65,92.85,1250.0,610,25000.0,0.15,10.05,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,1250.0,65.3,68.8,1250.0,620,5000.0,1.85,2.0,3750.0,0.0,2.0,31.26,57.0,1.0,171.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,71.05,79.6,6250.0,620,3750.0,5.5,7.6,1250.0,1.5999999999999996,7.6,32.86,4.0,2.0,7.0
,,,,,,,,,,620,37500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,3750.0,55.45,59.55,1250.0,630,6250.0,2.8,3.0,6250.0,-0.050000000000000266,2.9,30.59,118.0,-3.0,142.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,60.85,72.05,6250.0,630,1250.0,5.5,9.95,1250.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,1250.0,47.95,50.8,1250.0,640,1250.0,4.25,4.35,3750.0,0.09999999999999964,4.3,30.58,126.0,1.0,317.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,46.2,70.8,6250.0,640,2500.0,1.05,18.6,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,-2.0,4.0,22.42,40.75,-3.6499999999999986,1250.0,40.9,41.65,1250.0,650,2500.0,6.1,6.3,2500.0,0.25,6.2,29.88,47.0,12.0,310.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,45.3,57.25,5000.0,650,3750.0,10.0,15.95,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,4.0,7.0,24.54,33.8,-4.25,1250.0,33.55,34.25,1250.0,660,3750.0,8.65,8.9,3750.0,0.4499999999999993,8.75,30.13,82.0,10.0,192.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,29.7,64.05,5000.0,660,5000.0,4.05,37.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,2.0,25.87,27.6,-2.9499999999999993,1250.0,26.45,28.0,1250.0,670,1250.0,11.9,12.25,2500.0,0.6500000000000004,12.15,30.56,59.0,1.0,263.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,25.4,57.75,1250.0,670,0.0,0.0,37.7,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,44.0,179.0,25.07,21.75,-3.0,2500.0,21.35,21.65,1250.0,680,1250.0,16.1,16.45,1250.0,0.9000000000000004,16.5,30.47,135.0,4.0,527.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.45,1250.0,680,0.0,0.0,37.35,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
312.0,33.0,304.0,26.03,16.55,-2.849999999999998,1250.0,16.5,16.75,1250.0,690,1250.0,21.2,21.55,2500.0,1.5,21.6,30.8,122.0,11.0,325.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,19.25,31.15,1250.0,690,5000.0,16.25,34.6,1250.0,0.0,0.0,0.0,0.0,0.0,4.0
824.0,23.0,346.0,26.32,12.6,-2.5,2500.0,12.6,12.75,3750.0,700,1250.0,27.1,27.5,2500.0,2.0,27.55,31.28,56.0,5.0,344.0
0.0,-1.0,2.0,24.75,22.0,-0.6999999999999993,1250.0,21.2,25.75,1250.0,700,1250.0,32.35,37.45,1250.0,0.0,0.0,0.0,0.0,0.0,7.0
513.0,-28.0,223.0,26.24,9.5,-2.0500000000000007,2500.0,9.35,9.5,2500.0,710,1250.0,33.65,34.5,2500.0,2.650000000000002,34.35,32.01,9.0,-4.0,143.0
5.0,0.0,2.0,28.08,21.25,4.25,1250.0,18.0,22.4,1250.0,710,6250.0,33.45,51.1,6250.0,0.0,0.0,0.0,0.0,0.0,0.0
951.0,25.0,465.0,26.97,6.9,-1.75,3750.0,6.85,7.0,6250.0,720,1250.0,41.1,42.25,3750.0,2.6499999999999986,41.9,33.02,5.0,0.0,97.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1250.0,720,5000.0,31.35,65.15,6250.0,0.0,0.0,0.0,0.0,0.0,0.0
379.0,-1.0,163.0,27.71,5.1,-1.4000000000000004,5000.0,4.95,5.1,2500.0,730,8750.0,48.15,51.45,1250.0,0.0,0.0,0.0,0.0,0.0,50.0
