CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
2,0,1,28.6,612.0,-73.0,175,613.5,635.65,175,3100,175.0,6.05,8.35,175.0,2.75,8.5,45.7,26.0,8.0,48.0
1,0,0,0.0,0.0,0.0,175,506.35,559.05,175,3200,,,,,,,,,,
0,0,0,0.0,0.0,0.0,175,411.65,457.4,175,3300,175.0,9.5,27.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,875,409.4,764.55,700,3300,,,,,,,,,,
0,0,0,0.0,0.0,0.0,525,331.45,360.25,175,3400,175.0,29.4,30.8,350.0,-559.1,29.65,39.64,139.0,42.0,42.0
0,0,0,0.0,0.0,0.0,875,310.5,665.6,700,3400,,,,,,,,,,
0,0,0,0.0,0.0,0.0,175,272.3,335.25,525,3450,175.0,17.75,57.3,175.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,0,0.0,616.15,700,3450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0.0,0.0,0.0,875,254.6,276.15,1050,3500,175.0,48.8,49.65,175.0,12.5,49.35,38.42,529.0,0.0,310.0
0,0,0,0.0,0.0,0.0,0,0.0,566.7,700,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0,175,202.85,265.5,175,3550,175.0,48.45,81.55,175.0,-201.5,63.95,36.75,1.0,0.0,0.0
0,0,0,0.0,0.0,0.0,0,0.0,509.6,700,3550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-4,24,34.82,199.95,-57.44999999999999,175,195.55,199.95,175,3600,350.0,78.4,80.35,175.0,18.949999999999996,79.8,37.99,255.0,6.0,224.0
0,0,0,0.0,0.0,0.0,525,215.0,481.45,175,3600,0.0,0.0,306.45,1750.0,0.0,0.0,0.0,0.0,0.0,0.0
37,9,56,34.67,165.25,-64.75,175,165.7,168.55,175,3650,175.0,98.25,100.7,175.0,19.099999999999994,99.35,37.68,136.0,17.0,46.0
0,0,0,0.0,0.0,0.0,0,0.0,425.15,175,3650,0.0,0.0,307.55,700.0,0.0,0.0,0.0,0.0,0.0,0.0
123,54,329,36.09,142.05,-39.349999999999994,175,139.3,140.75,175,3700,175.0,119.5,121.0,175.0,25.69999999999999,121.1,37.55,919.0,86.0,359.0
0,0,0,0.0,0.0,0.0,0,0.0,284.25,175,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,101,337,35.05,117.45,-31.60000000000001,175,114.3,116.5,350,3750,175.0,146.15,149.25,175.0,39.599999999999994,156.45,38.14,56.0,12.0,71.0
0,0,0,0.0,0.0,0.0,0,0.0,325.3,700,3750,0.0,0.0,299.2,1750.0,0.0,0.0,0.0,0.0,0.0,0.0
