CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1760,400.0,0.3,0.4,25600.0,0.050000000000000044,0.4,39.69,3.0,0.0,77.0
53.0,0.0,0.0,0.0,0.0,0.0,3600.0,426.8,439.95,5600.0,1800,18000.0,0.3,0.4,10800.0,0.0,0.4,36.37,12.0,-1.0,126.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,344.6,537.7,2000.0,1800,400.0,2.8,2.9,400.0,-0.2999999999999998,2.75,32.61,133.0,-30.0,301.0
1.0,0.0,0.0,0.0,0.0,0.0,1200.0,384.6,400.3,400.0,1840,8800.0,0.3,0.45,2800.0,-0.10000000000000003,0.35,32.01,5.0,-1.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,307.0,498.1,2000.0,1840,2400.0,3.2,3.3,400.0,-0.3999999999999999,3.2,30.73,161.0,-95.0,287.0
,,,,,,,,,,1840,2000.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1860,3600.0,0.35,0.5,2000.0,-0.09999999999999998,0.4,31.48,4.0,0.0,70.0
2.0,0.0,0.0,0.0,0.0,0.0,1600.0,346.9,361.1,1600.0,1880,1200.0,0.35,0.5,2400.0,-0.09999999999999998,0.4,29.87,3.0,0.0,235.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,270.5,458.6,2000.0,1880,400.0,3.55,3.8,400.0,-0.5500000000000003,3.6,28.64,64.0,-28.0,187.0
31.0,0.0,0.0,0.0,0.0,0.0,8400.0,329.0,339.45,1600.0,1900,1200.0,0.45,0.5,7600.0,-0.15000000000000002,0.4,28.28,142.0,-11.0,741.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,252.75,438.95,2000.0,1900,400.0,3.8,3.95,400.0,-0.5499999999999998,3.8,27.56,93.0,-28.0,302.0
2.0,0.0,0.0,0.0,0.0,0.0,1600.0,307.1,321.45,1600.0,1920,2800.0,0.55,0.6,7600.0,-0.050000000000000044,0.6,28.11,127.0,5.0,867.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,235.4,419.4,2000.0,1920,1600.0,2.1,10.7,6800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1920,4000.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,287.1,301.75,1600.0,1940,400.0,0.7,0.9,400.0,-0.19999999999999996,0.8,27.54,52.0,27.0,263.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,218.5,399.9,2000.0,1940,2400.0,1.6,10.7,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,1200.0,265.15,281.65,1600.0,1960,1200.0,1.0,1.2,1200.0,-0.19999999999999996,1.1,27.11,91.0,-6.0,393.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,277.3,310.5,2000.0,1960,2400.0,3.15,9.95,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1200.0,247.75,262.55,1600.0,1980,1200.0,1.7,1.8,400.0,-0.3999999999999999,1.6,26.95,45.0,6.0,456.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,261.3,291.55,2000.0,1980,3600.0,4.05,10.8,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
143.0,0.0,1.0,0.0,237.25,3.0999999999999943,400.0,233.9,236.55,400.0,2000,400.0,2.0,2.25,800.0,-0.20000000000000018,2.3,26.83,279.0,-44.0,1681.0
4.0,0.0,0.0,0.0,0.0,0.0,1600.0,245.0,257.15,800.0,2000,400.0,6.4,6.6,400.0,-0.9000000000000004,6.55,23.45,84.0,-27.0,319.0
,,,,,,,,,,2000,800.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,400.0,210.2,221.6,400.0,2020,1200.0,2.45,2.55,800.0,-0.6499999999999999,2.4,25.21,72.0,8.0,387.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,223.5,252.15,2000.0,2020,400.0,7.05,7.6,400.0,0.0,0.0,0.0,0.0,0.0,64.0
19.0,0.0,0.0,0.0,0.0,0.0,2000.0,190.8,203.1,400.0,2040,1600.0,3.3,3.4,1200.0,-0.75,3.25,24.67,199.0,2.0,547.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,206.15,231.7,2000.0,2040,400.0,8.45,9.0,400.0,-0.8499999999999996,9.0,22.3,25.0,-14.0,260.0
39.0,0.0,0.0,0.0,0.0,0.0,1600.0,172.65,181.85,400.0,2060,400.0,4.4,4.45,400.0,-0.9000000000000004,4.35,24.21,155.0,-21.0,428.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,183.6,231.9,2000.0,2060,0.0,0.0,26.85,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,6.0,0.0,152.65,-1.8499999999999943,400.0,157.85,160.25,800.0,2080,2400.0,5.7,5.85,800.0,-1.0499999999999998,5.75,23.87,209.0,-3.0,289.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,164.75,211.5,2000.0,2080,0.0,0.0,26.85,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
550.0,-24.0,55.0,14.78,142.55,1.4000000000000057,800.0,140.75,141.55,400.0,2100,1200.0,7.65,7.75,400.0,-1.2500000000000009,7.8,23.29,935.0,-217.0,2018.0
11.0,0.0,0.0,0.0,0.0,0.0,800.0,158.0,166.35,800.0,2100,400.0,16.2,16.45,400.0,-2.1000000000000014,16.25,21.35,67.0,-15.0,207.0
135.0,-3.0,13.0,18.37,127.0,2.450000000000003,400.0,123.2,124.05,400.0,2120,800.0,10.1,10.25,800.0,-1.5999999999999996,10.15,22.73,578.0,32.0,716.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,134.15,168.1,400.0,2120,0.0,0.0,35.4,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
463.0,-20.0,147.0,15.69,106.55,-0.6000000000000085,400.0,106.6,107.4,400.0,2140,1600.0,13.25,13.45,1600.0,-1.5999999999999996,13.5,22.5,423.0,33.0,898.0
26.0,2.0,3.0,11.37,122.6,1.9499999999999886,400.0,128.55,131.7,400.0,2140,0.0,0.0,37.85,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
448.0,-19.0,192.0,17.46,90.85,-1.0500000000000114,800.0,90.85,91.55,800.0,2160,1600.0,17.35,17.5,1200.0,-1.8999999999999986,17.5,22.01,741.0,-93.0,1009.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,101.0,138.75,1600.0,2160,0.0,0.0,46.4,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
470.0,-45.0,159.0,17.95,77.6,0.25,800.0,76.25,76.9,400.0,2180,400.0,22.65,22.85,2400.0,-2.099999999999998,22.85,21.87,808.0,37.0,607.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,87.7,126.05,1600.0,2180,0.0,0.0,52.8,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
