CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
2.0,0.0,0.0,0.0,0.0,0.0,1200.0,206.5,216.1,1600.0,1040,12000.0,1.7,2.95,400.0,0.3999999999999999,2.15,46.47,5.0,-1.0,189.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,204.65,0.0,0.0,1040,6000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,400.0,171.6,177.45,1600.0,1080,1600.0,4.25,4.35,800.0,0.75,4.45,45.74,66.0,-4.0,285.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,165.0,0.0,0.0,1080,6000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2.0,5.0,0.0,160.4,1.0999999999999943,400.0,154.6,158.6,400.0,1100,400.0,6.05,6.15,400.0,0.7999999999999998,6.2,45.35,33.0,2.0,194.0
0.0,0.0,0.0,0.0,0.0,0.0,2000.0,157.0,279.75,1600.0,1100,400.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,3.0,7.0,0.0,138.5,-2.5500000000000114,400.0,138.15,139.1,400.0,1120,400.0,8.15,8.3,400.0,1.1000000000000005,8.4,44.83,53.0,-16.0,690.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,138.45,0.0,0.0,1120,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,800.0,116.05,125.75,400.0,1140,800.0,11.15,11.35,800.0,1.1999999999999993,11.25,44.38,50.0,1.0,95.0
