CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,6800.0,273.65,279.8,6800.0,520,,,,,,,,,,
,,,,,,,,,,520,1700.0,0.2,1.0,1700.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,550,83300.0,0.05,0.1,1700.0,-0.1,0.1,56.69,13.0,1.0,32.0
,,,,,,,,,,560,3400.0,0.1,0.15,3400.0,-0.15,0.1,54.19,42.0,-1.0,20.0
,,,,,,,,,,570,1700.0,0.1,0.25,1700.0,0.0,0.0,0.0,0.0,0.0,8.0
,,,,,,,,,,580,44200.0,0.1,0.2,10200.0,-0.19999999999999998,0.15,51.49,45.0,-10.0,72.0
,,,,,,,,,,590,1700.0,0.2,0.25,1700.0,-0.09999999999999998,0.2,50.65,1.0,0.0,17.0
42.0,0.0,0.0,0.0,0.0,0.0,6800.0,194.0,200.35,6800.0,600,1700.0,0.25,0.3,37400.0,-0.25,0.25,49.45,371.0,-213.0,217.0
0.0,0.0,0.0,0.0,0.0,0.0,8500.0,135.05,236.05,8500.0,600,1700.0,0.55,1.35,1700.0,-0.30000000000000004,1.3,42.7,1.0,0.0,47.0
,,,,,,,,,,600,34000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,6800.0,184.15,190.45,5100.0,610,3400.0,0.35,0.4,10200.0,-0.15000000000000002,0.4,49.88,29.0,14.0,67.0
80.0,0.0,0.0,0.0,0.0,0.0,6800.0,174.3,180.3,6800.0,620,3400.0,0.5,0.55,1700.0,-0.1499999999999999,0.55,48.74,63.0,11.0,207.0
1.0,0.0,0.0,0.0,0.0,0.0,8500.0,117.7,0.0,0.0,620,22100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,6800.0,164.55,170.85,6800.0,630,1700.0,0.65,0.75,3400.0,-0.25,0.65,47.33,28.0,-4.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,8500.0,109.35,0.0,0.0,630,22100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
