CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
7.0,0.0,1.0,0.0,105.0,-12.0,7000.0,104.0,108.05,5000.0,500,6000,0.15,0.2,3000,-0.1,0.15,34.12,6,-2,70
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,101.25,115.4,4000.0,500,4000,0.5,9.1,4000,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,4000.0,84.55,88.85,1000.0,520,14000,0.3,0.4,4000,-0.04999999999999999,0.4,32.28,26,-16,125
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,80.9,95.05,4000.0,520,15000,0.15,9.3,4000,0.0,0.0,0.0,0,0,0
,,,,,,,,,,520,26000,0.05,0.0,0,0.0,0.0,0.0,0,0,0
,,,,,,,,,,530,3000,0.45,0.5,2000,-0.30000000000000004,0.5,30.02,9,-4,55
15.0,0.0,0.0,0.0,0.0,0.0,6000.0,65.5,69.8,7000.0,540,2000,0.7,0.75,3000,-0.15000000000000002,0.7,28.28,19,-8,120
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,63.5,75.1,4000.0,540,5000,1.9,8.45,4000,0.0,0.0,0.0,0,0,0
,,,,,,,,,,540,26000,0.05,0.0,0,0.0,0.0,0.0,0,0,0
43.0,3.0,6.0,0.0,57.2,-0.7999999999999972,1000.0,57.25,58.15,1000.0,550,1000,1.05,1.15,3000,-0.15000000000000013,1.15,27.43,28,2,219
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,55.4,66.3,1000.0,550,5000,3.65,8.85,4000,0.0,0.0,0.0,0,0,0
