CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,600.0,919.8,966.3,450.0,4400,150.0,3.2,3.95,150.0,0.6499999999999999,3.1,38.51,17.0,0.0,293.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,938.9,1083.3,600.0,4400,7200.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,600.0,823.0,869.0,450.0,4500,150.0,5.05,8.0,150.0,0.0,0.0,0.0,0.0,0.0,316.0
4.0,0.0,0.0,0.0,0.0,0.0,150.0,729.65,766.15,150.0,4600,150.0,7.15,11.2,150.0,1.5,7.2,35.71,3.0,-1.0,89.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,736.75,875.65,600.0,4600,,,,,,,,,,
,,,,,,,,,,4650,150.0,10.0,17.1,150.0,0.0,0.0,0.0,0.0,0.0,5.0
16.0,0.0,0.0,0.0,0.0,0.0,150.0,635.3,675.9,450.0,4700,150.0,15.7,16.35,300.0,4.35,15.85,37.39,77.0,10.0,109.0
,,,,,,,,,,4750,150.0,17.15,24.65,150.0,0.0,0.0,0.0,0.0,0.0,13.0
3.0,0.0,0.0,0.0,0.0,0.0,150.0,546.35,583.95,450.0,4800,300.0,24.95,25.35,150.0,6.550000000000001,24.95,36.9,95.0,-25.0,308.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,534.15,691.8,750.0,4800,0.0,0.0,94.15,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4800,0.0,0.0,170.4,150.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4850,150.0,25.55,39.2,150.0,0.0,0.0,0.0,0.0,0.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,150.0,459.6,488.95,150.0,4900,300.0,37.85,38.6,150.0,10.149999999999999,37.8,36.33,42.0,9.0,135.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,434.0,579.5,750.0,4900,0.0,0.0,88.8,150.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,4950,150.0,45.8,47.35,150.0,-1.5999999999999943,45.7,35.95,7.0,1.0,13.0
48.0,1.0,10.0,31.78,403.0,-14.149999999999977,300.0,389.45,396.45,150.0,5000,300.0,55.8,57.0,150.0,13.200000000000003,55.6,35.76,48.0,-4.0,304.0
0.0,0.0,0.0,0.0,0.0,0.0,600.0,385.1,538.05,750.0,5000,150.0,39.95,144.15,600.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,450.0,340.45,376.1,150.0,5050,300.0,67.0,68.5,150.0,14.899999999999999,66.75,35.48,39.0,2.0,38.0
24.0,0.0,4.0,34.23,331.0,-49.0,300.0,313.2,325.75,150.0,5100,150.0,80.35,83.05,150.0,16.6,80.0,35.31,163.0,70.0,400.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,316.95,471.15,750.0,5100,150.0,71.1,177.3,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,5150,300.0,95.0,97.55,150.0,21.150000000000006,97.45,35.64,31.0,-4.0,39.0
161.0,18.0,49.0,31.95,253.95,-26.55000000000001,300.0,248.35,254.75,300.0,5200,450.0,112.75,113.9,150.0,20.85000000000001,113.4,35.21,303.0,7.0,457.0
