CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,3000,11900.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,483.7,509.95,525.0,3100,175.0,0.4,1.5,175.0,0.19999999999999996,1.55,29.11,2.0,1.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,501.35,543.35,700.0,3100,1050.0,3.25,20.65,700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3120,175.0,0.95,1.85,175.0,0.0,1.9,28.91,1.0,0.0,27.0
,,,,,,,,,,3120,175.0,5.9,6.75,175.0,0.0,0.0,0.0,0.0,0.0,120.0
,,,,,,,,,,3160,1750.0,1.0,3.0,700.0,0.0,0.0,0.0,0.0,0.0,18.0
56.0,0.0,0.0,0.0,0.0,0.0,1575.0,389.85,407.65,2800.0,3200,350.0,1.95,2.0,175.0,0.19999999999999996,1.95,24.7,286.0,33.0,1111.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,405.35,441.7,875.0,3200,350.0,10.4,10.95,175.0,-0.25,10.8,24.13,23.0,14.0,111.0
,,,,,,,,,,3240,875.0,2.05,5.15,875.0,0.0,0.0,0.0,0.0,0.0,817.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,336.5,365.25,525.0,3250,875.0,2.4,5.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,358.5,420.7,875.0,3250,0.0,0.0,39.5,700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3280,175.0,3.8,3.95,525.0,-0.050000000000000266,3.9,22.95,68.0,-13.0,157.0
6.0,0.0,0.0,0.0,0.0,0.0,175.0,290.25,310.2,175.0,3300,525.0,4.5,4.65,175.0,0.8000000000000003,4.65,22.55,251.0,-26.0,347.0
